src_segmentnr	src_original	tgt_segmentnr	tgt_original
K01vinv171u:5949	 The Buddha arrives at Śrāvastī  tato bhagavān dānto dāntaparivāraḥ,  śānto śāntaparivāraḥ,  mukto muktaparivāraḥ,  āśvasta āśvastaparivāraḥ,  vinīto vinītaparivāraḥ,	K10D0343_H0351:88a-0	དེ་ནས་བཅོམ་ལྡན་འདས་དུལ་ལ་འཁོར་ཡང་དུལ་བ་དང་། ཞི་ལ་འཁོར་ཡང་ཞི་བ་དང་། གྲོལ་ལ་འཁོར་ཡང་གྲོལ་བ་དང་། དབུགས་ཕྱིན་ལ་འཁོར་ཡང་དབུགས་ཕྱིན་པ་དང་། བྱང་ལ་འཁོར་ཡང་བྱང་བ་དང་། དགྲ་བཅོམ་༄༨༨ཨ་༌༎
K01vinv171u:5956	 vītarāgo vītarāgaparivāraḥ,  prāsādikaḥ prāsādikaparivāraḥ,	K10D0343_H0351:88a-1	པར་གྱུར་ལ་འཁོར་ཡང་དགྲ་བཅོམ་པར་གྱུར་པ་དང་། འདོད་ཆགས་དང་འབྲལ་ལ་འཁོར་ཡང་འདོད་ཆགས་དང་བྲལ་བ་དང་། མཛེས་ལ་འཁོར་ཡང་མཛེས་པ་སྟེ་།
K01vinv171u:5958	 ṛṣabha iva gogaṇaparivṛtaḥ,  gaja iva kalabhaparivṛtaḥ,  siṃha iva daṃṣṭrigaṇaparivṛtaḥ,  haṃsa iva haṃsagaṇaparivṛtaḥ,  suparṇīva pakṣigaṇaparivṛto,	K10D0343_H0351:88a-2	ཁྱུ་མཆོག་བ་ལང་གི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། གླང་པོ་ཆེ་གླང་པོ་ཆེའི་ཕྲུ་གུའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། སེང་གེ་གཅན་ཟན་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ངང་པའི་རྒྱལ་པོ་ངང་པའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་།
K01vinv171u:5963	 vipra iva śiṣyagaṇaparivṛtaḥ,  suvaidya ivāturagaṇaparivṛtaḥ,  śūra iva yodhagaṇaparivṛto,  daiśika ivādhva gagaṇaparivṛtaḥ,  sārthavāha iva vaṇiggaṇaparivṛtaḥ,  śreṣṭhīva parijanaparivṛtaḥ,  koṭṭarāja iva mantrigaṇaparivṛtaḥ,  cakravartīva putrasahasraparivṛtaḥ,  candra iva nakṣatragaṇaparivṛtaḥ,	K10D0343_H0351:88a-3	ནམ་མཁའ་ལྡིང་བྱའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། སྨན་པ་མཁས་པ་ནད་པའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། དཔའ་བོ་དམག་མིའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ས་མཁན་འགྲོན་པོའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། དེད་དཔོན་ཚོང་པའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ཚོང་དཔོན་གྲོང་ཁྱེར་གྱི་མིས་བསྐོར་བ་ལྟ་བུ་དང་། རྒྱལ་ཕྲན་བློན་པོའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། འཁོར་ལོས་བསྒྱུར་བའི་རྒྱལ་པོ་བུ་སྟོང་གིས་བསྐོར་བ་ལྟ་བུ་དང་།
K01vinv171u:5972	 sūrya iva raśmisahasraparivṛtaḥ,  dhṛtarāṣṭra iva gandharvagaṇaparivṛtaḥ,  virūḍhaka iva kumbhāṇḍagaṇaparivṛtaḥ,  virūpakṣa iva nāgagaṇaparivṛtaḥ,  dhanada iva yakṣagaṇaparivātaḥ,  vemacitrīva asuragaṇaparivṛtaḥ,	K10D0343_H0351:88a-5	ཟླ་བ་རྒྱུ་སྐར་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ཉི་མ་འོད་ཟེར་སྟོང་གིས་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ཡུལ་འཁོར་སྲུང་དྲི་ཟའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། འཕགས་སྐྱེས་པོ་གྲུལ་བུམ་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། མིག་མི་བཟང་ཀླུའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ནོར་སྦྱིན་གནོད་སྦྱིན་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། ཐགས་ཟངས་རིས་ལྷ་མ་༄༨༨བ་ཡིན་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། བརྒྱ་བྱིན་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་།
K01vinv171u:5978	 śakra iva tridaśagaṇaparivṛtaḥ,  brahmeva brahmakāyikaparivṛtaḥ,  stimita iva jalanidhiḥ,  sajala iva jaladharaḥ,  vimada iva gajapatiḥ,  sudāntair indriyair asaṃkṣobhiteryāpathapracāraḥ,	K10D0343_H0351:88b-1	ཚངས་པ་ཚངས་རིས་ཀྱིས་བསྐོར་བ་ལྟ་བུ་དང་། རྒྱ་མཚོ་ལྟར་ལྟེམ་མེ་འདུག་པ་དང་། སྤྲིན་རླན་དང་ལྡན་པ་ལྟ་བུ་དང་། གླང་པོ་ཆེའི་རྒྱལ་པོ་རྒྱགས་པ་མེད་པ་ལྟ་བུར་དབང་པོ་ཤིན་ཏུ་དང་བ་དང་། སྤྱོད་ལམ་གྱི་ཚུལ་མ་འཆལ་བ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་དུ་མས་བརྒྱན་པའི་བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་དེར་གཤེགས་ཏེ་།
K01vinv171u:6009	 uttaro 'vanamati;  uttara unnamati;  dakṣiṇo 'vanamati;  anta unnamati;  madhyo 'vanamati;  madhya unnamati;  anto 'vanamati;	K10D0343_H0351:88b-7	དམའ་བ་རྣམས་ནི་མཐོན་པོར་གྱུར་ཏོ་༎
K01vinv171u:6033	 aparāṇi ca;  saṃkṣiptāni viśālībhavanti;  nīcāny uccāni bhavanti;  uccāni samāni bhavanti;  hastinaḥ krauñcanti;  aśvā heṣante;  ṛṣabhā nardanti;	K10D0343_H0351:88b-10	ཁྱུ་མཆོག་རྣམས་ཀྱང་སྐད་འབྱིན་ཏོ་༎
K01vinv171u:6040	 gṛhagatāni vividhāni vāditrabhāṇḍāni svayam nadanti;	K10D0343_H0351:88b-11	རོལ་མོའི་ཆ་བྱད་རྣམ་པ་སྣ་ཚོགས་ཁྱིམ་ཁྱིམ་ན་འདུག་པ་རྣམས་ཀྱང་རང་སྒྲ་འབྱིན་ཏོ་༎
K01vinv171u:5115	 yadutāvidyāpratyayāḥ saṃskārāḥ;  saṃskārapratyayaṃ vijñānam;	K10D0343_H0351:375b-9	འདི་ཡོད་ན་འདི་འབྱུང་ལ་། འདི་སྐྱེས་པས་འདི་སྐྱེས་བར་འགྱུར་ཏེ་། འདི་ལྟ་སྟེ་། མ་རིག་པའི་རྐྱེན་གྱིས་འདུ་བྱེད་རྣམས་༎ འདུ་བྱེད་ཀྱི་རྐྱེན་གྱིས་རྣམ་པར་ཤེས་པ་།
