src_segmentnr	src_original	tgt_segmentnr	tgt_original
K02D0008-3_H0009-3:143b-10	སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་། རྣམ་པར་རྟོག་པ་མེད་པ་། རྣམ་པར་དཔྱོད་པ་མེད་པའི་ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་གཉིས་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a06_3	無尋無伺定生喜樂。
K02D0008-3_H0009-3:143b-14	དྲན་པ་དང་ལྡན་ཞིང་ཤེས་བཞིན་དུ་བཏང་སྙོམས་སུ་གནས་ཏེ་།	T19n0997_007:0558a06_12	入第二禪得圓滿住。
K02D0008-3_H0009-3:143b-15	བདེ་བ་ལུས་ཀྱིས་མྱོང་ལ་འཕགས་པ་རྣམས་ཀྱིས་དེ་ལ་དྲན་པ་དང་ལྡན་པ་། བདེ་བ་ལ་རྣམ་པར་དཔྱོད་པ་བཏང་སྙོམས་པའོ་ཞེས་བརྗོད་པ་སྟེ་།	T19n0997_007:0558a07_15	離喜住捨有念正知身受樂諸聖所說能捨有念受樂。
K02D0008-3_H0009-3:143b-17	དགའ་བ་མེད་པའི་བསམ་གཏན་གསུམ་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a08_6	入第三禪得圓滿住。
K02D0008-3_H0009-3:143b-18	དེ་བདེ་བའང་སྤངས་། སྡུག་བསྔལ་ཡང་༄༡༤༤ཨ་༌༎ སྤངས་ཤིང་། ཡིད་བདེ་བ་དང་། ཡིད་མི་བདེ་བ་སྔ་ནས་ཀྱང་ནུབ་པས་།	T19n0997_007:0558a08_16	斷樂先除苦憂喜已滅。
K02D0008-3_H0009-3:143b-4	འདོད་པས་དབེན་། སྡིག་ཏོ་མི་དགེ་བའི་ཆོས་ཀྱིས་དབེན་པ་།	T19n0997_007:0558a04_5	謂離欲惡不善法。
K02D0008-3_H0009-3:143b-8	དབེན་པ་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་དང་པོ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a04_14	有尋有伺離生喜樂。 入於初禪得圓滿住。 除滅尋伺內淨一心。
K02D0008-3_H0009-3:148a-12	དེ་རྣམ་པར་རྟོག་པ་དང་། རྣམ་པར་དཔྱོད་པ་ཉེ་བར་ཞི་ནས་ནང་ཡོངས་སུ་དང་སྟེ་།	T19n0997_007:0558a05_13	除滅尋伺內淨一心。
K02D0008-3_H0009-3:148a-13	སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་རྣམ་པར་རྟོག་པ་མེད་པ་།	T19n0997_007:0558a06_3	無尋無伺定生喜樂。
K02D0008-3_H0009-3:148a-14	རྣམ་པར་དཔྱོད་པ་མེད་པའི་ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་གཉིས་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a06_12	入第二禪得圓滿住。
K02D0008-3_H0009-3:148a-15	དེ་དགའ་བ་ལས་འདོད་ཆགས་དང་བྲལ་བས་དྲན་པ་དང་ལྡན་ཞིང་། ཤེས་བཞིན་དུ་བཏང་སྙོམས་སུ་གནས་ཏེ་། བདེ་༄༡༤༨བ་བ་ལུས་ཀྱི་མྱོང་ལ་། འཕགས་པ་རྣམས་ཀྱིས་དེ་ལ་དྲན་པ་དང་ལྡན་པ་།	T19n0997_007:0558a07_15	離喜住捨有念正知身受樂諸聖所說能捨有念受樂。
K02D0008-3_H0009-3:148a-9	རྟོག་པ་དང་བཅས་པ་། དཔྱོད་པ་དང་བཅས་པ་། དབེན་པ་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་དང་པོ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a04_14	有尋有伺離生喜樂。 入於初禪得圓滿住。
K02D0008-3_H0009-3:148b-3	དགའ་བ་མེད་པའི་བསམ་གཏན་གསུམ་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a08_6	入第三禪得圓滿住。
K02D0008-3_H0009-3:148b-4	དེ་བདེ་བའང་སྤངས་།	T19n0997_007:0558a08_16	斷樂先除苦憂喜已滅。
K02D0008-3_H0009-3:149b-11	དབེན་པ་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་དང་པོ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a05_4	入於初禪得圓滿住。
K02D0008-3_H0009-3:149b-12	དེ་རྣམ་པར་རྟོག་པ་དང་། རྣམ་པར་དཔྱོད་པ་ཉེ་བར་ཞི་ནས་ནང་ཡོངས་སུ་དང་སྟེ་། སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་།	T19n0997_007:0558a05_13	除滅尋伺內淨一心。
K02D0008-3_H0009-3:149b-14	རྣམ་པར་རྟོག་པ་མེད་པ་། རྣམ་པར་དཔྱོད་པ་མེད་པ་།	T19n0997_007:0558a06_3	無尋無伺定生喜樂。
K02D0008-3_H0009-3:149b-16	ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བ་དང་། བདེ་བ་ཅན་བསམ་གཏན་གཉིས་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a06_12	入第二禪得圓滿住。
K02D0008-3_H0009-3:149b-17	དེ་དགའ་བ་ལས་འདོད་ཆགས་དང་བྲལ་པས་། དྲན་པ་དང་ལྡན་ཞིང་ཤེས་བཞིན་དུ་བཏང་སྙོམས་སུ་གནས་ཏེ་། བདེ་བ་ལུས་ཀྱིས་༄༡༥༠ཨ་༌༎ མྱོང་ལ་། འཕགས་པ་རྣམས་ཀྱིས་དེ་ལ་དྲན་པ་དང་ལྡན་པ་བདེ་བ་ལ་རྣམ་པར་དཔྱོད་པ་བཏང་སྙོམས་པའོ་ཞེས་བརྗོད་པ་སྟེ་།	T19n0997_007:0558a07_15	離喜住捨有念正知身受樂諸聖所說能捨有念受樂。
K02D0008-3_H0009-3:149b-7	འདོད་པས་དབེན་། སྡིག་ཏོ་མི་དགེ་བའི་ཆོས་ཀྱིས་དབེན་པ་།	T19n0997_007:0558a04_5	謂離欲惡不善法。
K02D0008-3_H0009-3:149b-9	རྟོག་པ་དང་བཅས་པ་། དཔྱོད་པ་དང་བཅས་པ་།	T19n0997_007:0558a04_14	有尋有伺離生喜樂。
K02D0008-3_H0009-3:150a-2	དགའ་བ་མེད་པའི་བསམ་གཏན་གསུམ་པ་ལ་ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ་༎	T19n0997_007:0558a08_6	入第三禪得圓滿住。
K02D0008-3_H0009-3:150a-3	དེ་བདེ་བའང་སྤངས་། སྡུག་བསྔལ་ཡང་སྤངས་ཤིང་། ཡིད་བདེ་བ་དང་། ཡིད་མི་བདེ་བ་སྔ་ནས་ཀྱང་ནུབ་པས་།	T19n0997_007:0558a08_16	斷樂先除苦憂喜已滅。
K02D0008-3_H0009-3:151b-24	མོས་པར་བྱས་ཤིང་རྣམ་པར་སྤྱོད་དོ་༎	T19n0997_007:0558a03_16	修習建立九次第定。
