src_segmentnr	src_original	tgt_segmentnr	tgt_original
K03psp_1u:8233	 buddhakṣetraṃ ca pariśodhayati,  na ca jātu khedam āpadyate yāvan na sarvadharmān sarvākārajñatāṃ ca paripūrayati,  iyaṃ bodhisattvasya mahāsattvasyāparimitasaṃsārāparikheditā.  tatra katamad bodhisattvasya mahāsattvasya hrīrapatrāpyavyavasthānam?  yā sarvaśrāvakapratyekabuddhacittajugupsanatā,	T03D3807-1:220a-1	ཅན་ཡོངས་སུ་སྨིན་པར་འགྱུར་བ་དང་། སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་པར་འགྱུར་བའི་དགེ་བའི་རྩ་བ་དེ་ལྟ་བུ་བསྐྱེད་པ་ལ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་མ་གྱུར་གྱི་བར་དུ་འཁོར་བ་ལ་གནས་ཤིང་། འཁོར་བ་ཡུན་རིང་པོས་མི་སྐྱོ་བར་དགེ་བའི་རྩ་བ་བསྐྱེད་ཀྱང་དེས་རློམ་སེམས་སུ་མི་འགྱུར་བའོ་༎
K03psp_1u:8238	 idaṃ bodhisattvasya mahāsattvasya hrīrapatrāpyavyavasthānam.	T03D3807-1:220a-3	ངོ་ཚ་ཤེས་ཤིང་ཁྲེལ་ཡོད་པ་ལ་གནས་ཀྱང་དེས་རློམ་སེམས་སུ་མི་འགྱུར་པ་སྟེ་ཞེས་བྱ་བ་ནི་བྱང་ཆུབ་སེམས་དཔས་བྱ་བ་མི་རིགས་པ་རྣམས་བྱས་ན་ངོ་ཚ་ཞིང་ཁྲེལ་གྱིས་དོགས་པར་འགྱུར་བ་སྟེ་།
K03psp_1u:8269	 iyaṃ bodhisattvasya mahāsattvasya gṛhisaṃstavaparivarjanatā.  tatra katamā bodhisattvasya mahāsattvasya bhikṣubhikṣuṇīsaṃstavaparivarjanatā?  yad bhikṣuṇā bhikṣuṇyā vā saha acchaṭikāsaṃghātamātram api na tiṣṭhati na ca tair vinā paritasanācittam utpādayati,	T03D3807-1:221a-10	དགེ་སློང་མ་དང་བསྟེན་པ་དང་ཞེས་བྱ་བ་ནི་འདོད་པའི་འདོད་ཆགས་ལ་ཆགས་པ་དང་། གོས་ལ་སོགས་པ་ཟང་ཟིང་ལ་ཆགས་པའི་སེམས་ཀྱིས་དགེ་སློང་མ་དང་སེ་གོལ་གཏོགས་པ་ཙམ་ཡང་ལྷན་ཅིག་ཏུ་གནས་པར་མི་བྱ་བ་བསྟན་པའོ་༎
K03psp_1u:8272	 iyaṃ bodhisattvasya mahāsattvasya bhikṣubhikṣuṇīsaṃstavaparivarjanatā.  tatra kathaṃ bodhisattvena mahāsattvena kulamātsaryaṃ parivarjayitavyam?	T03D3807-1:221a-11	རིགས་ལ་སེར་སྣ་མེད་པ་དང་ཞེས་བྱ་བ་ནི་བྱང་ཆུབ་སེམས་དཔའ་བདག་ཉིད་རྒྱལ་རིགས་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་གི་རིགས་གང་གི་ཁྱིམ་དུ་ཆུད་ཅིང་རྙེད་པ་དང་། བཀུར་སྟི་བྱས་པའི་ཁྱིམ་དེར་གཞན་དག་ཆུད་ཅིང་རྙེད་པ་དང་།
K03psp_1u:8275	 yan mayā sattvānāṃ sarvasukhopadhānaṃ kartavyaṃ ta ete sattvāḥ svapuṇyair eva sukhitā nātra mayā mātsaryacittam utpādayitavyam,  idaṃ bodhisattvena mahāsattvena kulamātsaryaṃ parivarjayitavyam.	T03D3807-1:221a-13	སེམས་ཅན་འདི་དག་བདག་གིས་བདེ་བའི་ཡོ་བྱད་ཐམས་ཅད་སྦྱར་བའི་རིགས་པ་ལས་། སེམས་ཅན་དེ་དག་བདག་ཅག་རང་རང་གི་བསོད་ནམས་ཀྱིས་བདེ་བར་འགྱུར་ན་དེ་ལ་བདག་གིས་སེར་སྣ་དང་ཕྲག་དོག་མི་བྱའོ་སྙམ་དུ་སེམས་ཤིང་ཕྲག་༄༢༢༡བ་དོག་མི་བསྐྱེད་པའོ་༎
K03psp_1u:8277	 tatra kathaṃ bodhisattvena mahāsattvena saṃgaṇikāsthānaṃ parivarjayitavyam?	T03D3807-1:221b-1	འདུ་འཛིའི་གནས་དང་ཞེས་བྱ་བ་ནི་སྐབས་འདིར་མི་མང་པོའི་འདུ་འཛི་སྤང་པ་འབའ་ཞིག་ལ་མི་བྱའི་།
K03psp_1u:8278	 yatra bodhisattvasya mahāsattvasya saṃgaṇikāsthānasthitasya śrāvakapratyekabuddhapratisaṃyuktā  kathā syāt tat pratisaṃyuktaṃ vā cittotpādam utpādayen na tatra bodhisattvena mahāsattvena sthātavyam,	T03D3807-1:221b-2	གང་ན་ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཡོད་པའམ་། ཉན་ཐོས་སམ་རང་སངས་རྒྱས་ཀྱི་ཐེག་པའི་གཏམ་ཟེར་བ་ཡོད་པའམ་། ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཀྱི་ཐེག་པའི་སེམས་བསྐྱེད་པར་འགྱུར་བའི་གནས་དེ་ལྟ་བུར་བྱང་ཆུབ་སེམས་དཔའ་གནས་པར་བྱ་བ་ལ་འདུ་འཛིའི་གནས་ཡོངས་སུ་སྤང་བ་ཞེས་བྱའོ་༎ གནོད་སེམས་དང་ཞེས་བྱ་བ་ནི་བྱང་ཆུབ་སེམས་དཔས་སེམས་ཅན་རྣམས་ལ་གནོད་པ་དང་འཚེ་བར་འགྱུར་བའི་སེམས་སམ་།
K03psp_1u:8281	 tatra kathaṃ bodhisattvena mahāsattvena ātmotkarṣaṇā parivarjayitavyā?  yā ādhyātmikānāṃ dharmāṇām asamanupaśyanā iyaṃ (PvsP1-2: 96)  bodhisattvasya mahāsattvasya ātmotkarṣaṇaparivarjanatā.  tatra katamā bodhisattvasya mahāsattvasya parapaṃsanāparivarjanatā?	T03D3807-1:221b-7	བདག་པ་སྟོད་ཅིང་གཞན་སྨོད་པ་ཞེས་བྱ་བ་ནི་དོན་དམ་པར་ཆོས་ཐམས་ཅད་མཉམ་པ་ཉིད་དུ་རྟོགས་པས་བདག་དང་གཞན་དུ་བྱེ་བྲག་ཏུ་མི་འབྱེད་ཅིང་ཐ་དད་དུ་མི་ལྟ་བའོ་༎
K03psp_1u:8285	 yad uta bāhyānāṃ dharmāṇām asamanupaśyanā,  iyaṃ bodhisattvasya mahāsattvasya parapaṃsanāparivarjanatā.	T03D3807-1:221b-8	ཆོས་དྲུག་པོ་དེ་དག་ནི་ཡོངས་སུ་སྤང་བར་བྱའོ་ཞེས་བྱ་བ་ནི་ས་ལྔ་པ་ལ་གནས་པའི་བྱང་ཆུབ་སེམས་དཔས་ཆོས་དྲུག་པོ་དེ་དག་ཡོངས་སུ་སྤངས་ན་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་ཞུགས་པ་ཡིན་ནོ་ཞེས་བསྟན་པའོ་༎ ཡང་ཆོས་བཅོ་བརྒྱད་ཡོངས་སུ་སྤང་བར་བྱ་སྟེ་ཞེས་བྱ་བ་ནི་ས་ལྔ་པ་ལ་གནས་པས་སྤང་བར་བྱ་བའི་ཆོས་དྲུག་པོ་དེ་དག་ཏུ་མ་ཟད་ཀྱི་། གཞན་ཡང་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རྣམས་དང་། ལྷག་པའི་ང་རྒྱལ་ལ་སོགས་པ་ཆོས་བཅོ་བརྒྱད་ཀྱང་ཡོངས་སུ་སྤོང་བར་བྱའོ་ཞེས་བསྟན་པའོ་༎ འདི་ལྟར་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རྣམས་ཡོངས་སུ་སྤང་བར་བྱའོ་ཞེས་བྱ་བ་ནི་ལུས་ཀྱིས་སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་དང་། འདོད་པས་ལོག་པར་སྤྱོད་པ་དང་། ངག་གིས་བརྫུན་དུ་སྨྲ་བ་དང་། ཕྲ་མ་ཟེར་བ་དང་། ངག་རྩུབ་མོ་དང་། ཚིག་ཁྱལ་པ་ཟེར་བ་དང་། ཡིད་ཀྱིས་ལོག་པར་ལྟ་བ་དང་། གནོད་སེམས་དང་། ཆགས་སེམས་བསྐྱེད་པ་སྟེ་།
K03psp_1u:8287	 tatra kathaṃ bodhisattvena mahāsattvena daśākuśalāḥ karmapathāḥ parivarjayitavyāḥ?	T03D3807-1:221b-13	ཆོས་བཅུ་པོ་འདི་དག་སྤྱད་ན་བདེ་འགྲོ་ཐོབ་པར་བྱ་བ་ལ་ཡང་བར་དུ་གཅོད་པར་འགྱུར་ན་།
K03psp_1u:2941	 atha khalu bhagavāṃs tasyāṃ velāyām āyuṣmantaṃ subhūtim āmantrayāmāsa:	T03D3807-1:81a-7	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་ལ་བཀའ་སྩལ་པ་།
K03psp_1u:8288	 tathā hy ete āryamārgasyāntarāyakarāḥ sugater vā prāg eva saṃbodheḥ,	T03D3807-1:222a-0	འཕགས་པའི་ལམ་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་༄༢༢༢ཨ་༌་༎ རྫོགས་པའི་བྱང་ཆུབ་འཐོབ་པར་བྱ་བ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་སྙམ་ནས་།
K03psp_1u:8289	 evaṃ hi subhūte bodhisattvena mahāsattvena daśākuśalāḥ karmapathāḥ parivarjayitavyāḥ.	T03D3807-1:222a-2	མི་དགེ་བཅུའི་ལས་ཀྱི་བག་ཆགས་ཡན་ཆད་ཀྱང་ཡོངས་སུ་སྤོང་བའོ་༎
K03psp_1u:8290	 tatra kathaṃ bodhisattvena mahāsattvena adhimānaḥ parivarjayitavyaḥ?  tathā hi sa na kañcid dharmaṃ samanupaśyati,  kutaḥ punar adhikaṃ yenādhimaṃsyate,	T03D3807-1:222a-3	ལྷག་པའི་ང་རྒྱལ་དང་ཞེས་བྱ་བ་ནི་རིགས་བཙུན་པ་དང་། མང་དུ་ཐོས་པ་ལ་སོགས་པ་ཡོན་ཏན་གང་གིས་ང་རྒྱལ་སྐྱེ་བར་འགྱུར་བའི་ཆོས་དེ་ལྟ་བུ་དོན་དམ་པར་གང་ཡང་དངོས་པོ་ཡོད་པར་མི་ལྟ་བས་དེའི་ཕྱིར་བདག་ཡོན་ཏན་འདི་ལྟ་བུས་གཞན་ལས་ལྷག་གོ་སྙམ་པའི་ང་རྒྱལ་སྐྱེ་བ
K03psp_1u:8293	 evaṃ hi subhūte bodhisattvena mahāsattvena adhimānaḥ parivarjayitavyaḥ.	T03D3807-1:222a-5	ལྷག་པའི་ང་རྒྱལ་ཡོངས་སུ་སྤང་བ་ཞེས་བྱའོ་༎
K03psp_1u:8295	 tathā hi tad vastu na samanupaśyati yatra stambham utpādayed evaṃ hi subhūte bodhisattvena mahāsattvena stambho notpādayitavyaḥ.	T03D3807-1:222a-7	དེ་ལྟར་བརྙས་པར་བྱ་བའི་དངོས་པོ་དེ་ལྟ་བུ་དོན་དམ་པར་མི་དམིགས་པའི་ཕྱིར་། ཁེངས་པ་ཡོངས་སུ་སྤོང་བའོ་༎
