src_segmentnr	src_original	tgt_segmentnr	tgt_original
K05adsp70-u:3353	 bhagavān āha:	K05D0010-3_H0012-3:237a-4	བཀའ་སྩལ་པ་།
K05adsp70-u:2317	 yādṛśaṃ bījaṃ tādṛśaṃ phalaṃ. tasya khalu punaś cakravartino ye yācanakā (AdSPG II 93)	K05D0010-3_H0012-3:182b-9	ས་བོན་ཅི་འདྲ་བ་འབྲས་བུའང་དེ་འདྲ་བའི་ཕྱིར་རོ་༎
K05adsp70-u:3089	 bhagavān āha:	K05D0010-3_H0012-3:222a-23	བཀའ་སྩལ་པ་།
K05adsp70-u:3090	 tat kiṃ manyase subhūte kaścit tasyā māyāyā mārgabhāvanā asti. yāṃ mārgabhāvanām āgamya naiva saṃkliśyeta na vyavadāyeta?	K05D0010-3_H0012-3:222a-24	རབ་འབྱོར་། འདི་ཇི་སྙམ་དུ་སེམས་། སྒྱུ་༄༢༢༢བ་མ་དེ་ལ་ལམ་བསྒོམ་པ་གང་ལ་བརྟེན་ནས་ཀུན་ནས་ཉོན་མོངས་པར་ཡང་མི་འགྱུར་ལ་། རྣམ་པར་བྱང་བར་ཡང་མི་འགྱུར་བའི་ལམ་བསྒོམ་པ་འགའ་ཞིག་ཡོད་སྙམ་མམ་།
K05adsp70-u:3091	 āha: no hīdaṃ bhagavann avastukasya [f. 305a] dharmasya mārgabhāvanā kuto bhaviṣyati. saṃkleśo vā vyavadānaṃ vā?	K05D0010-3_H0012-3:222b-2	གསོལ་པ་། བཅོམ་ལྡན་འདས་། དེ་ནི་མ་ལགས་ཏེ་། བཅོམ་ལྡན་འདས་། སྒྱུ་མ་དེ་ཉིད་ཀྱང་དངོས་པོ་མ་མཆིས་པ་ལགས་ན་། དེ་ལ་ལམ་བསྒོམ་པ་གང་ལ་བརྟེན་ནས་ཀུན་ནས་ཉོན་མོངས་པར་ཡང་མི་འགྱུར་ལ་། རྣམ་པར་བྱང་བར་ཡང་མི་འགྱུར་བའི་ལམ་བསྒོམ་པ་ལྟ་ག་ལ་མཆིས་ལགས་།
K05adsp70-u:3092	 bhagavān āha:	K05D0010-3_H0012-3:222b-8	བཀའ་སྩལ་པ་།
K05adsp70-u:3093	 tat kiṃ manyase subhūte yaḥ punas tathāgato nirmitaṃ nirmiṇoti kaccit tasya nirmitasya	K05D0010-3_H0012-3:222b-9	རབ་འབྱོར་། འདི་ཇི་སྙམ་དུ་སེམས་། དེ་བཞིན་གཤེགས་པའི་སྤྲུལ་པས་སྤྲུལ་པ་གཞན་ཞིག་མངོན་པར་སྤྲུལ་ན་།
K05adsp70-u:3094	 vastv asti. yat karmābhisaṃskṛtya narakaṃ vā gacchet tiryagyonir vā yamalokaṃ vā	K05D0010-3_H0012-3:222b-11	སྤྲུལ་པ་དེ་ལ་ལས་གང་མངོན་པར་འདུས་བྱས་པས་སེམས་ཅན་དམྱལ་བར་འགྲོ་བའམ་།
K05adsp70-u:3095	 devamanuṣyeṣu vā upapadyeta. yāvan naivasaṃjñānāsaṃjñāyateneṣu deveṣu upapadyeta?	K05D0010-3_H0012-3:222b-12	འདུ་ཤེས་མེད་། འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ཀྱི་བར་དག་ཏུ་འགྲོ་བར་འགྱུར་བའི་ལས་མངོན་པར་འདུ་བྱེད་པ་འགའ་ཞིག་ཡོད་སྙམ་མམ་།
K05adsp70-u:3096	 āha: no hīdaṃ bhagavann avastukaḥ sa bhagavaṃ nirmitaḥ.	K05D0010-3_H0012-3:222b-14	གསོལ་པ་། བཅོམ་ལྡན་འདས་། དེ་ནི་མ་ལགས་ཏེ་། བཅོམ་ལྡན་འདས་། སྤྲུལ་པ་དེ་ཉིད་ཀྱང་དངོས་པོ་མ་མཆིས་པ་ལགས་ན་།
K05adsp70-u:3097	 bhagavān āha:	K05D0010-3_H0012-3:222b-21	བཀའ་སྩལ་པ་།
K05adsp70-u:3098	 tat kiṃ manyase subhūte. kaccit tasya nirmitasya mārgabhāvanā asti. yāṃ mārgabhāvanām āgamya naiva saṃkliśyeta na vavadāyeta?	K05D0010-3_H0012-3:222b-22	རབ་འབྱོར་། འདི་ཇི་སྙམ་དུ་སེམས་། སྤྲུལ་པ་དེ་ལ་ལམ་བསྒོམ་པ་གང་ལ་བརྟེན་ནས་ཀུན་༄༢༢༣ཨ་༌༎ ནས་ཉོན་མོངས་པར་ཡང་མི་འགྱུར་ལ་། རྣམ་པར་བྱང་བར་ཡང་མི་འགྱུར་བའི་ལམ་བསྒོམ་པ་འགའ་ཞིག་ཡོད་སྙམ་མམ་།
K05adsp70-u:3099	 āha: no hīdaṃ bhagavaṃ.	K05D0010-3_H0012-3:223a-3	གསོལ་པ་། བཅོམ་ལྡན་འདས་། དེ་ནི་མ་ལགས་སོ་༎
K05adsp70-u:3100	 bhagavān āha:	K05D0010-3_H0012-3:223a-5	བཀའ་སྩལ་པ་།
K05adsp70-u:3101	 tat kiṃ manyase subhūte kaścid atra saṃkliśyate vā vyavadāyate vā?	K05D0010-3_H0012-3:223a-6	རབ་འབྱོར་། འདི་ཇི་སྙམ་དུ་སེམས་། དེ་ལ་ཀུན་ནས་ཉོན་མོངས་པར་འགྱུར་བའམ་། རྣམ་པར་བྱང་བར་འགྱུར་བ་འགའ་ཞིག་ཡོད་སྙམ་མམ་།
K05adsp70-u:3102	 āha: no hīdaṃ bhagavaṃ.	K05D0010-3_H0012-3:223a-9	གསོལ་པ༏་བཅོམ་ལྡན་འདས་། འགའ་ཡང་མ་མཆིས་ལགས་སོ་༎
K05adsp70-u:3103	 bhagavān āha:	K05D0010-3_H0012-3:223a-11	བཀའ་སྩལ་པ་།
K05adsp70-u:3104	 yathaiva subhūte kaścin na saṃkliśyate na vyavadāyate tathaiva nāsti saṃkleśo na vyavadānaṃ. tat kasya hetor?	K05D0010-3_H0012-3:223a-12	རབ་འབྱོར་ཇི་ལྟར་ཀུན་ནས་ཉོན་མོངས་པར་འགྱུར་བ་འགའ་ཡང་མེད་ཅིང་། ཀུན་ནས་ཉོན་མོངས་པའང་མེད་ལ་། རྣམ་པར་བྱང་བའང་མེད་དོ་༎ དེ་ཅིའི་ཕྱིར་ཞེ་ན་།
K05adsp70-u:3111	 bhūtadarśī bhagavaṃ na saṃkliśyate na vyavadāyate. 'bhūtadarśy api na saṃkliśyate na vyavadāyate. tathā hy abhāvasvabhāvāḥ sarvadharmāḥ,  abhāvasya ca bhagavaṃ na saṃkleśo na vyavadānaṃ. bhāvasya api bhagavan na saṃkleśo na vyavadānam,	K05D0010-3_H0012-3:223b-7	འདི་ལྟར་ཆོས་ཐམས་ཅད་ནི་དངོས་པོ་མ་མཆིས་པའི་ངོ་བོ་ཉིད་ལགས་པས་། དངོས་པོ་མ་མཆིས་པ་ལའང་ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་ཤིང་། རྣམ་པར་བྱང་བ་མ་མཆིས་ལ་། བཅོམ་ལྡན་འདས་། དངོས་པོ་ལའང་ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་ཤིང་། རྣམ་པར་བྱང་བ་མ་མཆིས་ཏེ་།
K05adsp70-u:3113	 svabhāvasya api bhagavan na saṃkleśo na vyavadānaṃ. abhāvasvabhāvasya api bhagavan na saṃkleśo na vyavadānaṃ. tad yad etad bhagavatā vyavadānaṃ	K05D0010-3_H0012-3:223b-13	བཅོམ་ལྡན་འདས་། ངོ་བོ་ཉིད་ལའང་ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་ཤིང་། རྣམ་པར་བྱང་བ་མ་མཆིས་ལ་། བཅོམ་ལྡན་འདས་། དངོས་པོ་མ་མཆིས་པའི་ངོ་བོ་ཉིད་ལའང་ཀུན་ནས་ཉོན་མོངས་པ་མ་མཆིས་ཤིང་། རྣམ་པར་བྱང་བ་མ་མཆིས་ལགས་ན་།
K05adsp70-u:2318	 ye yācanakā āgacchanti tasya cakravartirājyasyaivaṃ bhavati,	K05D0010-3_H0012-3:182b-10	འཁོར་ལོས་སྒྱུར་བ་དེའི་དྲུང་དུ་སློང་མོ་པ་གང་དག་ལྷགས་ན་།
K05adsp70-u:3114	 tat katham idaṃ bhagavan?	K05D0010-3_H0012-3:223b-19	འོ་ན་བཅོམ་ལྡན་འདས་ཀྱིས་རྣམ་པར་བྱང་བ་བཀའ་སྩལ་པ་དེ་ཅི་ལྟ་བུ་ལགས་།
K05adsp70-u:3115	 bhagavān āha:	K05D0010-3_H0012-3:223b-20	བཀའ་སྩལ་པ་།
K05adsp70-u:3116	 yā eṣāṃ sarvadharmāṇāṃ samatā tan mayoktaṃ vyavadānaṃ?	K05D0010-3_H0012-3:223b-21	རབ་འབྱོར་། འདི་ལྟར་ཆོས་ཐམས་ཅད་ཀྱི་མཉམ་པ་ཉིད་གང་ཡིན་པ་དེ་ནི་ངས་རྣམ་པར་བྱང་བར་གསུངས་སོ་༎
K05adsp70-u:3117	 āha: sā punaḥ sarvadharmāṇāṃ samatā katamā?	K05D0010-3_H0012-3:223b-22	གསོལ་པ་། བཅོམ་ལྡན་འདས་། ཆོས་ཐམས་ཅད་ཀྱི་མཉམ་པ་ཉིད་དེ་གང་ལགས་།
K05adsp70-u:3118	 bhagavān āha:	K05D0010-3_H0012-3:223b-24	བཀའ་སྩལ་པ་།
K05adsp70-u:3119	 tathatā avitathatā ananyatathatā dharmatā dharmadhātur dharmasthititā. dharmaniyāmatā  bhūtakoṭiḥ yo 'sāv utpādād vā tathāgatānām anutpādād vā tathāgatānāṃ sthita eva dharmasthititādhātur	K05D0010-3_H0012-3:224a-0	རབ་འབྱོར་། དེ་བཞིན་ཉིད་དང་། མ་ནོར་བ་དེ་བཞིན་ཉིད་དང་། གཞན་མ་ཡིན་པ་དེ་བཞིན་ཉིད་དང་། ཆོས་༄༢༢༤ཨ་༌༎ ཉིད་དང་། ཆོས་ཀྱི་དབྱིངས་དང་། ཆོས་གནས་པ་ཉིད་དང་། ཆོས་སྐྱོན་མེད་པ་ཉིད་དང་། དེ་བཞིན་གཤེགས་པ་རྣམས་བྱུང་ཡང་རུང་། དེ་བཞིན་གཤེགས་པ་རྣམས་མ་བྱུང་ཡང་རུང་སྟེ༏་ཆོས་གནས་པ་ཉིད་དང་། ཆོས་ཀྱི་དབྱིངས་དེ་བཞིན་དུ་གནས་པ་དེ་ནི་འདི་ལྟ་སྟེ་། ཆོས་ཀྱི་དབྱིངས་ཡིན་ཏེ་།
