src_segmentnr	src_original	tgt_segmentnr	tgt_original
K05bsu049_u:4292	 evametatsubhūte, evam etat /	K02D0008-8_H0009-8:329a-17	རབ་འབྱོར་། འདི་ལྟ་སྟེ་།
K05bsu049_u:4293	 tadyathāpi nāma subhūte tathāgato 'rhan samyaksaṃbuddho yāvajjīvaṃ tiṣṭhannākāśasya varṇaṃ bhāṣeta,	K02D0008-8_H0009-8:329a-18	དཔེར་ན་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནམ་འཚོའི་བར་དུ་བཞུགས་ཤིང་ནམ་མཁའི་ལེགས་པའམ་མ་ལེགས་པ་བརྗོད་ཀྱང་། ནམ་མཁའ་ནི་ལེགས་པ་བརྗོད་པས་ཡོངས་སུ་འགྲིབ་པ་མེད་དོ་༎ ཉེས་པ་བརྗོད་ཀྱང་ཡོངས་སུ་འགྲིབ་པ་མེད་དོ་༎ ནམ་མཁའ་ནི་ལེགས་པ་བརྗོད་ཀྱང་འཕེལ་བ་མེད་དོ་༎ ཉེས་པ་བརྗོད་ཀྱང་འཕེལ་བ་མེད་དོ་༎
K05bsu049_u:4296	 tadyathāpi nāma subhūte māyāpuruṣo bhāṣyamāṇe 'pi varṇe nānunīyate na saṃkliśyate,	K02D0008-8_H0009-8:329a-23	རབ་འབྱོར་། འདི་ལྟ་སྟེ་། ༄༣༢༩བ་དཔེར་ན་། སྒྱུ་མའི་སྐྱེས་བུ་ནི་ལེགས་པ་བརྗོད་ཀྱང་འཕེལ་བ་མེད་དོ་༎
K05bsu049_u:4297	 abhāṣyamāṇe 'pi varṇe na pratihanyate,  na saṃkliśyate /	K02D0008-8_H0009-8:329b-2	ཉེས་པ་བརྗོད་ཀྱང་ཡོངས་སུ་འགྲིབ་པ་མེད་དོ་༎ ལེགས་པ་བརྗོད་ཀྱང་ཆགས་པར་འགྱུར་བ་མེད་དོ་༎ ཉེས་པ་བརྗོད་ཀྱང་ཁོང་ཁྲོ་བར་འགྱུར་བ་མེད་དོ་༎
K05bsu049_u:4299	 evameva subhūte yā dharmāṇāṃ dharmatā,  adeśyamānāpi tāvatyeva //	K02D0008-8_H0009-8:329b-5	རབ་འབྱོར་། དེ་བཞིན་དུ་ཆོས་རྣམས་ཀྱི་ཆོས་ཉིད་གང་ཡིན་པ་དེ་བསྟན་ཀྱང་དེ་བཞིན་། མ་བསྟན་ཀྱང་དེ་བཞིན་ནོ་༎
K05bsu049_u:4302	 sthaviraḥ subhūtirāha - duṣkarakārako bhagavan bodhisattvo mahāsattvo yo gambhīrāyāṃ prajñāpāramitāyāṃ caran prajñāpāramitāṃ bhāvayan na saṃsīdati notplavate /	K02D0008-8_H0009-8:329b-7	གསོལ་པ་། བཅོམ་ལྡན་འདས་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་སྤྱོད་ཅིང་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྟན་པའི་ཚེ་། ཞུམ་པ་དང་ག-ཡེང་བར་མི་འགྱུར་བ་དང་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འདི་ལ་བརྩོན་པར་བགྱིད་ཅིང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་སླར་མི་ལྡོག་པ་ནི་དཀའ་བ་བགྱིད་པའོ་༎
K05bsu049_u:4319	 kva sa yogamāpatsyate?	K02D0008-8_H0009-8:333b-0	དེ་གང་ལ་༄༣༣༣བ་བརྩོན་པར་བྱེད་པ་ཡིན་།
K05bsu049_u:4320	 subhūtirāha - ākāśe sa kauśika yogamāpatsyate,  yaḥ prajñāpāramitāyāṃ yogamāpatsyate /	K02D0008-8_H0009-8:333b-1	རབ་འབྱོར་གྱིས་སྨྲས་པ་།
K05bsu049_u:4322	 abhyavakāśe sa kauśika yogamāpatsyate,  yaḥ prajñāpāramitāyāṃ śikṣitavyaṃ yogamāpattavyaṃ maṃsyate //	K02D0008-8_H0009-8:333b-2	ཀོཨོ་ཤི་ཀ་། གང་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འདི་ལ་བསླབ་པར་སེམས་པ་དེ་ནི་། ནམ་མཁའ་སྟོང་པ་ལ་བརྩོན་པའོ་༎
K05bsu049_u:4324	 atha khalu śakro devānāmindro bhagavantametadavocat - ājñāpayatu bhagavān /	K02D0008-8_H0009-8:333b-5	དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་།
