src_segmentnr	src_original	tgt_segmentnr	tgt_original
K07pplg1__u:1003	 na rūpaṃ nimittam iti vā animittam iti vā yujyate /  na vedanān na saṃjñān na saṃskārān na vijñānaṃ nimittam iti vā animittam iti vā yujyate /  na rūpaṃ praṇihitam iti vā apraṇihitam iti vā yujyate /  na vedanān na saṃjñān na saṃskārān na vijñānaṃ praṇihitam iti vā apraṇihitam iti vā yujyate /  na rūpam utpadyata iti vā nirudhyata iti vā yujyate /	T08n0223_001:0223c24_17	不習色我不習色非我，受想行識亦如是。
K07pplg1__u:1008	 evaṃ na vedanān na saṃjñān na saṃskārān na vijñānam utpadyata iti vā nirudhyaya iti vā yujyate /  na rūpam atītam iti yujyate /  na rūpam anāgatam iti yujyate /  na rūpaṃ pratyutpannam iti yujyate evan na vedanān na saṃjñān na saṃskārān na vijñānam atītam iti yujyate na vijñānam anāgatam iti yujyate /  na vijñānaṃ pratyutpannam iti yujyate /	T08n0223_001:0223c26_2	不習色寂滅不習色不寂滅，受想行識亦如是。
K07pplg1__u:1013	 na rūpaṃ sāram iti na durbalam iti yujyate /  evan na vedanān na saṃjñān na saṃskārān na vijñānam sāram iti na durbalam iti yujyate /  na rūpam astīti na nāstīti yujyate na viyujyate /  evan na vedanān na saṃjñān na saṃskārān na vijñānam astīti na nāstīti yujyate na viyujyate /	T08n0223_001:0223c27_2	不習色空不習色非空，受想行識亦如是。 不習色有相不習色無相，受想行識亦如是。 不習色有作不習色無作，受想行識亦如是。
K07pplg1__u:1017	 sa prajñāpāramitāyāṃ caratīti nopaiti /	T08n0223_001:0224a01_4	是菩薩摩訶薩行般若波羅蜜時不作是念：
K07pplg1__u:1018	 na caratīti nopaiti /  caratīti ca na carati ceti nopaiti /  naiva carati ca na caratīti nopaiti /	T08n0223_001:0224a02_13	『我行般若波羅蜜、不行般若波羅蜜、非行非不行般若波羅蜜。
K07pplg1__u:1021	 evaṃ caraṃc chāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ //	T08n0223_001:0224a02_18	』舍利弗！ 菩薩摩訶薩如是習應，是名與般若波羅蜜相應。
K07pplg1__u:1022	 punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran na prajñāpāramitāyāḥ kṛte prajñāpāramitāyāṃ carati /  na dānapāramitāyā na śīlapāramitāyā na kṣāntipāramitāyā na vīryapāramitāyā na dhyānapāramitāyāḥ kṛte prajñāpāramitāyāṃ carati /  nāvaivartyabhūmeḥ kṛte prajñāpāramitāyāṃ carati /  na satvaparipākahetoḥ na buddhakṣetrapariśodhanārthaṃ na daśānāṃ (LPG 25r)	T08n0223_001:0224a04_10	「復次，舍利弗！ 菩薩摩訶薩不為般若波羅蜜故行般若波羅蜜，不為檀那波羅蜜、尸羅波羅蜜、羼提波羅蜜、毘梨耶波羅蜜、禪那波羅蜜故行般若波羅蜜，不為阿惟越致地故行般若波羅蜜，不為成就眾生故行般若波羅蜜，不為淨佛國土故行般若波羅蜜，不為佛十力、四無所畏、四無閡智、十八不共法故行般若波羅蜜，不為內空故行般若波羅蜜，不為外空、內外空、空空、大空、第一義空、有為空、無為空、畢竟空、無始空、散空、性空、諸法空、自相空、不可得空、無法空、有法空、無法有法空故行般若波羅蜜，不為如、法性、實際故行般若波羅蜜。
K07pplg1__u:1035	 na prakṛtiśunyatāyā /  na svalakṣaṇaśunyatāyā /  na sarvadharmaśunyatāyā /  nānutpādaśunyatāyā /  nābhāvasvabhāvaśunyatāyāḥ kṛte /  na tathatāyāḥ kṛte /  na dharmadhātor na bhūtakoṭeḥ kṛte prajñāpāramitāyāṃ carati /	T08n0223_001:0224a23_1	菩薩摩訶薩行般若波羅蜜，不為如意神通故行般若波羅蜜，不為天耳故、不為他心智故、不為宿命智故、不為天眼故、不為漏盡神通故行般若波羅蜜。
K07pplg1__u:1042	 tat kasya hetoḥ na hi bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran kasyacid dharmasya bhedaṃ vā nānākaraṇaṃ vā viśeṣaṃ vā samanupaśyati /	T08n0223_001:0224a23_5	何以故？ 菩薩摩訶薩行般若波羅蜜，尚不見般若波羅蜜，何況見菩薩神通。
K07pplg1__u:1046	 evaṃ caraṃc chāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ //	T08n0223_001:0224a26_2	菩薩摩訶薩如是行，是名與般若波羅蜜相應。
