src_segmentnr	src_original	tgt_segmentnr	tgt_original
K07pplg202u:160	 10 anupalaṃbhaśunyatāyām abhāvaśunyatāyāṃ svabhāvaśunyatāyām abhāvasvabhāvaśunyatāyāṃ suśikṣitaḥ sa khalu punaḥ subhūte bodhisatvo mahāsatvaḥ āsu śunyatāsu sthitvā yathā yathā  11 tān saṃskārāṃ pratyavekṣate /	T07n0220c_516:0637c04_8	諸菩薩摩訶薩善學內空乃至無性自性空，安住如是種種空已，如如觀察分別所作空無所有、虛妄不實，如是如是能不遠離甚深般若波羅蜜多。
K07pplg202u:162	 tathā tathā bodhisatvo mahāsatvaḥ prajñāpāramitayā avirahito bhavati /  yathā yathā bodhisatvo mahāsatvaḥ prajñāpāramitayā avirahito bhavati /	T07n0220c_516:0637c05_16	如如不離甚深般若波羅蜜多，如是如是獲福無量無數無邊。
K07pplg202u:166	 asaṃkhyeyasya ca bhagavaṃn aprameyasya cāparimāṇasya ca ko viśeṣaḥ bhagavān āha /	T07n0220c_516:0637c08_15	「所說無量、無數、無邊有何差別？
K07pplg202u:167	 asaṃkhyeyam api195 subhūte yat saṃkhyāṃ nopaiti	T07n0220c_516:0637c08_21	」佛告善現：
K07pplg202u:168	 13 saṃskṛte vā dhātav asaṃskṛte va dhātau aprameyam iti subhūte yasya pramāṇaṃ nopalabhyate atītānāgatapratyutpanneṣu dharmeṣu /  aparimāṇam iti subhūte yan na śakyaṃ pramātuṃ /	T07n0220c_516:0637c10_6	「言無量者，量不可得，不可量在過去、未來、現在法中故名無量。
K07pplg202u:170	 [GBM 576.l = LPG(Ch) 204v] āha / syād bhagavaṃ paiyāyo yad rūpam apy asaṃkhyeyam	T07n0220c_516:0637c11_14	言無數者，數不可得，不可數在一切有為、無為界中故名無數。 言無邊者，邊不可得，不可測度彼法邊際故名無邊。 」具壽善現復白佛言：
K07pplg202u:171	 aprameyam aparimāṇaṃ bhavet* vedanā saṃjñā saṃskāra vijñānam asaṃkhyeyam aprameyam	T07n0220c_516:0637c14_18	「頗有因緣，色亦無量無數無邊，受、想、行、識亦無量無數無邊不？
K07pplg202u:172	 aparimāṇaṃ bhavet* bhagavān āha /  syāt subhūte paryāyo	T07n0220c_516:0637c15_1	」佛告善現：
K07pplg202u:174	 2 yena paryāyeṇa rūpam apy asaṃkhyeyam aprameyam aparimāṇaṃ bhavet* vedanā saṃjñā saṃskārā vijñānam apy asaṃkhyeyam aprameyam aparimāṇaṃ bhavet* āha /	T07n0220c_516:0637c16_7	「有因緣故，色亦無量無數無邊，受、想、行、識亦無量無數無邊。
K07pplg202u:176	 3 asaṃkhyeyam aprameyam aparimāṇaṃ bhaved vedanā saṃjñā saṃskārā vijñānam apy asaṃkhyeyam aprameyam bhavet* bhagavān āha /	T07n0220c_516:0637c18_4	「何因緣故，色亦無量無數無邊，受、想、行、識亦無量無數無邊？
K07pplg202u:177	 rūpam api subhūte śunyam asaṃkhyeyam aprameyam  4 aparimāṇaṃ /  vedanā saṃjñā saṃskārā vijñānam api subhūte śunyam asaṃkhyeyam aprameyam aparimāṇaṃ āha /	T07n0220c_516:0637c18_10	」佛告善現： 「色性空故說為無量無數無邊，受、想、行、識性空故說為無量無數無邊。 」具壽善現復白佛言：
K07pplg202u:180	 kiṃ punar bhagavaṃn rūpam eva śunyaṃ vedanā saṃjñā saṃskārā vijñānam eva śunyaṃ / na punaḥ	T07n0220c_516:0637c21_12	「為但色性空，受、想、行、識性空，為一切法皆性空耶？ 」佛告善現：
K07pplg202u:181	 5 sarvadharmāḥ śunyāḥ bhagavān āha /	T07n0220c_516:0637c22_8	「我先豈不說一切法皆空？
K07pplg202u:182	 tat kiṃ manyase subhūte nanu mayā sarvadharmāḥ śunyā ity ākhyātāḥ āha /  śunyā bhagavan sarvadharmā iti tathāgatenākhyātā yā ca bhagavaṃn śunyatā / akṣayāpi	T07n0220c_516:0637c22_14	」善現答言： 「佛雖常說諸法皆空，而諸有情不知、見、覺，故我今者復作是問。 世尊！ 諸法性空即是無盡，亦是無量，亦是無數，亦是無邊。 世尊！
K07pplg202u:184	 6 sā / aprameyāpi sā aparimāṇāpi sā na hi bhagavaṃ śunyatāyāḥ saṃkhyopalabhyate na pramāṇaṃ na parimāṇam upalabhyate /	T07n0220c_516:0637c26_14	諸法空中盡不可得，量不可得，數不可得，邊不可得。
K07pplg202u:185	 tasmāt tarhi bhagavaṃ naiṣān dharmāṇām arthato  7 vā vyaṃjanato vā nānākaraṇam upalabhyate /	T07n0220c_516:0637c27_17	由此因緣，無盡無量無數無邊，若義若文俱無差別。
K07pplg202u:187	 bhagavān āha /	T07n0220c_516:0637c28_3	」佛告善現：
K07pplg202u:188	 evam etat subhūte evam etat* naiṣān dharmāṇām arthato vā vyaṃjanato vā nānākaraṇam upalabhyate /	T07n0220c_516:0637c28_7	「如是！ 如是！ 如汝所說。 無盡無量無數無邊，若義若文俱無差別，皆共顯了諸法空故。
K07pplg202u:189	 anabhilāpyam etat subhūte tathāgatenābhilaptam	T07n0220c_516:0638a01_6	善現當知！
K07pplg202u:190	 8 akṣayam iti vā aprameyam iti vā /  śunyam iti vā ānimittam iti vā apraṇihitam iti vā anabhisaṃskāram iti vā anutpāda iti vā virāga iti vā nirodha iti vā nirvāṇam  9 iti vā / deśanābhinirhāranirdeśa eṣa tathāgatasyākṣayam iti vā yāvan nirvāṇam iti vā /	T07n0220c_516:0638a06_14	諸法空理皆不可說，如來方便說為無盡，或說無量，或說無數，或說無邊，或說為空，或說無相，或說無願，或說無作，或說無為，或說無生，或說無滅，或說離染，或說永滅，或說涅槃，或說真如，或說實際，諸如是等實義無異，皆是如來方便演說。
K07pplg202u:193	 āha /	T07n0220c_516:0638a07_4	」具壽善現便白佛言：
K07pplg202u:194	 āścaryaṃ bhagavan yāvac cedaṃ dharmāṇāṃ dharmatā tathāgatena deśitā anabhilāpyā /  yathāham bhagavato	T07n0220c_516:0638a07_8	「世尊！ 甚奇方便善巧諸法實性不可宣說，而為有情方便顯示。
K07pplg202u:196	 10 bhāṣitasyārtham ājānāmi /  sarvadharmā eva bhagavann anabhilāpyāḥ /	T07n0220c_516:0638a09_11	如我解佛所說義者，諸法實性皆不可說。
K07pplg202u:198	 bhagavān āha /	T07n0220c_516:0638a09_17	」佛告善現：
K07pplg202u:199	 evam etat subhūte evam etat* sarvadharmā subhūte anabhilāpyāḥ yā subhūte dharmāṇām anabhilāpyatā sā	T07n0220c_516:0638a09_21	「如是！ 如是！ 諸法實性皆不可說。 所以者何？
K07pplg202u:200	 11 śunyatā na ca śunyatāyāṃ kiṃ cid abhilapitaṃ nāpi śunyatā śakyā abhilapituṃ āha /	T07n0220c_516:0638a11_13	一切法性皆畢竟空，無能宣說畢竟空者。 」爾時，善現復白佛言：
K07pplg202u:201	 kaccit punar bhagavaṃn anabhilāpyasyārthasya vṛddhir vā parihāṇir vā /	T07n0220c_516:0638a12_13	「不可說義有增減不？
K07pplg202u:202	 bhagavān āha /  no hīdaṃ subhūte na subhūte	T07n0220c_516:0638a12_19	」佛告善現：
K07pplg202u:204	 12 anabhilāpyasyārthasya vṛddhir vā parihāṇir vā /	T07n0220c_516:0638a13_6	「不可說義無增無減。
K07pplg202u:205	 āha /	T07n0220c_516:0638a13_16	」具壽善現復白佛言：
