src_segmentnr	src_original	tgt_segmentnr	tgt_original
K09bsu016_u:14777	 yāvata keci daśaddiśi loke sarvatriyadhvagatā narasiṃhāḥ /	T85n2907_001:1452c05_0	盡諸十方世界尊　　普遊三世人師子
K09bsu016_u:14778	 tānahu vandami sarvi aśeṣān kāyatu vāca manena prasannaḥ // 1 //	T85n2907_001:1452c06_0	我身口意具清淨　　是故今當遍稽首
K09bsu016_u:14779	 kṣetrarajopamakāyapramāṇaiḥ sarvajināna karomi praṇāmam /  sarvajinābhimukhena manena bhadracarīpraṇidhānabalena // 2 //	T85n2907_001:1452c07_0	以普賢行諸願力　　一切最勝相現前 俯身量等剎土塵　　虔心卛禮於大聖
K09bsu016_u:14781	 ekarajāgri rajopamabuddhā buddhasutāna niṣaṇṇaku madhye /  (Gv 429)	T85n2907_001:1452c09_0	一微塵上眾塵佛　　各於其中佛子遶
K09bsu016_u:14785	 sarvajināna guṇān bhaṇamānastān sugatān stavamī ahu sarvān // 4 //	T85n2907_001:1452c12_0	諸佛功德敷演故　　一切善願我當讚
K09bsu016_u:14786	 puṣpavarebhi ca mālyavarebhirvādyavilepanachatravarebhiḥ /	T85n2907_001:1452c13_0	最勝妙華及花鬘　　最勝妙燈及鑪香
K09bsu016_u:14787	 dīpavarebhi ca dhūpavarebhiḥ pūjana teṣa jināna karomi // 5 //	T85n2907_001:1452c14_0	音聲塗香及寶蓋　　恭敬供養一切佛
K09bsu016_u:14788	 vastravarebhi ca gandhavarebhiścūrṇapuṭebhi ca merusamebhiḥ /	T85n2907_001:1452c15_0	勝妙衣服及薰香　　末香積裏等須彌
K09bsu016_u:14789	 sarvaviśiṣṭaviyūhavarebhiḥ pūjana teṣa jināna karomi // 6 //	T85n2907_001:1452c16_0	勝妙一切莊嚴具　　恭敬供養於善遊
K09bsu016_u:14790	 yā ca anuttara pūja udārā tānadhimucyami sarvajinānām /  bhadracarīadhimuktibalena vandami pūjayamī jina sarvān // 7 //	T85n2907_001:1452c17_0	深信普賢行願力　　如是無上廣大施 此皆將獻於十方　　恭敬供養一切佛
K09bsu016_u:14792	 yacca kṛtaṃ mayi pāpu bhaveyyā rāgatu dveṣatu mohavaśena /	T85n2907_001:1452c19_0	為以貪嗔癡為因　　身業口業及意業
K09bsu016_u:14794	 yacca daśaddiśi puṇya jagasya śaikṣa aśaikṣapratyekajinānām /  buddhasutānatha sarvajinānāṃ taṃ anumodayamī ahu sarvam // 9 //	T85n2907_001:1452c22_0	及與眾生諸功德　　我當隨喜於一切
K09bsu016_u:14796	 ye ca daśaddiśi lokapradīpā bodhivibuddha asaṅgataprāptāḥ /	T85n2907_001:1452c23_0	十方諸界作燈者　　願證無著佛菩薩
K09bsu016_u:14797	 tānahu sarvi adhyeṣami nāthāṃ cakru anuttaru vartanatāyai // 10 //	T85n2907_001:1452c24_0	如是於諸大導師　　我請轉於無上輪
K09bsu016_u:14798	 ye 'pi ca nirvṛti darśitukāmāstānabhiyācami prāñjalibhūtaḥ /  (Gv 430)  kṣetrarajopamakalpa sthihantu sarvajagasya hitāya sukhāya // 11 //	T85n2907_001:1452c25_0	有佛欲取於涅槃　　為利一切有情故 我以合掌當跪請　　令願住劫剎土塵
