src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10D0256_H0257:133b-3	སངས་རྒྱས་ཀྱི་བུ་ངན་སེམས་བསྐྱེད་དེ་ཕོ་མོ་ལ་སོགས་པ་འཐབ་བོ་ཅོག་ལ་ལྟ་བ་དམག་གི་ག-ཡུལ་དང་། དགྲ་ཆོམ་པོ་བྱེད་པ་ལ་སོགས་པ་ལ་བལྟར་མི་རུང་ངོ་༎	T12n0375_011:0674b27_21	「終不觀視象鬪、馬鬪、車鬪、兵鬪、若男、若女、牛、羊、雞、雉、鸚鵡等鬪，亦不故往觀視軍陣。
K10D0256_H0257:133b-4	ཡང་གཅིག་ཏུ་དུང་འབུད་པ་དང་། རྔ་གླིང་དང་། གྱིམ་ཤིང་དང་། ཛེང་དང་། གླིང་བུ་དང་། ཀོར་ཧིའུ་དང་། གླུ་ལེན་པ་དང་། རོལ་མོའི་སྒྲ་ལ་མཉན་དུ་མི་རུང་ངོ་༎	T12n0375_011:0674b29_7	亦不故聽吹貝、鼓、角、琴、瑟、箏、笛、箜篌、歌叫、伎樂之聲，除供養佛。
K10D0256_H0257:133b-5	ཆོ་ལོ་དང་། མིག་མང་དང་། པར་སིག་གི་རྩེད་མོ་དང་། ར་འབྲི་ལུག་གི་དམག་གི་རྩེད་མོ་དང་། ཕོ་ལོང་རྡོ་བ་དང་། རྡོ་འཕེན་གྱིས་རྩེ་བ་དང་། བུམ་བུ་ལ་རྡེའུ་འཕེན་པ་དང་། ཁྲས་བྱེད་པ་དང་།	T12n0375_011:0674c02_10	摴蒲、圍碁、波羅塞戲、師子、象鬪、彈碁、六博、拍毱、擲石、投𭈰、牽道、八道行成，一切戲笑悉不觀作。
K10D0256_H0257:133b-7	རྩ་ཚི་ཚའུ་དང་། རྒྱ་ལྕང་དང་། ཕེར་ཁ་རུ་བ་དང་། མིའི་ཐོད་པ་དང་། དེ་རྣམས་ལ་མོ་གདབ་ཏུ་མི་རུང་ངོ་༎ རྐུན་པོའི་ཐན་གྱི་ཕོ་ཉ་ལ་སོགས་པ་གཅིག་ཀྱང་བྱར་མི་རུང་ངོ་༎ དེ་ལྟར་ཆེད་ཀར་བྱས་ན་ལྟུང་བའི་༎	T12n0375_011:0674c04_15	「終不瞻相手、足、面目，不以爪鏡、芝草、楊枝、鉢盂、髑髏而作卜筮，亦不仰觀虛空星宿，除欲解睡。
K10D0256_H0257:134b-2	སངས་རྒྱས་ཀྱི་བུ་ཚུལ་ཁྲིམས་བཟུང་ལ་སྲན་ཐུབ་པར་བྱ་བ་ནི་།	T12n0375_011:0674c07_22	「善男子！ 是名菩薩摩訶薩息世譏嫌戒。
K10D0256_H0257:134b-4	དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་འདི་ལྟ་བུའི་སྨོན་ལམ་མ་བསྐྱེད་ན་ལྟུང་བའོ་༎	T12n0375_011:0674c10_3	菩薩摩訶薩堅持如是遮制之戒，與性重戒等無差別。
K10D0256_H0257:134b-5	སངས་རྒྱས་ཀྱི་བུ་སྨོན་ལམ་ཆེན་པོ་བཅུ་སྨོན་པའི་འོག་ཏུ་སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་གཟུངས་སུ་བཟུང་སྟེ་སྨོན་ལམ་འདི་བཞིན་དུ་གདབ་བོ་༎	T12n0375_011:0674c11_4	「善男子！ 菩薩摩訶薩受持如是諸禁戒已，作是願言：
K10D0256_H0257:134b-6	བདག་གི་ལུས་འདི་མེ་ཆེན་པོའི་ནང་དུ་ཚིག་ཀྱང་རུང་། ཁུང་ཟབ་མོ་དང་། རལ་གྲིའི་རི་ལ་སོང་ཡང་རུང་སྟེ་དུས་གསུམ་གྱི་སངས་རྒྱས་ཀྱི་དམ་པའི་ཆོས་ཀྱི་ཡི་གེ་དང་། ཚུལ་ཁྲིམས་མཐར་མི་ཞིག་པ་དང་། ནམ་དུའང་མི་ཞིག་པ་བུད་མེད་ཐམས་ཅད་གསོག་པ་མི་བྱེད་པར་སྨོན་ཏོ་༎	T12n0375_011:0674c14_15	『寧以此身投於熾然猛火深坑，終不毀犯過去、未來、現在諸佛所制禁戒與剎利、婆羅門、居士等女而行不淨。 』「復次，善男子！
K10D0256_H0257:134b-9	ལྕགས་བསྲེགས་པའི་དྲ་བ་དང་། དེ་ལྟ་བུ་རྒྱ་མོ་རིམ་པ་སྟོང་གིས་བསྐོར་ཏེ་ལུས་དཀྲིས་ཀྱང་མཐར་ཡུན་དུ་ཚུལ་ཁྲིམས་བྲལ་བའི་ལུས་ཀྱིས་དད་པའི་སྤྱིན་བདག་གི་གོས་ཐམས་ཅད་མི་བགོ་བར་སྨོན་ཏོ་༎	T12n0375_011:0674c15_11	菩薩摩訶薩復作是願： 『寧以熱鐵周匝纏身，終不敢以破戒之身而受信心檀越衣服。
K10D0256_H0257:135a-1	ནང་དུ་ལྕགས་ཀྱི་ཐུ་ལུམ་བསྲེགས་པ་དང་། མེ་ཆུ་བཞིན་དུ་བབ་སྟེ་འོངས་པ་ལ་བསྐལ་པ་བརྒྱ་སྟོང་གི་བར་དུ་ལོན་ཀྱང་ཚུལ་ཁྲིམས་བཤིག་པའི་ཁས་དད་པའི་སྦྱིན་བདག་གི་ཟས་ཐམས་ཅད་མི་ཟ་བར་སྨོན་ཏོ་༎	T12n0375_011:0674c17_21	菩薩摩訶薩復作是願： 『寧以此口吞熱鐵丸，終不敢以毀戒之口而食信心檀越飲食。
K10D0256_H0257:135a-3	ལུས་འདི་མེ་ཆེན་པོས་བསྲེགས་པའི་ལྕགས་ཀྱི་དྲ་བ་དང་། ལྕགས་བསྲེགས་པའི་ཚ་བའི་སྟེང་དུ་བསྙལ་ཀྱང་ཚུལ་ཁྲིམས་དྲལ་བའི་ལུས་ཀྱིས་དད་པའི་སྦྱིན་བདག་གི་ཁྲི་བོ་ཅོག་གི་སྟེང་དུ་མི་འདུག་པར་སྨོན་ཏོ་༎	T12n0375_011:0674c21_13	『寧臥此身大熱鐵上，終不敢以破戒之身受信心檀越床臥敷具。 』「復次，善男子！
K10D0256_H0257:135a-5	ལུས་འདི་བསྐལ་པ་གཅིག་གཉིས་ཀྱི་བར་དུ་མདུད་རྩེ་ཁ་གསུམ་པ་སུམ་བརྒྱས་གཙགས་ཀྱང་རུང་སྟེ་། མཐར་ཚུལ་ཁྲིམས་བཤིག་པའི་ལུས་ཀྱིས་དད་པའི་སྦྱིན་བདག་གི་རྩི་སྨན་ཐམས་ཅད་མི་ཟ་བར་སྨོན་ཏོ་༎	T12n0375_011:0674c24_2	『寧以此身受三百鉾，終不敢以毀戒之身而受信心檀越醫藥。
K10D0256_H0257:135a-7	ཡང་གཅིག་ཏུ་སྨོན་ལམ་འདི་ལྟར་སྨོན་ཏོ་༎	T12n0375_011:0674c24_11	』「復次，善男子！ 菩薩摩訶薩復作是願：
K10D0256_H0257:135a-8	ལུས་འདིས་བསྐལ་པ་སྟོང་གི་བར་དུ་ལྕགས་ཀྱི་ཟངས་པོ་ཆེ་ཚ་བའི་ནང་དུ་བཅུག་ཀྱང་རུང་སྟེ་། མཐར་ཚུལ་ཁྲིམས་དྲལ་བའི་ལུས་ཀྱིས་དད་པའི་སྦྱིན་བདག་གི་ཁང་ཁྱིམ་མོ་ཅོག་དང་། ལྡུམ་ར་དང་། སྐྱེད་ཤིང་དང་། ཞིང་གི་སྟེང་དུ་མི་འདུག་པར་སྨོན་ཏོ་༎	T12n0375_011:0674c26_9	『寧以此身投熱鐵鑊，終不敢以破戒之身受信心檀越房舍、屋宅。
K10D0256_H0257:135b-6	བསྐལ་པ་སྟོང་ཕྲག་བརྒྱའི་བར་དུ་རལ་གྲིས་སྣ་བཅད་ཅིང་གཞོགས་ཀྱང་ཁྲིམས་དྲལ་བའི་སེམས་ཀྱིས་སྤོས་སོ་ཅོག་ལ་མི་སྣོམ་པར་སྨོན་ཏོ་༎ ཡང་གཅིག་ཏུ་སྨོན་ལམ་འདི་ལྟར་སྨོན་ཏོ་༎ བསྐལ་པ་བརྒྱ་སྟོང་གི་བར་དུ་ལྕེ་རལ་གྲིས་བཅད་གཏུབས་ཀྱང་ཁྲིམས་དྲལ་བའི་སེམས་ཀྱིས་མིའི་ཅོག་གི་ཁ་ཟས་གཙང་མའོ་ཅོག་ལ་མི་བཟའ་བར་སྨོན་ཏོ་༎ ཡང་གཅིག་ཏུ་སྨོན་ལམ་འདི་༄༡༣༦ཨ་༌༎ ལྟར་སྨོན་ཏོ་༎	T12n0375_011:0674c29_8	『寧以鐵椎打碎此身，從頭至足令如微塵，不以破戒受諸剎利、婆羅門、居士恭敬禮拜。
