src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12D0512=D0270=D0852_H0490:22b-6	བཅོམ་ལྡན་འདས་ཏི་སེའི་རིའི་རྩེ་མོ་ལྷའི་གནས་ན་དྲང་སྲོང་གི་སྤྱོད་པ་དང་ཧ་ཅང་ཡང་མི་རིང་བ་ཞིག་ན་།	T20n1147_001:0604c14_4	一時世尊在喜樂山頂天宮不遠仙人住處。
K12D0512=D0270=D0852_H0490:22b-7	དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་ལ་།	T20n1147_001:0604c14_14	與大比丘眾五百人俱。 復有菩薩摩訶薩眾。
K12D0512=D0270=D0852_H0490:22b-8	འདི་ལྟ་སྟེ་།	T20n1147_001:0604c16_7	其名曰。
K12D0512=D0270=D0852_H0490:22b-9	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་དང་། ཀུན་ཏུ་བཟང་པོ་དང་། མཐའ་ཡས་མེ་ཏོག་དང་། ཀུན་ནས་མེ་ཏོག་དང༏་དེ་དག་ལ་སོགས་པ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་ཤ་སྟག་དང་ཐབས་གཅིག་ཏུ་བཞུགས་སོ་༎	T20n1147_001:0604c17_7	慈氏菩薩摩訶薩。 普賢菩薩摩訶薩。 無邊華菩薩摩訶薩。 普遍華菩薩摩訶薩。 虛空藏菩薩摩訶薩。 如是等菩薩摩訶薩五百人俱。
K12D0512=D0270=D0852_H0490:23a-0	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རིའི་རྩེ་མོའི་ནགས་ཁྲོད་དེ་ཉིད་ན་དགེ་༄༢༣ཨ་༌༎	T20n1147_001:0604c20_8	爾時世尊及諸菩薩。 見彼山下河邊林中。
K12D0512=D0270=D0852_H0490:23a-1	སློང་ཞིག་འབྱུང་པོས་ཟིན་ནས་བརྡོལ་ཞིང་གཅེར་བུ་གོས་མེད་ལ་ལག་པ་སྒྲེང་སྟེ་ངུ་ཞིང་འདུག་པ་གཟིགས་སོ་༎ དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོས་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ་པུས་མོ་ག-ཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས་།	T20n1147_001:0605a01_3	有二比丘裸形舒手叫喚啼泣是時虛空藏菩薩摩訶薩。 即從座起偏袒右肩。
K12D0512=D0270=D0852_H0490:23a-12	ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བགྱིད་པ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་རིག་སྔགས་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ་། བཀའ་སྩལ་དུ་གསོལ་།	T20n1147_001:0605a07_6	白佛言世尊如是疾病云何消除。 如是部多云何除遣。
K12D0512=D0270=D0852_H0490:23a-14	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་སྤྲུལ་པ་མཛད་དེ་། དེ་ནས་ནམ་༄༢༣བ་མཁའ་ལ་དེ་བཞིན་གཤེགས་པ་དྲུག་བྱུང་ངོ་༎ བདུན་པ་ནི་།	T20n1147_001:0605a08_12	爾時世尊以神通力召集諸佛。 時虛空中現六如來。
K12D0512=D0270=D0852_H0490:23a-3	བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎	T20n1147_001:0605a02_2	右膝著地合掌恭敬。 白佛言世尊。
K12D0512=D0270=D0852_H0490:23a-4	བཅོམ་ལྡན་འདས་། ནམ་མཁའི་དཀྱིལ་ན་ཀྱི་ཧུད་ཅེས་སྒྲ་འབྱིན་པ་འདི་དང་། དགེ་སློང་གཅེར་བུ་གོས་མ་མཆིས་ལ་། ལག་པ་བསྟོད་པ་ཅིག་ཤོས་འདི་ཡང་སུ་ཞིག་ལགས་།	T20n1147_001:0605a02_17	殑伽河邊彼二比丘。 何因何緣裸形舒手叫喚啼泣。
K12D0512=D0270=D0852_H0490:23a-7	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ ནམ་མཁའི་སྙིང་པོ་།	T20n1147_001:0605a04_14	爾時世尊告虛空藏菩薩摩訶薩言。
K12D0512=D0270=D0852_H0490:23a-9	འདི་ནི་ནད་ཀྱིས་བཏབ་པ་ཡིན་ནོ་༎ ཅིག་ཤོས་འདི་ཡང་ནད་ཀྱིས་བཏབ་པ་ཡིན་ནོ་༎	T20n1147_001:0605a05_17	彼二比丘疾病所纏部多所執是故裸形叫喚啼泣。
K12D0512=D0270=D0852_H0490:26a-16	བླངས་ཤིང་བཟུང་སྟེ་ཀུན་ཆུབ་པར་བྱས་ན་ཕྱི་མའི་ཚེ་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་དག་དེའི་ཚེ་དཀོན་མཆོག་གསུམ་ལ་དད་པ་རྙེད་ནས་ཁྲུས་བྱས་ཏེ་།	T20n1147_001:0605c27_13	後時後分若有比丘比丘尼優婆塞優婆夷。
K12D0512=D0270=D0852_H0490:26a-17	བཅོམ་ལྡན་འདས་ལ་མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དག་གིས་མཆོད་པ་བྱས་ནས་གསང་སྔགས་འདི་ལན་བརྒྱ་རྩ་བརྒྱད་བརྗོད་པར་འགྱུར་ཏེ་།	T20n1147_001:0605c28_4	香華塗香供養三寶。 沐浴世尊發心念誦此陀羅尼。
K12D0512=D0270=D0852_H0490:26a-18	ཚེ་རབས་བདུན་དུ་ཚེ་རབས་དྲན་པར་འགྱུར་རོ་༎ ལྷ་རྣམས་ཀྱི་ནང་དུ་ལྷའི་ཆེ་བ་ཉིད་ཐོབ་པར་འགྱུར་རོ་༎	T20n1147_001:0605c29_7	滿八百遍得宿命通。 七生天上作諸天子。
K12D0512=D0270=D0852_H0490:26a-20	ཡང་ན་མི་རྣམས་ཀྱི་ནང་དུ་འཁོར་ལོས་བསྒྱུར་བར་འགྱུར་རོ་༎	T20n1147_001:0606a01_6	下生人間為轉輪王。
K12D0512=D0270=D0852_H0490:26b-0	ཡང་ན་ཆོ་༄༢༦བ་ག་བཞིན་དུ་བསྒྲུབས་ན་དེ་མིར་སྐྱེ་བ་ཐ་མ་ཐོབ་པར་འགྱུར་ཏེ་།	T20n1147_001:0606a01_15	若不依法隨緣念誦。 常生人中。
K12D0512=D0270=D0852_H0490:26b-1	འདི་ནས་ཤི་འཕོས་ནས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་ཏེ་།	T20n1147_001:0606a02_10	人中命終生安樂剎。
K12D0512=D0270=D0852_H0490:26b-2	ཚེ་འདི་ལ་ཡང་རྟག་ཏུ་བརྗོད་ན་ནད་ཐམས་ཅད་ལས་ཐར་བར་འགྱུར་རོ་༎ ཐོས་པ་འཛིན་པར་འགྱུར་རོ་༎ ཟས་དང་། སྐོམ་གྱི་རྣམ་པ་ལ་ལན་བདུན་སྔགས་ཏེ་ཟོས་འཐུང་ན་ནད་ཐམས་ཅད་ལས་ཐར་བར་འགྱུར་རོ་༎	T20n1147_001:0606a03_2	若得種種飲食加持七遍。 一切疾病悉皆遠離。
K12D0512=D0270=D0852_H0490:26b-6	བཟའ་བ་ཐམས་ཅད་ལ་ལན་སྟོང་རྩ་བརྒྱད་ཀྱིས་བཀྲུ་བར་བྱའོ་༎	T20n1147_001:0606a04_18	當先澡浴念誦此明滿一七遍。
K12D0512=D0270=D0852_H0490:26b-7	ལྷོག་རྒལ་བཅད་ན་ཟངས་ཁབ་ཀྱིས་བྱའོ་༎	T20n1147_001:0606a05_8	若患惡瘡呪瘡七遍。 若患癰腫加持銅針。 念呪下針即得除愈。
K12D0512=D0270=D0852_H0490:26b-8	འཐབ་པ་དང་། རྩོད་པ་དང་། བཅིངས་པ་ཐམས་ཅད་ལས་ཐར་བར་བྱ་ན་ལན་བདུན་བཟླས་བརྗོད་བྱ་སྟེ་།	T20n1147_001:0606a06_16	一切鬪諍念誦此明。 滿一七遍即得除散。 一切繫縛念誦此明。
