src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12D0772=D0907_H0714:117b-10	གཞོན་ནུ་སྒྲ་གཅན་ཟིན་སྲུང་བའི་ཕྱིར་མེ་ཁ་ལ་ཞེས་བྱ་བའི་རིག་སྔགས་བཤད་ཀྱི་ཁྱོད་ཀྱིས་ཟུངས་ཤིག་ལྷའི་ཚོགས་དང་། ཀླུའི་ཚོགས་དང་། གནོད་སྦྱིན་གྱི་ཚོགས་དང་། སྲིན་པོའི་ཚོགས་དང་། ལྷ་མ་ཡིན་གྱི་ཚོགས་དང་། ནམ་མཁའ་ལྡིང་གི་ཚོགས་དང་།	T21n1377_001:0899a05_6	阿難當知我有大明。 名曰寶帶有大功德。 能為羅睺羅童子而作擁護。 我今宣說汝當受持。 而此大明若諸天眾龍眾。
K12D0772=D0907_H0714:117b-5	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།	T21n1377_001:0898c27_4	如是我聞。
K12D0772=D0907_H0714:117b-6	བཅོམ་ལྡན་འདས་ཤའཀྱའི་ཡུལ་སེར་སྐྱའི་གནས་ན་ཤིད་ནྱ་གྲོ་དྷའི་ཀུན་དགའ་རབ་ན་བཞུགས་ཏེ༏་དེའི་ཚེ་གཞོན་ནུ་སྒྲ་གཅན་ཟིན་མལ་ན་ཉལ་བ་ལས་སྲིན་པོ་ཞིག་གིས་སྡངས་པར་བྱས་པར་གྱུར་ཏོ་༎	T21n1377_001:0898c28_5	一時佛在釋種住處迦毘羅城尼拘律陀樹園。 與大眾俱。 是時羅睺羅童子居止異處。 於夜分中忽為大惡羅剎所怖。
K12D0772=D0907_H0714:117b-7	དེ་ནས་གཞོན་ནུ་སྒྲ་གཅན་ཟིན་དེ་ཉིད་ཀྱི་མཚན་མོ་འདས་ནས་གཞོན་ནུ་མང་པོ་རྣམས་ཀྱིས་མདུན་དུ་བདར་ཅིང་ཡོངས་སུ་བསྐོར་ཏེ་སེར་སྐྱའི་གནས་ནས་བྱུང་ནས་བཅོམ་ལྡན་འདས་གལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ	T21n1377_001:0899a01_6	時羅睺羅即於是夜。 與諸童子眾前後圍繞。 出迦毘羅城往詣佛所。 到已頭面禮佛雙足。
K12D0772=D0907_H0714:117b-8	བོས་ཕྱག་བཙལ་ཏེ་སྤྱན་སྔར་འདུག་ནས་དུས་སོ་༎	T21n1377_001:0899a03_6	乃於佛前涕泣而住。
K12D0772=D0907_H0714:117b-9	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ༏་ཀུན་དགའ་བོ་།	T21n1377_001:0899a04_8	爾時世尊知是事已。 即告尊者阿難言。
K12D0772=D0907_H0714:118b-0	མིའམ་ཅིའི་ཚོགས་དང་། ལྟོ་༄༡༡༨བ་འཕྱེ་ཆེན་པོའི་ཚོགས་དང་། ཤ་ཟའི་ཚོགས་དང་། ཡི་དབ༹གས་ཀྱི་ཚོགས་དང་། གྲུལ་བུམ་གྱི་ཚོགས་དང་། སྲུལ་པོའི་ཚོགས་དང་། གཟའི་ཚོགས་དང་། རྒྱུ་སྐར་གྱི་ཚོགས་དང་། གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཉི་ཤུ་རྩ་བརྒྱད་དང་།	T21n1377_001:0899a07_16	夜叉眾羅剎眾。 阿修羅眾迦樓羅眾。 乾闥婆眾緊那羅眾。 鳩盤茶眾布單那眾。 二十八大夜叉將。
K12D0772=D0907_H0714:118b-1	རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། དྲང་སྲོང་འདོད་ཆགས་དང་བྲལ་བ་རྣམས་དང་། གངས་ལ་གནས་པ་དང་། ཕྱོགས་བཅུ་ན་འབྱུང་པོ་གང་དག་འཁོད་པ་དང་། སྲིན་མོའི་ཚོགས་དང་། བའ་ལི་དང་། ཀའ་ཏ་ལི་དི་དང་།	T21n1377_001:0899a11_6	四大夜叉主四大天王。 諸離欲仙眾雪山住者。
K12D0772=D0907_H0714:122b-29	ལྷའམ་། ཀླུའམ་། གནོད་སྦྱིན་ནམ་། སྲིན་པོའམ་། གྲུལ་བུམ་མམ་། ཤ་ཟའམ་། དྲི་ཟའམ་། ཡི་དབ༹གས་སམ་།	T21n1377_001:0901a14_12	若天若龍若夜叉若羅剎。
K12D0772=D0907_H0714:122b-34	སྲུལ་པོའམ་། ལུས་སྲུལ་པོའམ་།	T21n1377_001:0901a15_2	若乾闥婆若阿修羅。
K12D0772=D0907_H0714:122b-36	ནམ་མཁའ་ལྡིང་ངམ་། མིའམ་ཅིའམ་། ལྟོ་འཕྱེ་ཆེན་པོའམ་། སྐེམ་བྱེད་དམ་། སྨྱོ་བྱེད་དམ་། གཤེད་བྱེད་དམ་། བྱད་སྟེམས་སམ་།	T21n1377_001:0901a15_11	若迦樓羅若緊那羅。 若摩睺羅伽若鳩盤茶。 若布單那若羯吒布單那。
K12D0772=D0907_H0714:122b-43	རོ་ལངས་སམ་།	T21n1377_001:0901a17_14	若塞健馱若阿波三摩囉。
K12D0772=D0907_H0714:122b-44	ཉིན་གཅིག་པའམ་།	T21n1377_001:0901a17_19	若吠多拏。
K12D0772=D0907_H0714:122b-45	ཉིན་གཉིས་པའམ་། ཉིན་གསུམ་༄༡༢༣ཨ་༌༎ པའམ་། ཉིན་བཞི་པའམ་།	T21n1377_001:0901a18_8	若一日瘧若二日瘧。
K12D0772=D0907_H0714:123a-10	ཁྱོད་ཀྱིས་མེ་ཁ་ལའི་རིག་སྔགས་འཁོར་དང་བཅས་པ་ཟུངས་ཤིག་།	T21n1377_001:0901a23_1	如我所說寶帶大明。
K12D0772=D0907_H0714:123a-12	མེ་ཁ་ལའི་རིག་སྔགས་འདི་ནི་སྤྲིན་འཆིང་བ་། རླུང་གནོན་པ་། ཚར་གཅོད་པ་།	T21n1377_001:0901a25_8	又此大明亦能禁止諸惡風雲。
K12D0772=D0907_H0714:123a-15	བདག་སྲུང་བ་། གཞན་སྲུང་བ་།	T21n1377_001:0901a26_4	若持是明者善自作護復能護他。
K12D0772=D0907_H0714:123a-17	གྲོང་དང་། གྲོང་ཁྱེར་སྲུང་བ་།	T21n1377_001:0901a27_1	若城邑聚落乃至一切處悉能擁護。
K12D0772=D0907_H0714:123a-2	མིའམ་། མི་མ་ཡིན་པ་གང་གིས་གནོད་པར་བགྱིད་པར་མ་གྱུར་ཅིག་། རྣམ་པར་འཚེ་བའམ་། གླགས་ལྟ་བའམ་།	T21n1377_001:0901a18_15	乃至人非人等。 伺求其便欲惱害者皆不得便。
K12D0772=D0907_H0714:123a-6	གླགས་ཚོལ་བས་གླགས་རྙེད་པར་འགྱུར་བ་དེ་ནི་གནས་མ་མཆིས་ཏེ་སྔོན་གྱི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་ནི་མ་གཏོགས་སོ་༎	T21n1377_001:0901a19_18	若得便者無有是處。 除宿業障不可制止。
K12D0772=D0907_H0714:123a-8	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ་། ཀུན་དགའ་བོ་།	T21n1377_001:0901a22_10	爾時世尊告尊者阿難言。
K12D0772=D0907_H0714:123b-10	རྫུ་འཕྲུལ་དང་ལྡན་པས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎ ལྷ་ཁང་པས་བྱས་པའི་རིག་༄༡༢༤ཨ་༌༎ སྔགས་གཅོད་པར་བྱེད་པའོ་༎ དུར་ཁྲོད་པས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎ ཤིང་དྲུང་པས་བྱས་པ་དང་། རི་དྲུང་པས་བྱས་པ་དང་། རི་རྩེ་བས་བྱས་པ་དང་། ས་པས་བྱས་པ་དང་། ནམ་མཁའ་པས་བྱས་པ་དང་། གནས་ཐམས་ཅད་པས་བྱས་པ་དང་། མིས་བྱས་པ་དང་། མི་མ་ཡིན་པས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎	T21n1377_001:0901b06_7	乃至隨一切處住者。 彼彼所有一切呪句。
K12D0772=D0907_H0714:123b-7	ཚངས་པས་བྱས་པ་དང་། བརྒྱ་བྱིན་གྱིས་བྱས་པ་དང་། ལྷའི་དབང་པོས་བྱས་པ་དང་། རྒྱལ་པོ་ཆེན་པོས་བྱས་པ་དང་། ཁྱབ་འཇུག་གིས་བྱས་པ་དང་། འདོད་པའི་དབང་ཕྱུག་གིས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎	T21n1377_001:0901b04_1	及梵王帝釋四大天王。
K12D0772=D0907_H0714:123b-8	རྒྱལ་པོ་ཆེན་པོས་བྱས་པ་དང་། གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་གྱིས་བྱས་པ་དང་། ཟླ་བ་དང་། ཉི་མ་དང་། རྒྱུ་སྐར་དང་། གཟས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎ ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། སྲིན་པོ་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོས་བྱས་པའི་རིག་སྔགས་གཅོད་པར་བྱེད་པའོ་༎	T21n1377_001:0901b05_4	欲自在天日月星宿天龍鬼神夜叉羅剎人與非人。 山峯住者山下住者。 虛空住者。
K12D0772=D0907_H0714:124a-4	མེ་ཁ་ལའི་རིག་སྔགས་འདི་ནི་གཅོད་པའོ་༎ ཕྱིར་གཅོད་པའོ་༎ ཕྱིས་གཅོད་པའོ་༎	T21n1377_001:0901b07_15	此悉能斷不為他呪之所斷故。
K12D0772=D0907_H0714:124a-7	ཀུན་དགའ་བོ་།	T21n1377_001:0901b08_8	又復阿難寶帶大明。
