src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12D0858=D0528_H0679=H0534:84b-1	ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ་༎	T21n1354_001:0868c19_12	現在逍遙為他說法。
K12D0858=D0528_H0679=H0534:84b-13	གྲུལ་བུམ་གྱི་སྡེ་དཔོན་ནམ་། རྒྱལ་པོའམ་། བློན་པོ་ཆེན་པོའམ་།	T21n1354_001:0868c25_14	或大鬼將或鳩盤茶。 或鳩盤神將或富單那。
K12D0858=D0528_H0679=H0534:84b-15	ཆོ་མ་རྐུན་ནམ་། སྲིན་བུ་ལུ་ཏའམ་། སྦྲང་བུ་ལྕགས་ཕྱེའམ་།	T21n1354_001:0868c26_18	或毘舍闍或餓鬼或虛妄鬼。 或蜈蚣或毒蛇。 或蝮蠍或雜毒蟲等。 或阿脩羅羅睺羅伽。 或娑乾陀鬼或痟渴鬼。 或悶絕鬼或病鬼。
K12D0858=D0528_H0679=H0534:84b-2	བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྒྲོན་མའི་མཆོག་དེས་བདག་ཅག་གཉིས་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་བཏང་སྟེ་། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྒྲོན་མའི་མཆོག་དེས་བཅོམ་ལྡན་འདས་ལ་གནོད་པ་ཆུང་ངམ་།	T21n1354_001:0868c20_16	彼婆伽婆最勝燈如來多他阿伽度阿羅呵三藐三佛陀。 遣我等至此娑婆世界。 彼最勝燈佛問訊世尊。
K12D0858=D0528_H0679=H0534:84b-4	ཉམ་ང་བ་ཉུང་ངམ་། བསྐྱོད་པ་ཡང་ངམ་། འཚོའམ་། སྟོབས་དང་། བདེ་བ་དང་། ཁ་ན་མ་ཐོ་བ་མ་མཆིས་པ་ལ་རེག་པར་གནས་སམ་ཞེས་སྙུན་གསོལ་ལོ་༎	T21n1354_001:0868c22_14	少病少惱起居輕利氣力安不。
K12D0858=D0528_H0679=H0534:84b-7	འདི་སྐད་ཅེས་ཀྱང་གསུང་ངོ་༎	T21n1354_001:0868c22_19	復作是言。
K12D0858=D0528_H0679=H0534:84b-8	འདི་ན་མིའམ་། མི་མ་ལགས་པའམ་། འབྱུང་པོའམ་། ཤ་ཟའམ་།	T21n1354_001:0868c23_8	世尊無有擾亂徒眾。 或比丘眾比丘尼眾。 優婆塞眾優婆夷眾。 或有人或非人。
K12D0858=D0528_H0679=H0534:85a-13	ཤ་མེ་། སམ་མ་ཧེ་། མ་ཧའ་ཤ་མེ་སབ༹འ་ཧའ་། དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ་།	T21n1354_001:0869a07_10	爾時世尊告長老阿難言。
K12D0858=D0528_H0679=H0534:85a-17	ཀུན་དགའ་བོ་། ཁྱོད་ཀྱིས་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་ཟུངས་ཤིག་།	T21n1354_001:0869a08_4	阿難汝受持此陀羅尼章句。
K12D0858=D0528_H0679=H0534:85a-19	ལོངས་ཤིག་། ཆོངས་ཤིག་། ལྷོགས་ཤིག་། ཀུན་ཆུབ་པར་གྱིས་ཤིག་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་རབ་ཏུ་སྟོན་ཅིག་།	T21n1354_001:0869a08_15	受已為他解說宣通流布。
K12D0858=D0528_H0679=H0534:85a-22	ཀུན་དགའ་བོ་། སངས་རྒྱས་འབྱུང་བ་རྙེད་པར་དཀའོ་༎ གཟུངས་ཀྱི་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་རྙེད་པར་དཀའོ་༎ ཀུན་དགའ་བོ་།	T21n1354_001:0869a09_6	阿難佛出世難聞難值。 此陀羅尼章句復甚難聞。
K12D0858=D0528_H0679=H0534:85a-26	གཟུངས་ཀྱི་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་འཛིན་པ་ཡང་ཤིན་ཏུ་རྙེད་པར་དཀའོ་༎	T21n1354_001:0869a10_7	若有善男子善女人。 能受持此陀羅尼者。
K12D0858=D0528_H0679=H0534:85b-1	ཚེ་རབས་བདུན་དུ་ཚེ་རབས་དྲན་པར་འགྱུར་རོ་༎	T21n1354_001:0869a13_8	彼人七世恒知宿命。
