src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12bsu004_u:0	 Sitātapatrā  om namaḥ śrīsarvabuddhabodhisattvebhyaḥ /  evaṃ mayā śrutam ekasmin samaye bhagavān deveṣu trāyastriṃśeṣu viharati sma /  sudharmāyāṃ devasabhāyāṃ mahatā bhikṣusaṃghena mahatā ca bodhisattvasaṃghena bhikṣuśataiḥ śakreṇa ca devatānāmindreṇa sārdham /	K12D0591_H0542:246b-6	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་སུ་མ་ཅུ་༄༢༤༧ཨ་༌༎ རྩ་གསུམ་པའི་ལྷའི་གནས་ཆོས་བཟང་ལྷའི་མདུན་ས་ན་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ་༎
K12bsu004_u:10	 namo dharmāya /	K12D0591_H0542:247a-5	ཆོས་ལ་ཕྱག་འཚལ་ལོ་༎
K12bsu004_u:100	 hūṃ hūṃ hrīṃ ṣṭro aṣṭānāṃ mahāgrahāṇāṃ vidhvaṃsanakarī /	K12D0591_H0542:248b-6	གཟའ་ཆེན་པོ་བརྒྱད་འཇིག་པར་བྱེད་པ་།
K12bsu004_u:11	 namo saṃghāya /	K12D0591_H0542:247a-6	དགེ་འདུན་ལ་ཕྱག་འཚལ་ལོ་༎
K12bsu004_u:12	 namaḥ saptānāṃ samyaksaṃbuddhakoṭīnāṃ namo maitreyapramukhānāṃ sarvabuddhabodhisattvānāṃ saśrāvakasaṃghānām /	K12D0591_H0542:247a-7	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱེ་བ་ཕྲག་བདུན་ལ་ཕྱག་འཚལ་ལོ་༎
K12bsu004_u:124	 grahabhayāt,  devabhayāt,  asuragrahāt,  mahoragagrahāt,  manuṣyagrahāt,  amanuṣyagrahāt,  bhūtagrahāt,  pretagrahāt,  piśācagrahāt,  kumbhāṇḍagrahāt,	K12D0591_H0542:249b-18	ཕ་རོལ་གྱི་དམག་ཚོགས་ཀྱི་འཇིགས་པ་དང་། མུ་གེའི་འཇིགས་པ་དང་། དགྲའི་འཇིགས་པ་དང་། ལྕེ་འབབ་པའི་འཇིགས་པ་དང་། དུས་མ་ཡིན་པར་འཆི་བའི་འཇིགས་པ་དང་། ས་ག-ཡོ་བའི་འཇིགས་པ་དང་། སྐར་མདའ་ལྟུང་བའི་འཇིགས་པ་དང་།
K12bsu004_u:138	 pūtanagrahāt,  kaṭapūtanagrahāt,  skandagrahāt,  unmādagrahāt,  chāyāgrahāt,	K12D0591_H0542:250a-1	ཆད་པའི་ལས་ཀྱི་འཇིགས་པ་དང་། ཀླུའི་འཇིགས་པ་དང་། གློག་གི་འཇིགས་པ་དང་། ནམ་མཁའ་ལྡིང་གི་འཇིགས་པ་དང་། གཅན་གཟན་ཁྲོ་བོའི་འཇིགས་པ་དང་། ལྷའི་གདོན་དང་། ཀླུའི་གདོན་དང་། ལྷ་མ་ཡིན་གྱི་གདོན་དང་། གནོད་སྦྱིན་གྱི་གདོན་དང་། སྲིན་པོའི་གདོན་དང་། ཡི་དབ༹གས་ཀྱི་གདོན་དང་། ཤ་ཟའི་གདོན་དང་། འབྱུང་པོའི་གདོན་དང་། གྲུལ་བུམ་གྱི་གདོན་དང་། སྲུལ་པོའི་གདོན་དང་། ལུས་སྲུལ་པོའི་གདོན་དང་། སྐེམ་བྱེད་ཀྱི་གདོན་དང་།
K12bsu004_u:143	 apasmāragrahāt,  ostāḍakagrahāt,  ḍākinīgrahāt,  kaṭaḍākinīgrahāt,	K12D0591_H0542:250a-3	བརྗེད་བྱེད་ཀྱི་གདོན་དང་། སྨྱོ་བྱེད་ཀྱི་གདོན་དང་། གྲིབ་གནོན་གྱི་གདོན་དང་། གནོན་པོའི་གདོན་དང་། མཁའ་འགྲོ་མའི་གདོན་དང་། ནམ་གྲུའི་གདོན་དང་། གཤིན་རྗེའི་གདོན་དང་། བྱའི་གདོན་དང་། མ་མོ་དགའ་བར་བྱེད་པའི་གདོན་དང་།
K12bsu004_u:156	 vratāhāriṇyāḥ,  garbhāhāriṇyāḥ,  rudhirāhāriṇyāḥ,  māṃsāhāriṇyāḥ,  medāhāriṇyāḥ,  majjāhāriṇyāḥ,  jātāhāriṇyāḥ,	K12D0591_H0542:250b-1	ཟས་སུ་འབྲས་བུ་ཟ་བ་དང་། ཟས་སུ་ལོ་ཏོག་ཟ་བ་དང་། ཟས་སུ་སྦྱིན་སྲེག་ཟ་བ་སྟེ་།
K12bsu004_u:18	 namaḥ samyakpratipannānām /	K12D0591_H0542:247a-8	བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་དང་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ལ་ཕྱག་འཚལ་ལོ་༎ བྱམས་པ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ་༎ འཇིག་རྟེན་ན་དགྲ་བཅོམ་པ་རྣམས་ལ་ཕྱག་འཚལ་ལོ་༎ རྒྱུན་དུ་ཞུགས་པ་རྣམས་ལ་ཕྱག་འཚལ་ལོ་༎ ལན་གཅིག་ཕྱིར་འོང་བ་རྣམས་ལ་ཕྱག་འཚལ་ལོ་༎
