src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12n2949u_001:1744	 amogha pāśāyanamaḥ ||	K12D0682=D0901_H0682:92b-4	འཕགས་པ་དོན་ཡོད་ཞགས་པ་ལ་ཕྱག་འཚལ་ལོ་༎
K12n2949u_001:1745	 evaṁmayā śrutamekasmiṁ samaye bhagavān protarakeparvvate viharatisma ||  āryyāva lokiteśvaraspabhavane |	K12D0682=D0901_H0682:92b-5	སངས་རྒྱས་ལ་ཕྱག་འཚལ་ལོ་༎ ཐུགས་རྗེ་ཆེན་པོ་༄༩༣ཨ་༌༎ ལ་ཕྱག་འཚལ་ལོ་༎ འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་།
K12n2949u_001:1747	 aneka śāsagatamāsa campakāśa-okātimukta kanānānāratnavṛkṣa samalaṁkṛtemahatābhikṣū saṁghenasārddha aṣṭādaśabhirbhikṣa sahasrairnavanavati bhiścabodhisatva koṭiniyuteśatasahasraiḥ parivṛttaḥ puraskṛta iśvara maheśvara vraphnta kāyikāṁ deva putrā nādha-ikṛtya dharmmadeśayatisma ||	K12D0682=D0901_H0682:93a-3	བཅོམ་ལྡན་འདས་བོ་ཏ་ལ་ཀའི་རིའི་རྩེ་མོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་གནས་ས་མ་ལ་དང་། ཏ་མ་ལ་དང་། ཙམ་པ་ཀ་དང་། མྱ་ངན་མེད་པ་དང་། ཨཨ་ཏི་མུཀཏ་ཀ་ལ་སོགས་པ་མང་པོ་དང་། སྣ་ཚོགས་པའི་རིན་པོ་ཆེའི་སྡོང་པོས་ཡང་དག་པར་བརྒྱན་པར་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་སྟོང་ཕྲག་བཅོ་བརྒྱད་དང་། བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དགུ་བཅུ་རྩ་དགུ་དང་། གནས་གཙང་མའི་ལྷའི་བུ་སྟོང་ཕྲག་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བྱས་ནས་མང་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ་༎ དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། ཚངས་རིས་ཀྱི་ལྷའི་བུ་རྣམས་གཙོར་བྱས་ནས་ཆོས་སྟོན་ཏོ་༎
K12n2949u_001:1748	 athakhalvāryyāca lokiteśvaro bodhisatvo mahāsatvotchāyāsanādekāṁśa muttarā saṅgakṛtvāda kṣiṇajā majulaṁ pṛthiṣyā pratiṣṭha-āpyayenabhagavāṁsta nāñajalīkṛtvāpraṇya prahasita vadano bhūtvā bhagavanta meta davocata ||	K12D0682=D0901_H0682:93a-6	དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྟན་ལས་ལངས་ནས་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་ག-ཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ་། གང་བཅོམ་ལྡན་འདས་ལ་དེས་ཐལ་མོ་སྦྱར་ཞིང་ཕྱག་འཚལ་ནས་ཞལ་འཛུམ་པར་གྱུར་བས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎
K12n2949u_001:1749	 astima mebhaṁga (144)  vannamogha pāśarājaṁnāhṛdayaṁyatmamā pūrva me kanavatikasya vilokitā thāṁloke dhātausā kenadrasya tathāgatasya sakāśā dayajṛhītaṁ yename bhagava nniścaradevapūtra pramūkhā nikkū niśrūddhā vāsakayika deva pūtra prumukhā nya naika deva pūtra śratasahasrāṇī samādā pitānya nūttarāyāṁ saṁmyakuṁbo	K12D0682=D0901_H0682:93a-8	བཅོམ་ལྡན་འདས་། བདག་ལ་དོན་ཡོད་ཞགས་པའི་སྙིང་པོ་ཞེས་བྱ་བ་༄༩༣བ་ཡོད་དེ་། གང་སྔོན་བསྐལ་པ་དགུ་བཅུ་རྩ་གཅིག་ན་འཇིག་རྟེན་རྣམ་པར་གཟིགས་པ་ཞེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་སུ་འཇིག་རྟེན་གྱི་དབང་པོ་རྒྱལ་པོ་དེ་བཞིན་གཤེགས་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལས་བདག་གིས་བླངས་ཏེ་། གང་ཡང་བདག་གིས་དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་གཙོར་བྱས་པའི་གནས་གཙང་མའི་རིས་གྱི་ལྷའི་བུ་བརྒྱ་སྟོང་མང་པོ་ཡང་འདུས་སོ་༎
K12n2949u_001:1751	 dho asaṁmoha jñāna vyoha pramūkhā nice mayā dasa mādhiśrata hamroli pratila- dhoni ||	K12D0682=D0901_H0682:93b-3	བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་དོན་ཡོད་ཞགས་པའི་ཡེ་ཤེས་ཀྱི་གཙོ་བོའི་ཏིང་ངེ་འཛིན་བཅུ་པ་བརྒྱ་སྟོང་བདག་གིས་རབ་ཏུ་རྙེད་དོ་༎ གཞན་ཡང་གང་གི་ཚེ་བཅོམ་ལྡན་འདས་།
K12n2949u_001:1752	 yasmiśvapūnaḥ bhagavapṛthivī pradeśa īdama moghapāśa hṛdayaṁpracaretu veditavyaṁ bhagavaṁsta sminpṛthivī pradeśa iśvara maheśvara vṛṣka kāyika pramakhā nidvādaśa deva pūtraśata saṁmrānirakṣāvara ṇaguptayeskāsyanti |  cainya saṁmato bhagavanta pṛthivī pradeśa bhaviṣyanti |	K12D0682=D0901_H0682:93b-5	ས་གཞིའི་ཕྱོགས་གཅིག་ཏུ་རབ་ཏུ་སྤྱོད་པ་ལས་རྟོགས་པར་བྱ་སྟེ་། བཅོམ་ལྡན་འདས་། དེའི་ཚེ་ས་ཕྱོགས་དེ་དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། ཚངས་རིས་གཙོར་བྱས་པའི་ལྷའི་བུ་སྟོང་ཕྲག་བཅུ་གཉིས་ཀྱིས་སྲུང་བ་དང་། བསྐྱབ་པ་དང་། སྦེད་པའི་དོན་དུ་གནས་པར་འགྱུར་རོ་༎ གང་འདིར་དོན་ཡོད་ཞགས་པའི་སྙིང་པོ་རབ་ཏུ་སྤྱོད་ན་།
K12n2949u_001:1772	 apratikṣipataḥ arupataḥ avikalpataḥ asaṁprabhavataḥ aviraṁgamataḥ akaraṇata billapataḥ samacinta nikṣapataḥ |	K12D0682=D0901_H0682:94b-20	རྣམ་པར་མི་རྟོག་པ་། ཡང་དག་པར་འབྱུང་བ་མེད་པ་། ཡུན་རིང་དུ་འབྱུང་བ་མེད་པ་། རྒྱུ་མེད་པ་། གོས་པ་མེད་པ་།
K12n2949u_001:1773	 virahitapañaskandhataḥ anyena yogena budānasmṛtirbha-āgayitavyā ||	K12D0682=D0901_H0682:94b-25	མཉམ་པའི་སེམས་ག-ཡེང་བ་མེད་པ་། ཕུང་པོ་དང་བྲལ་བའི་སྦྱོར་བ་འདིས་ནི་། སངས་རྒྱས་རྗེས་སུ་དྲན་པར་བྱའོ་༎
K12n2949u_001:1774	 tadeṣādaśetyodigtyo buddha sahasrasaṁmukhaṁ darśanaṁ kārayiṣyaṁti |	K12D0682=D0901_H0682:94b-28	དེ་དག་ལ་ཕྱོགས་བཅུའི་སངས་རྒྱས་བརྒྱ་སྟོང་གིས་ཞལ་སྟོན་པར་འགྱུར་རོ་༎
K12n2949u_001:1776	 ve tpustaka likhitaṁ kṛtvā gṛheskāpayiṣyaki ||	K12D0682=D0901_H0682:95a-2	ཇི་སྙེད་པོ་ཏིར་བྲི་བར་བྱས་ནས་ཁྱིམ་དུ་བཞུགས་སུ་གསོལ་བར་བྱའོ་༎
K12n2949u_001:1777	 ji vaha bhagavanta nponpaśradvayāvāśroṣyanti ||	K12D0682=D0901_H0682:95a-3	བཅོམ་ལྡན་འདས་། མང་པོས་ཅི་བྱ་སྟེ་། ཕན་ཚུན་འགྲན་པས་ཉན་པའམ་།
K12n2949u_001:1778	 svāmibhayena vāpanānuṣṭatyā vā-udvagyatahetruḥ nāvāśra-oṣyanti jñānatavyaṁbhagavanpaṇḍite nārṇyā velokite śvaraspānumāvenate ṣāṁkarṇu pudeṭeskanando niyaṣyaṁti ||	K12D0682=D0901_H0682:95a-6	རྗེ་དཔོན་གྱིས་འཇིགས་པས་སམ་། གཞན་གྱི་རྗེས་སུ་འཇུག་པས་སམ་། གཞན་སྨད་པར་བྱ་བའི་ཆེད་དུ་ཉན་པ་ནི་། འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་བྱིན་གྱི་རླབས་སུ་མཁས་པས་ཤེས་པར་བྱའོ་༎
