src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12n2949u_001:2291	 yāvatke vidyaśadiśiloke sarvvatṛyaśca gatānarasiṁhāḥ ||	T16D4377:300b-6	དུས་གསུམ་གཤེགས་པ་མི་ཡི་སེང་གེ་ཀུན་༎ བདག་གིས་མ་ལུས་དེ་དག་ཐམས་ཅད་ལ་༎
K12n2949u_001:2292	 tānadbhavandami sarvi āśaṣān kāyatu vācemanena prasanaḥ || 2 ||	T16D4377:300b-8	ལུས་དང་ངག་ཡིད་དང་བས་ཕྱག་བགྱིའོ་༎
K12n2949u_001:2295	 sarvvajinābhimūkhena manenaṁ bhadracaṁrī praṇidhāna balena || 3 ||	T16D4377:300b-9	བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་སྟོབས་དག་གིས་༎ རྒྱལ་བ་ཐམས་ཅད་ཡིད་ཀྱི་མངོན་སུམ་དུ་༎
K12n2949u_001:2297	 eka rajāgrirameya buddhāna buddhasūtāna niṣarṇṇa kūmadhyā evama śeṣata dharmmāta dhātuṁ sarvvadhimūcyāmi pūrṇṇa jinebhiḥ || 4 ||	T16D4377:300b-11	ཞིང་གི་རྡུལ་སྙེད་ལུས་རབ་བཏུད་པ་ཡིས་༎ རྒྱལ་བ་ཀུན་ལ་རབ་ཏུ་ཕྱག་འཚལ་ལོ་༎ རྡུལ་གཅིག་སྟེང་ན་རྡུལ་སྙེད་སངས་རྒྱས་རྣམས་༎ སངས་རྒྱས་སྲས་ཀྱི་དབུས་ན་བཞུགས་པ་དག་། དེ་ལྟར་ཆོས་ཀྱི་དབྱིངས་རྣམས་མ་ལུས་པ་༎ ཐམས་ཅད་རྒྱལ་བ་དག་གིས་གང་བར་མོས་༎
K12n2949u_001:2299	 teṣūca akṣaya varṇṇa samudrā sarvvasva rāga samudrā rutebhiḥ ||	T16D4377:300b-16	དེ་དག་བསྔགས་པ་མི་ཟད་རྒྱ་མཚོ་རྣམས་༎ དབྱངས་ཀྱི་ཡན་ལག་རྒྱ་མཚོའི་སྒྲ་ཀུན་གྱིས་༎
K12n2949u_001:2300	 sarvajināna guṇanbhaṇa mānastā nsūgatāṁ stavamī aha sarvvān || 5 ||	T16D4377:300b-18	རྒྱལ་བ་ཀུན་གྱི་ཡོན་ཏན་རབ་བརྗོད་ཅིང་༎ བདེ་བར་གཤེགས་པ་ཐམས་ཅད་བདག་གིས་བསྟོད་༎
K12n2949u_001:2302	 pūṣpavarebhiḥ camālya varebhiḥ bāyabile pana chatraverebhiḥ |	T16D4377:300b-20	མེ་ཏོག་དམ་པ་ཕྲེང་བ་དམ་པ་དང་། སིལ་སྙན་རྣམས་དང་བྱུག་པ་གདུགས་མཆོག་དང་། མར་མེ་མཆོག་དང་བདུག་སྤོས་དམ་པ་ཡིས་༎ རྒྱལ་བ་དེ་དག་ལ་ནི་མཆོད་པར་བགྱི་༎ ན་བཟའ་དམ་པ་རྣམས་དང་དྲི་མཆོག་དང་༎ ཕྱེ་མ་ཕུར་མ་རི་རབ་མཉམ་པ་དང་། བཀོད་པ་ཁྱད་པར་འཕགས་པའི་མཆོག་ཀུན་གྱིས་༎ རྒྱལ་བ་དེ་དག་ལ་ནི་མཆོད་པར་བགྱི་༎ དེ་དག་རྒྱལ་བ་ཐམས་ཅད་ལ་ཡང་མོས་༎
K12n2949u_001:2303	 dīpa vare bhiḥ vatravarebhiḥ pūjanate ṣūjinona karomi || 6 ||	T16D4377:300b-26	བཟང་པོ་སྤྱོད་ལ་དད་པའི་སྟོབས་དག་གིས་༎ རྒྱལ་བ་ཀུན་ལ་ཕྱག་འཚལ་མཆོད་པར་བགྱི་༎ འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་དབང་གིས་ནི་༎
K12n2949u_001:2308	 yāca anuttara pūja udārā tānadhimūcyami sarva jinānāṁ |  bhadracarīṁ adhimūtki balena vandami pūjayāmi jina sarvvāna || 8 ||  yacca kṛtaṁ mayipāpa bhaveyāṁ rāga suddheṣatū (tuddheṣatu)  mohavaśana kāyatū vāca manena tathaiva pratideśa yāmi adbha sarvva || 9 ||  yacca daśadiśi pūṇya jagasya śikṣā aśaikṣa pratyeka jinānāṁ buddha sūtānatha sarvva jinānāṁ taṁ anūmodya mī adabha sarvvaṁ || 10 ||	T16D4377:300b-34	དེ་དག་ཀུན་གྱི་རྗེས་སུ་བདག་ཡི་རང་༎ གང་རྣམས་ཕྱོགས་བཅུའི་འཇིག་རྟེན་༄༣༠༡ཨ་༌་༎ འཁོར་ལོ་བླ་ན་མེད་པ་བསྐོར་བར་བསྐུལ་༎ མྱ་ངན་འདའ་སྟོན་གང་བཞེད་དེ་དག་ལ་༎ འགྲོ་བ་ཀུན་ལ་ཕན་ཞིང་བདེ་བའི་ཕྱིར་༎
K12n2949u_001:2323	 yacca śubhamiyasaṁcita kiṅcita bodhipanāyamayamī adabha sarvva || 13 ||	T16D4377:301a-7	བསྐལ་པ་ཞིང་གི་རྡུལ་སྙེད་བཞུགས་པར་ཡང་༎ བདག་གིས་ཐལ་མོ་རབ་སྦྱར་གསོལ་བར་བགྱི་༎ ཕྱག་འཚལ་བ་དང་མཆོད་ཅིང་བཤགས་པ་དང་༎ རྗེས་སུ་ཡི་རང་བསྐུལ་ཞིང་གསོལ་བ་ཡི་༎ དགེ་བ་ཅུང་ཟད་བདག་གིས་ཅི་བསགས་པ་༎ ཐམས་ཅད་བདག་གིས་བྱང་ཆུབ་ཕྱིར་བསྔོའོ་།
