src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12sdurst_u:1512	 aham api devaputrāḥ saṃkṣepato notsāhāmi /	K12D0485_H0458:458b-1	ལྷའི་བུ་རྣམས་། མདོར་ན་ང་ལ་ཡང་དེའི་ཕན་ཡོན་བཤད་པར་སྤྲོ་བ་མེད་དེ་།
K12sdurst_u:1588	 (Sdp 226)  atha brahmādayo devāḥ saṃhṛṣṭamanaso bhagavantaṃ namasyaivam āhuḥ /	K12D0485_H0458:460b-27	དེ་ནས་ཚངས་པ་ལ་སོགས་པའི་ལྷ་རྣམས་ཡང་དག་པར་དགའ་བས་བཅོམ་ལྡན་འདས་ལ་ཕྱག་འཚལ་ཏེ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎
K12sdurst_u:2617	 samantabhadro mahābhadraḥ sarvalakṣaṇalakṣitaḥ //	K12D0485_H0458:492b-32	ཀུན་ཏུ་བཟང་པོ་ཆེར་བཟང་བ་༎ མཚན་རྣམས་ཀུན་གྱིས་མཚན་པ་པོ་༎
K12sdurst_u:2618	 sarvadhātumayo vyāpī sarvavajramayaḥ śuciḥ // iti /	K12D0485_H0458:492b-34	ཁམས་ཀུན་བདག་ཉིད་ཁྱབ་པ་བོ་༎ ཐམས་ཅད་རྡོ་རྗེའི་བདག་ཉིད་གཙང་༎
K12sdurst_u:2619	 yena likhet paṭhed vāpi dhārayed arthataḥ sadā //	K12D0485_H0458:492b-36	གང་གིས་འདི་བྲིས་ཀློག་པ་དང་༎ རྟག་ཏུ་དོན་ནི་འཆང་བྱེད་དམ་༎
K12sdurst_u:2620	 smaret śṛṇuyād vāpi vajrapāṇisamo bhavet // iti /	K12D0485_H0458:492b-37	དྲན་ནམ་ཉན་པར་བྱེད་ཀྱང་རུང་༎ ཕྱག་ན་རྡོ་རྗེ་མཉམ་པར་འགྱུར་༎
K12sdurst_u:2621	 idam avocad bhagavān āttamanaḥ /  śakrabrahmādidevaparṣat sadevamānuṣāsuragandharvayakṣasādibhir hitasukhaprāptaye bhagavato bhāṣitam abhyanandan iti //	K12D0485_H0458:493a-0	བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་བ་དང་༎ བརྒྱ་བྱིན་དང་། ཚངས་པ་ལ་སོགས་པ་ལྷའི་འཁོར་དང་བཅས་པའི་༄༤༩༣ཨ་༌༎ ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟ་དང་། གནོད་སྦྱིན་དང་། སྲིན་པོ་ལ་སོགས་པ་ཕན་པ་དང་། བདེ་བ་ཐོབ་པའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོའི་བརྟག་པ་ཕྱོགས་གཅིག་པ་རྫོགས་སོ་༎༎
K12sdurst_u:2	 evaṃ mayā śrutam ekasmin samaye bhagavān sarvadevottamanandavane viharati sma /	K12D0485_H0458:413a-1	འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན་། བཅོམ་ལྡན་འདས་ལྷ་ཐམས་ཅད་ཀྱི་མཆོག་དགའ་བའི་ཚལ་ན་བཞུགས་ཏེ་།
K12sdurst_u:3	 maṇisuvarṇaśākhālatābaddhavanaspatigulmauṣadhikamalotpalakarṇikārabakulatilakāśokamāndāravamahāmāndāravādibhir nānāvidhaiḥ puṣpair upaśobhite  kalpavṛkṣasamalaṃkṛte /	K12D0485_H0458:413a-3	ནོར་བུ་དང་། གསེར་གྱི་ཤིང་ལོ་མ་དང་། ཡལ་ག་དང་། ལྕུག་མར་བཅས་པའི་སྡོང་པོ་དང་། ཤིང་གེལ་བ་དང་། སྨན་དང་། མེ་ཏོག་ཀ་མ་ལ་དང་། མེ་ཏོག་ཨཽཏཔལ་དང་། མེ་ཏོག་ཀ་རྣི་ཀའ་དང་། མེ་ཏོག་བཀཀུ་ལ་དང་། མེ་ཏོག་ཏི་ལ་ཀ་དང་། མེ་ཏོག་ཨཨ་ཤོ་ཀ་དང་། མེ་ཏོག་མནདའ་ར་བ་དང་། མེ་ཏོག་མནདའ་ར་བ་ཆེན་པོ་ལ་སོགས་པ་མེ་ཏོག་རྣམ་པ་སྣ་ཚོགས་པས་ཉེ་བར་མཛེས་པ་༎
K12sdurst_u:5	 nānālaṃkāravibhūṣite /  nānāpakṣigaṇakūjite /	K12D0485_H0458:413a-5	དཔག་བསམ་གྱི་ཤིང་རྣམས་ཀྱིས་ཡང་དག་པར་བརྒྱན་པ་༎ རྒྱན་སྣ་ཚོགས་ཀྱིས་རྣམ་པར་སྤྲས་པ་། བྱའི་ཚོགས་སྣ་ཚོགས་སྐད་སྙན་པ་འབྱིན་པ་།
K12sdurst_u:1590	 yo bhagavan apāyopapannānāṃ sattvānām arthāya hitāya sukhāya /	K12D0485_H0458:460b-28	བཅོམ་ལྡན་འདས་། གང་ངན་སོང་དུ་སྐྱེས་པའི་སེམས་ཅན་རྣམས་ཀྱི་དོན་དང་། ཕན་ཡོན་དང་། བདེ་བའི་སླད་དུ་བརྟག་༄༤༦༡ཨ་༌༎
K12sdurst_u:7	 tūryamukundaveṇubherīprabhṛtipraṇadite /	K12D0485_H0458:413a-8	རྔ་དང་། རྔ་མུ་ཀུནད་དང་། གླིང་བུ་དང་། རྔ་བྷི་རི་ལ་སོགས་པའི་སྒ་སྒྲོགས་པ་།
K12sdurst_u:8	 śakrabrahmādidevāpsarobhir nānāvidhābhir vikrīḍite /	K12D0485_H0458:413a-9	བརྒྱ་བྱིན་དང་། ཚངས་པ་ལ་སོགས་པ་དང་། ལྷའི་བུ་རྣམ་པ་སྣ་ཚོགས་པ་རྣམས་རྣམ་པར་རྩེ་བ་།
K12sdurst_u:9	 sarvabuddhabodhisattvādhiṣṭhite /	K12D0485_H0458:413a-10	སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱིས་བྱིན་གྱིས་བརླབས་པ་ནའོ་༎
K12sdurst_u:10	 sarvaśakrabrahmādidevavidyādharadevāpsaraḥparṣatkoṭīniyutaśatasahasrair anekayakṣarākṣasāsuragaruḍagandharvakinnaramahoraganāgādiparṣadbhir	K12D0485_H0458:413a-11	བརྒྱ་བྱིན་དང་། ཚངས་པ་ལ་སོགས་པའི་ལྷ་ཐམས་ཅད་དང་། རིག་པ་འཛིན་པ་དང་། ལྷའི་བུ་མོ་འཁོར་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་བརྒྱ་སྟོང་རྣམས་དང་། གནོད་སྦྱིན་དང་། སྲིན་པོ་དང་། ལྷ་མ་ཡིན་དང་།
K12sdurst_u:12	 tadyathā /	K12D0485_H0458:413b-1	འདི་ལྟ་སྟེ་༎
