src_segmentnr	src_original	tgt_segmentnr	tgt_original
T02D2534:267b-12	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་།	T39n1791_005:0470b18_9	佛語大慧：
T02D2534:267b-13	བློ་གྲོས་ཆེན་པོ་འདི་ལྟར་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ནི་དེ་བཞིན་གཤེགས་པའི་གདུལ་བྱ་དང་། རབ་ཏུ་དབེན་པའི་རྣལ་འབྱོར་གྱི་ལུང་གིས་འགྲོལ་གྱིས་རང་གིས་མ་ཡིན་ཏེ་། བློ་གྲོས་ཆེན་པོ་བདག་ཉིད་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་བའི་ཆོས་ཅན་བས་ན་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ལ་ཐེག་པ་གཅིག་ཏུ་མ་བཤད་དོ་༎	T39n1791_005:0470b19_15	「一乘人知生死自性是涅槃故，聲聞、緣覺無自涅槃法故。 我說一乘，以彼但依厭離世間調伏修行而得解脫，非自已力得涅槃法，是故不為說一乘耳。
T02D2534:267b-15	གཞན་ཡང་བློ་གྲོས་ཆེན་པོ་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ནི་ཤེས་བྱའི་སྒྲིབ་པ་དང་༎ ལས་ཀྱི་བག་ཆགས་མ་སྤངས་པའི་ཕྱིར་ཆོས་ལ་བདག་མེད་པ་མ་རྟོགས་ཤིང་བསམ་གྱིས་མི་ཁྱབ་པར་འགྱུར་བའི་ཤི་འཕོ་བ་མ་ཐོབ་པས་ཉན་ཐོས་རྣམས་ལ་ཐེག་པ་གསུམ་དུ་བསྟན་ཏེ་། ཐེག་པ་གཅིག་ཏུ་མ་ཡིན་ནོ་༎	T39n1791_005:0470b22_18	「又彼未能除滅智障至是故我說以為三乘。 」如上過未滅，不堪受大法，故如來說三乘。
T02D2534:267b-17	བློ་གྲོས་ཆེན་པོ་དེ་དག་ནམ་ཉེས་པའི་བག་ཆགས་ཐམས་ཅད་སྤངས་ཤིང་ཆོས་ལ་བསག་མེད་པར་རྟོགས་པ་དེ་དག་བག་ཆགས་ཀྱི་ཉེས་པ་དང་། ཏིང་ངེ་འཛིན་གྱིས་མྱོས་པར་གྱུར་ནས་ཟག་པ་མེད་པའི་དབྱིངས་ནས་སླར་སད་དེ་།	T39n1791_005:0470b24_18	「若彼能除一切過習至獲不思議自在法身。 」言二乘味著三昧樂，作涅槃想，若能滅彼智障及業習氣，覺法無我，度不思議變易死，爾時方離三昧所醉，於劣無漏三昧中覺悟。
T02D2534:267b-20	ལྷ་ཡི་ཐེག་དང་ཚངས་པའི་ཐེག་། ཉན་ཐོས་ཀྱི་ཡང་དེ་བཞིན་ཏེ་༎ དེ་བཞིན་གཤེགས་དང་༄༢༦༨ཨ་༌་༎ རང་རྒྱལ་གྱི་༎ ཐེག་པ་དེ་དག་ངས་བཤད་དོ་༎	T39n1791_005:0470c02_11	「天乘及梵乘，聲聞緣覺乘，諸佛如來乘，諸乘我所說。
T02D2534:267b-7	བློ་གྲོས་ཆེན་པོ་ཐེག་པ་གཅིག་པོ་ཁོང་དུ་ཆུད་པ་འདི་ནི་ང་མ་གཏོགས་པར་མུ་སྟེགས་ཅན་གཞན་དང་། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། ཚངས་པ་ལ་སོགས་པས་སྔོན་མ་ཐོབ་བོ་༎ དེས་ན་དེའི་ཕྱིར་བློ་གྲོས་ཆེན་པོ་ཐེག་པ་གཅིག་ཅེས་བྱའོ་༎ བློ་གྲོས་ཆེན་པོས་གསོལ་བ་། བཅོམ་ལྡན་འདས་ཀྱིས་ཅིའི་སླད་དུ་ཐེག་པ་གསུམ་དུ་བཤད་དེ་། ཐེག་པ་གཅིག་ཏུ་མ་བཤད་།	T39n1791_005:0470b18_4	」上言一乘非餘外道、二乘、梵天王等之所能得，即知如來方便說三乘，故問何故說有三乘，而不說一乘？
T02D2534:268a-11	དེ་བཞིན་རྣམ་གྲོལ་གསུམ་པོ་དང་༎ ཆོས་ལ་བདག་མེད་དེ་ཉིད་དང་༎ མཉམ་མེད་ཡེ་ཤེས་ཉོན་མོངས་པ་༎ རྣམ་པར་གྲོལ་བས་དེ་དག་སྤངས་༎	T39n1791_005:0470c12_1	達法無我平等大智，即是如來真解脫。
T02D2534:268a-13	ཇི་ལྟར་ཤིང་དག་རྒྱ་མཚོ་ལ་༎ རླབས་རྣམས་ཀྱིས་ནི་རྣམ་པར་ག-ཡེངས་༎	T39n1791_005:0470c13_18	「譬如海中木，常隨波浪轉至猶被習氣縛。
T02D2534:268a-15	དེ་བཞིན་ཉན་ཐོས་རྨོངས་པ་ཡང་༎ མཚན་ཉིད་རྣམས་ཀྱིས་རབ་ཏུ་ག-ཡེངས་༎ ཀུན་ནས་ལྡང་དང་བྲལ་མོད་ཀྱི་༎ ཉོན་མོངས་བག་ཆགས་རྣམས་དང་འབྲེལ་༎	T39n1791_005:0470c15_12	」言聲聞雖斷現行煩惱，未斷所知及根本無明，猶被習氣自共相風飄激其心。
T02D2534:268a-3	ཇི་སྲིད་སེམས་ནི་འཇུག་པའི་བར་༎ ཐེག་པ་དག་ལ་ཐུག་པ་མེད་༎ སེམས་ནི་ཤིན་ཏུ་གྱུར་པས་ན་༎	T39n1791_005:0470c03_2	」此一行頌上諸乘名也。 「乃至有心起，諸乘未究竟至我說為一乘。 」言有心動計有諸乘，即非究竟。
