src_segmentnr	src_original	tgt_segmentnr	tgt_original
T03D3790-1:277a-23	རབ་འབྱོར་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ཐེག་པ་ཆེན་པོ་ནི་དུས་གསུམ་མཉམ་པ་ཉིད་ཀྱི་ཐེག་པ་ཆེན་པོ་ཞེས་བྱ་བ་སྟེ་། དེ་ལ་གནས་ཤིང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷ་དང་། མི་དང་ལྷ་མ་ཡིན་དུ་བཅས་པའི་འཇིག་རྟེན་ཟིལ་གྱིས་མནན་ཏེ་། རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ངེས་པར་འབྱུང་ངོ་ཞེས་བྱ་བ་ནི་མཐའ་ལས་འདས་པར་ངེས་པར་འབྱུང་བ་ཡིན་ནོ་༎	T07n0220d_538:0767b15_12	「言大乘，大乘者普超一切世間天、人、阿素洛等最尊最勝，如是大乘與虛空等。 譬如虛空，普能容受無量無數無邊有情，大乘亦爾，普能容受無量無數無邊有情。
T03D3790-1:277b-1	བཅོམ་ལྡན་འདས་ཐེག་པ་ཆེན་པོ་འདི་ལ་བསླབས་ཤིང་འདས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱིས་ཀྱང་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཐོབ་བོ་༎ བཅོམ་ལྡན་འདས་མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱིས་ཀྱང་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འདི་ཉིད་ལ་བསླབས་ཤིང་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་འཐོབ་པར་འགྱུར་རོ་༎ བཅོམ་ལྡན་འདས་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གཞལ་དུ་མ་མཆིས་། གྲངས་མ་མཆིས་། ཚད་མ་མཆིས་པ་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་མཆིས་པ་རྣམས་ཀྱང་ཐེག་པ་ཆེན་པོ་འདི་ལ་བསླབས་ཤིང་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཐོབ་སྟེ་།	T07n0220d_538:0767b20_5	又如虛空、前、後、中際皆不可得，大乘亦爾，前、後、中際皆不可得。
T03D3790-1:277b-6	བཅོམ་ལྡན་འདས་དེའི་སླད་དུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལགས་ཏེ་། འདི་ལྟ་སྟེ་། དུས་གསུམ་མཉམ་པ་ཉིད་ཅེས་བྱའོ་༎	T07n0220d_538:0767b22_3	如是大乘最尊最勝與虛空等，多所容受、無動、無住，三世平等超過三世，故名大乘。
T03D3790-1:277b-9	དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎	T07n0220d_538:0767b22_9	」佛告善現：
T03D3790-1:277b-10	རབ་འབྱོར་དེ་དེ་བཞིན་ནོ་༎	T07n0220d_538:0767b22_13	「善哉！ 善哉！
T03D3790-1:277b-11	དེ་དེ་བཞིན་ཏེ་།	T07n0220d_538:0767b22_19	如是！
T03D3790-1:277b-14	དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎	T07n0220d_538:0767b24_5	」時，滿慈子便白佛言：
T03D3790-1:142a-18	ཐབས་མི་མཁས་པས་བདག་ཏུ་བགྱི་བ་དང་། བདག་གིར་བགྱི་བ་ལ་གནས་པའི་ཡིད་ཀྱིས་གཟུགས་ལ་གནས་ན་། དེ་གཟུགས་མངོན་པར་འདུ་བགྱི་བ་ལ་སྤྱོད་ཀྱི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་མི་སྤྱོད་དོ་༎ གལ་ཏེ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་ལ་གནས་ན་། དེ་རྣམ་པར་ཤེས་པ་མངོན་པར་འདུ་བགྱི་བ་ལ་སྤྱོད་ཀྱི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་མི་སྤྱོད་དོ་༎	T07n0220d_538:0764b02_15	若住於色，便作色行，非行般若波羅蜜多； 若住受、想、行、識，便作受、想、行、識行，非行般若波羅蜜多。
T03D3790-1:142a-22	དེ་ཅིའི་སླད་དུ་ཞེ་ན་།	T07n0220d_538:0764b04_4	所以者何？
T03D3790-1:142a-23	མངོན་པར་འདུ་བགྱི་བ་ལ་སྤྱོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པས་ཡོངས་སུ་ཟིན་པར་མི་འགྱུར་།	T07n0220d_538:0764b10_10	非作、行者能攝般若波羅蜜多，不攝般若波羅蜜多則於般若波羅蜜多不能修習，若於般若波羅蜜多不能修習則於般若波羅蜜多不能圓滿，若於般若波羅蜜多不能圓滿便不能得一切智智，若不能得一切智智便不能攝所攝有情，是故不應攝受諸色、受、想、行、識。 所以者何？ 色於般若波羅蜜多不可攝受，受、想、行、識於般若波羅蜜多亦不可攝受，色不可攝受故則非色，受、想、行、識亦不可攝受故則非受、想、行、識，甚深般若波羅蜜多亦不可攝受故便非般若波羅蜜多。
T03D3790-1:155a-14	དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་གྱིས་། ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎	T07n0220d_538:0765b11_13	」具壽善現承佛神力，復語大德舍利子言：
T03D3790-1:277b-15	བཅོམ་ལྡན་འདས་གནས་བརྟན་རབ་འབྱོར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སླད་དུ་བསྐོ་བ་མཛད་པས་འདི་ནི་ཐེག་པ་ཆེན་པོ་བསྟན་པར་སེམས་སོ་༎	T07n0220d_538:0767b26_7	「世尊先教大德善現為諸菩薩摩訶薩眾宣說、開示甚深般若波羅蜜多，而今何故乃說大乘？
T03D3790-1:277b-16	དེ་ནས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་གྱིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎	T07n0220d_538:0767b26_18	」爾時，善現即白佛言：
T03D3790-1:277b-17	བཅོམ་ལྡན་འདས་བདག་གིས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་འགལ་བར་ཐེག་པ་ཆེན་པོ་བསྟན་པར་མ་གྱུར་པ་ལགས་གྲང་།	T07n0220d_538:0767b28_5	「我從前來所說種種大乘之義，將無違越所說般若波羅蜜多。
T03D3790-1:142a-15	བཅོམ་ལྡན་འདས་རྣམ་གྲངས་དེས་ན་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་སྤྱོད་པས་ཡང་དག་པའི་མཐའ་ལ་གནས་པར་མི་བགྱིའོ་༎ བཅོམ་ལྡན་འདས་གཞན་ཡང་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་སྤྱོད་པའི་ཚེ་།	T07n0220d_538:0764a29_1	「復次，世尊！ 諸菩薩摩訶薩修行般若波羅蜜多，不應住色，亦不應住受、想、行、識。 所以者何？
T03D3790-1:155a-16	ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་ཏིང་ངེ་འཛིན་དེ་དག་གི་གནས་པ་ནི་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱིས་ཀྱང་།	T07n0220d_538:0765b13_4	「若菩薩摩訶薩安住此定，當知已為過去如來、應、正等覺現前授記。
T03D3790-1:155a-17	བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ་༎ ད་ལྟར་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་གངགའའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་ན་། ༄༡༥༥བ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཞུགས་ཤིང་འཚོ་སྐྱོང་བ་གང་དག་ཡིན་པ་དེ་དག་གིས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལུང་བསྟན་ཏེ་། དེས་ནི་ཏིང་ངེ་འཛིན་ཡང་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་། དེས་ནི་ཏིང་ངེ་འཛིན་ཡང་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་ངོ་༎	T07n0220d_538:0765b14_14	是菩薩摩訶薩雖住此定，而不見此定亦不著此定名，亦不念言：
T03D3790-1:155b-4	བདག་ནི་སྙོམས་པར་འཇུག་གོ་༎ བདག་གིས་མཉམ་པར་གཞག་པར་བྱའོ་༎	T07n0220d_538:0765b15_7	『我於此定已、正、當入。
T03D3790-1:155b-6	བདག་ནི་མཉམ་པར་གཞག་པར་གྱུར་ཏོ་ཞེས་རློམ་སེམས་སུ་འགྱུར་བ་མེད་དེ་།	T07n0220d_538:0765b15_13	』亦不念言： 『唯我能入此定，非餘彼。
T03D3790-1:155b-11	རབ་འབྱོར་གྱིས་སྨྲས་པ་།	T07n0220d_538:0765b19_15	」善現答言：
T03D3790-1:155b-12	ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་དེ་ནི་མེད་དེ་།	T07n0220d_538:0765b19_19	「不也！ 舍利子！
T03D3790-1:155b-13	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།	T07n0220d_538:0765b20_5	何以故？
T03D3790-1:155b-26	ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་དེ་ནི་མ་ཡིན་ནོ་༎ སྨྲས་པ་། ཚེ་དང་ལྡན་པ་རབ་འབྱོར་རིགས་ཀྱི་བུ་དེ་ཏིང་ངེ་འཛིན་དེ་ལ་འདུ་ཤེས་སུ་བྱེད་དམ་། རབ་འབྱོར་གྱིས་སྨྲས་པ་། ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་འདུ་ཤེས་སུ་བྱེད་པ་མེད་དོ་༎ སྨྲས་པ་། ཇི་ལྟར་དེ་ལ་འདུ་ཤེས་སུ་བྱེད་པར་མི་འགྱུར་།	T07n0220d_538:0765b22_3	「具壽說彼諸善男子於如是定無解想耶？
T03D3790-1:156a-0	རབ་འབྱོར་གྱིས་༄༡༥༦ཨ་༌་༎	T07n0220d_538:0765b22_9	」善現報言：
T03D3790-1:156a-4	ཆོས་ཐམས་ཅད་མེད་པའི་ཕྱིར་རྟག་པ་མེད་དེ་། དེ་ལྟར་ན་ཏིང་ངེ་འཛིན་དེ་ལ་རྟོག་པ་མེད་དོ་༎ ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་རྣམ་གྲངས་དེས་ན་། རིགས་ཀྱི་བུ་དེ་ཏིང་ངེ་འཛིན་དེ་ལ་རྣམ་པར་ཤེས་པར་བྱེད་པ་མེད་དོ་༎	T07n0220d_538:0765b24_1	如是諸定無所有故。 彼善男子於如是定無解無想，如是諸定於一切法亦無解想。
T03D3790-1:155b-8	ཤའ་རིའི་བུས་སྨྲས་པ་།	T07n0220d_538:0765b17_7	」時，舍利子問善現言：
T03D3790-1:155b-9	ཚེ་དང་ལྡན་པ་རབ་འབྱོར་ཅི་ཏིང་ངེ་འཛིན་འདི་ལ་གནས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལ་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱིས་ལུང་བསྟན་པ་ཡོད་དམ་།	T07n0220d_538:0765b19_9	「若菩薩摩訶薩由住此定，已為過去諸佛世尊現前授記，是菩薩摩訶薩為能顯示如是定不？
