src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04D3855:22b-35	ཅེས་བྱ་ལ་སོགས་གང་སྨྲས་དང་༎ གཞན་དབང་ཡོད་པ་ཉིད་སྨྲས་པ་༎ ཀུན་རྫོབ་ཏུ་ནི་གྲུབ་པ་སྒྲུབ་༏་། གལ་ཏེ་དོན་དམ་དཔེ་མེད་ཅིང་༎ གཏན་ཚིགས་འགལ་བ་ཉིད་དུ་འགྱུར་༎ གལ་ཏེ་གཞན་དབང་ངོ་བོ་ཉིད་༎	T04n1003u_005:153	 paratantrāstitoktau ca saṃvṛtyā siddhasādhanam |  tattvataścenna dṛṣṭānto hetoścāpi viruddhatā ||71 ||
T04D3855:22b-40	སྐྱེ་བ་ངོ་བོ་ཉིད་མེད་དེ་༎ ཡོད་པར་གྱུར་ལས་མ་སྐྱེས་ན་༎	T04n1003u_005:155	 utpattiniḥsvabhāvatvaṃ sadbhūtājātito yadi |
T04D3855:22b-42	སྐྱེ་འགག་ལ་སོགས་འགལ་སྒྲུབ་ཡིན་༎	T04n1003u_005:156	 nānutpādanirodhādipratiṣedhasamarthanam ||72 ||
T04D3855:22b-43	རྐྱེན་རྣམས་ལས་ནི་གང་སྐྱེས་པ་༎ དེ་སྐྱེ་མེད་པར་ཐུབ་པས་གསུངས་༎	T04n1003u_005:157	 pratyayairjāyate yo hi tamajātaṃ jagau muniḥ |
T04D3855:22b-45	དོན་དམ་དུ་ན་དངོས་ཉིད་ལས་༎ དེ་ཡི་སྐྱེ་བ་དགག་ཕྱིར་རོ་༎ ཆོས་རྣམས་ཡང་དག་ཉིད་མིན་ཕྱིར་༎ དེ་དག་ཀུན་རྫོབ་བློ་དང་སྒྲ་༎ སྣ་ཚོགས་རང་སྤྱིའི་སྤྱོད་ཡུལ་དུ་༎ འགྱུར་པ་ལ་ནི་འགལ་བ་མེད་༎	T04n1003u_005:158	 svabhāvatastadutpādaniṣedhāt paramārthataḥ ||73 ||  abhūtatvācca dharmāṇāṃ tatsvasāmānyagocaraḥ |
T04D3855:23a-6	རྒྱུ་བཞིན་ཡང་དག་ཉིད་མིན་པས་༎ གཞན་གྱི་དབང་ཡང་གཟུང་མེད་པ་༎ ངོ་བོ་ཉིད་ཀྱིས་མ་སྐྱེས་འདོད་༎ དོན་དམ་དུ་ནི་སྐྱེས་པ་ལ་༎ ལོག་པར་སྣང་བ་མི་རིགས་ཕྱིར་༎	T04n1003u_005:167	 jātasya paramārthena mithyākhyānaṃ na yujyate ||77 ||
T04D3855:23a-12	གལ་ཏེ་ཇི་ལྟར་སྣང་བ་ལྟར་༎ དེར་སྣང་བདག་ཉིད་ཡོད་གྱུར་ན་༎ ཇི་ལྟར་བ་དེར་ཡོད་ཕྱིར་༎ ཆོས་རྣམས་ཇི་ལྟར་སྒྱུ་མ་བཞིན་༎	T04n1003u_005:168	 yathā khyānti tathā santi tadābhāsātmanā yataḥ |  yathā khyānti tathā sattvād dharmā māyopamāḥ katham ||78 ||
T04D3855:23a-16	མ་སྐྱེས་པ་དང་མ་འགགས་དང་༎ དངོས་མེད་ངོ་བོ་ཉིད་མེད་པའང་༎ ཡོད་པ་ཉིད་ལས་མ་སྐྱེས་དང་༎ རྫས་སུ་ཡོད་པ་མ་ཡིན་ཕྱིར་༎	T04n1003u_005:170	 sadbhūtenātmanājāteranutpannāniruddhatā |  avastutvāsvabhāvatve tathāpyadravyasattvataḥ ||79 ||
T04D3855:23a-41	དེ་ལ་དེ་ཉིད་གཞན་མེད་ཕྱིར་༎ གལ་ཏེ་དེ་ཉིད་མཐོང་འདོད་ན་༎ བུམ་པའང་བུམ་པ་གཞན་མེད་པས་༎ ཅི་ཕྱིར་དེ་ཉིད་མཐོང་མི་འདོད་༎	T04n1003u_005:191	 tattve'nyatattvasadbhāvād yadīṣṭaṃ tattvadarśanam |  ghaṭe'pi dvighaṭābhāvāt kiṃ neṣṭaṃ tattvadarśanam ||87 ||
T04D3855:23b-10	འཇིག་རྟེན་འདས་པ་རྣམ་མི་རྟོག་། དེ་བློར་མི་འདོད་འཇིག་ཕྱིར་རོ་༎	T04n1003u_005:200	 lokottarāvikalpā ca tadbuddhirna matā vyayāt ||91 ||
