src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04ksmadhlu:4822	 yāvad vastu tāvat saṃsāraḥ /  yavācca saṃsārastāvannāsti sattvānāṃ mokṣaḥ” iti /  kleśā vinayaṃ gacchanti,  kathaṃ kleśāḥ parijñātā bhavanti?  mañjuśrīrāhaparamārthato 'tyāntājātānutpannābhāveṣu sarvadharmeṣu saṃvṛtyāsadviparyāsaḥ /	T03D3805:75b-22	གང་དུ་ཡང་གསུངས་པ་འཇམ་དཔལ་ཇི་ལྟར་ཉོན་མོངས་པ་རྣམས་ཡོངས་སུ་ཤེས་པར་འགྱུར་བས་ཉོན་མོངས་པ་རྣམས་འདུལ་བར་འགྲོ་བར་འགྱུར་སྨྲས་པ་།
T04ksmadhlu:4832	 tasmād asadaviparyāsāt saṃkalpavikalpaḥ /  tasmāt saṃkalpavikalpād ayoniśomanasikārāad ātmasamāropaḥ /  tasmād ātmasamāropād dṛṣṭipatyutthānam /	T03D3805:75b-23	དོན་དམ་པར་མ་སྐྱེས་པའི་ཆོས་རྣམས་ཀྱི་ཡོད་པ་མ་ཡིན་པའི་ཡུལ་རྣམས་ལ་ཡོད་པར་སྒྲོ་བཏགས་པས་ཕྱིན་ཅི་ལོག་གི་བདག་ཉིད་ཀྱི་ལྟ་བ་ཀུན་ཏུ་ལྡང་ལ་།
T04ksmadhlu:4835	 tasmād dṛṣṭiparyutthānāt kleśāḥ pravartante /	T03D3805:75b-24	དེ་ལས་ཉོན་མོངས་པ་རྣམས་རབ་ཏུ་འཇུག་གོ་༎
T04ksmadhlu:4836	 yaḥ punardevaputra,  paramārthato 'tyantājātānutpannābhāvān sarvadharmān prajānāti,	T03D3805:76a-0	གང་ཡང་ལྷའི་བུ་དོན་དམ་པར་ཆོས་རྣམས་༄༧༦ཨ་༌་༎
T04ksmadhlu:4838	 sa paramārthato 'viparyastaḥ /  yaśca paramārthato 'viryastaḥ so 'vikalpaḥ /  yaścavikalpaḥ sa yoniśaḥ prayuktaḥ /  yaśca yoniśaḥ prayuktaḥ,	T03D3805:76a-1	མ་སྐྱེས་པ་རབ་ཏུ་ཤེས་ཤིང་ཤེས་རབ་ཀྱི་སྦྱོར་བ་མི་བྱེད་པ་ནི་ཕྱིན་ཅི་མ་ལོག་པའི་རྣམ་པར་རྟོག་པ་མེད་པ་སྟེ་།
T04ksmadhlu:4842	 tasyātmasamāropo na bhavati /  yasyātmasamāropo na bhavati tasya dṛṣṭiparyutthānaṃ na bhavanti /  yāvat paramārthato nirvāṇadṛṣṭisarvadṛṣṭiparyutthānamapi na bhavanti /	T03D3805:76a-2	ཡོད་པ་མ་ཡིན་པ་ལ་སྒྲོ་འདོགས་པར་མི་བྱེད་ཅིང་ལྟ་བ་ཀུན་ནས་ལྡང་བར་མི་བྱེད་དོ་༎
T04ksmadhlu:4845	 tasyaivam anutpādavihāriṇaḥ kleśā atyantaṃṃ vinītā draṣṭavyā /  ayamucyate kleśavinayaḥ /	T03D3805:76a-3	སྐྱེ་བ་མེད་པ་དེ་ཉིད་ལ་གནས་པས་ཉོན་མོངས་པ་ཤིན་ཏུ་འདུལ་བ་ཉིད་དུ་བལྟ་བར་བྱ་སྟེ་། མཐོང་བ་མེད་པའི་སྦྱོར་བས་སོ་༎
T04ksmadhlu:4847	 yadā devaputra,  kleśān nirābhāsena jñānena paramārthato 'tyantaśūnyān atyantābhāvān atyantanirnimittān prajānāti,	T03D3805:76a-5	གང་དུ་དོན་དམ་པར་སྐྱེ་བ་མེད་པའི་ངོ་བོར་རབ་ཏུ་ཤེས་ནས་ཀྱང་རབ་ཏུ་ཤེས་པ་ལ་སྦྱོར་བ་མེད་པས་ནི་དེ་ལྟར་ཉོན་མོངས་པ་རྣམས་རབ་ཏུ་ཤེས་པ་མེད་པའི་སྦྱོར་བས་ཡོངས་སུ་ཤེས་པ་ཡིན་ཏེ་།
T04ksmadhlu:4853	 sa tasyāśīviṣayasya viṣaṃ śamayati /	T03D3805:76a-6	འདི་ལྟ་སྟེ་དཔེར་ན་མཆེ་བ་དུག་ཅན་གྱི་རིགས་བརྗོད་པས་དུག་ཞི་བར་འགྱུར་རོ་༎
T04ksmadhlu:2855	 [30] ye sāṃkhyādayaḥ pradhāneśvarādikaṃ manvānāḥ pradhāneśvarādibhyo vastūnāmutpādamabhyupagacchanti,  teṣāmapi mataṃ svato vā parato vā utpādapakṣe pṛthakpṛtham doṣābhidhānānnaiva yuktarūpamiti /  anye ye kadācit svātantryena ubhayata utpattiṃ varṇayanti ,	T03D3805:31a-7	གཙོ་བོ་དང་དབང་ཕྱུག་དང་རང་དང་གཞན་ལས་སྐྱེ་བ་ཡང་མ་ཡིན་ཏེ་།
T04ksmadhlu:2862	 kecana tāvat kaṇṭakāditīkṣṇatādṛṣṭāntena sarvāṇi vastūni paramārthato 'hetuta utpadyanta iti kathayanti,  tatra vastūnāṃ paramārthato 'hetuta utpattiṃ sādhayatāṃ teṣāṃ dṛṣṭāntastāvannaiva siddhaḥ,	T03D3805:31a-9	ཁ་ཅིག་དག་ཚེར་མ་ལ་སོགས་པ་རྣམས་ཀྱི་རྣོ་བ་ལ་སོགས་པའི་རྒྱུ་མ་མཐོང་བས་མེད་པ་ཉིད་བཞིན་དུ་དངོས་པོ་རྣམས་རང་བཞིན་གྱིས་སྐྱེ་བར་བརྗོད་དེ་། དེ་ལ་མ་མཐོང་བ་ཉིད་དུ་མ་གྲུབ་སྟེ་།
T04ksmadhlu:2864	 paramārthato 'nutpannatvāt sarvadharmāṇām /	T03D3805:31a-11	དོན་དམ་པར་ནི་ཆོས་རྣམས་ཐམས་ཅད་མ་སྐྱེས་པའི་ཕྱིར་ལ་།
T04ksmadhlu:2865	 saṃvṛtau suddha iti cenna,  tatrāpyasiddha eva,	T03D3805:31a-12	ཀུན་རྫོབ་ཏུ་ནི་སྐྱེ་བའི་རྒྱུ་མེད་པ་ཅན་དུ་བསྒྲུབ་པ་མི་འགྲུབ་བོ་༎
T04ksmadhlu:2867	 kaṇṭādīnāṃ svabījata utpādaḥ pratyakṣato niścitatvāt /  anenaiva teṣāṃ taikṣṇyādīnāmapi niścitatvānna ko 'pi [dharmaḥ] ahetuta utpadyate /  evaṃ kādācitkatvāt sarveṣāmeteṣāṃ vastūnāṃ sāpekṣatvaṃ niścitameva anapekṣitasya tu sadā aviśeṣāttasya kādācitkatvaṃ nopapadyata eveti /  yatteṣāṃ sāpekṣatvaṃ tadeva hetuḥ,  anupakāriṇi apekṣāyā anupapannatvāt /	T03D3805:31a-13	གང་དུ་ཡང་ས་བོན་ལ་སོགས་པ་དག་ལས་ཚེར་མ་ལ་སོགས་པ་དག་སྐྱེ་བར་འགྱུར་བ་དེ་རྣམས་ཀྱི་རྣོ་བ་ལ་སོགས་པ་གང་དུ་རྒྱུ་མེད་པ་ཅན་ལས་མི་སྐྱེ་སྟེ་།
T04ksmadhlu:2872	 tatra yadupakārakatvena prasiddhaḥ,  sa eva tasya heturiti sidhyati /  ahetukatve sati sarvatra abhinnatvāt kaṇkādiṣvapi tīkṣṇatāyā nirdhāraṇaṃ na syāt /  phalataḥ sarve sarvātmakāḥ syuḥ /	T03D3805:31a-14	རྒྱུ་མེད་པ་ཅན་ཉིད་ལ་རྣོ་བ་ལ་སོགས་པའི་ཚེར་མ་ལ་སོགས་པ་ངེས་པར་འགྱུར་ན་ཁྱད་པར་མེད་པས་དེ་ལྟ་ན་ནི་ཐམས་ཅད་ལ་ཐམས་ཅད་ཀྱི་བདག་ཉིད་ཀྱིས་འགྱུར་ན་།
T04ksmadhlu:2876	 ye bījādayaste loke kāryakāraṇātmakatvena pratyakṣataḥ siddhāḥ /	T03D3805:31a-15	ས་བོན་ལ་སོགས་པ་རྣམས་ནི་འཇིག་རྟེན་པ་ལ་མངོན་སུམ་ཉིད་དུ་རྒྱུ་དང་འབྲས་བུའི་དངོས་པོར་གྲུབ་པའི་ཕྱིར་དམ་བཅའ་བ་མངོན་སུམ་དང་འགལ་བའོ་༎
T04ksmadhlu:3330	 sarvasaṃskārāśca mithyā moṣadharmāṇaḥ' iti /  paramārthato niḥsvabhāvatve 'pi vastuno yadi niyatadeśakālādyavabhāso bhavatīti kathaṃ na śaśaśṛṅgādayo 'pyavabhāsanta iti cet?	T03D3805:32b-0	གལ་ཏེ་དོན་དམ་པར་ངོ་བོ་ཉིད་མེད་ཀྱང་དངོས་༄༣༢བ་པོ་ཡུལ་དང་དུས་ལ་སོགས་པ་ངེས་པས་སོ་སོར་སྣང་ན་དེས་རི་བོང་གི་རབ༹་ལ་སོགས་པ་ཡང་ཅིའི་ཕྱིར་ངེས་པར་མི་འགྱུར་ཞེ་ན་།
T04ksmadhlu:3332	 bhavadbirapyasyottaraṃ dātavyaṃ syāt,	T03D3805:32b-1	ཁྱོད་ལ་ཡང་འདི་འདྲི་བར་བྱའོ་༎
