src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04sanss13u:147	 sâivaṃ cittaṃ parigaveṣate /	K08D0087_H0087:240b-9	དེ་འདི་ལྟར་སེམས་ཡོངས་སུ་ཚོལ་ཏེ་འདོད་ཆགས་པར་འགྱུར་བའམ་།
T04sanss13u:148	 katarat tu cittaṃ /	K08D0087_H0087:240b-11	གཏི་མུག་པར་འགྱུར་བའི་སེམས་དེ་གང་ཡིན་།
T04sanss13u:149	 rajyati vā duṣyati vā muhyati vā /  kim atītam anāgataṃ pratyutpannaṃ vêti /  tatra yad atītaṃ-  tat kṣīṇaṃ /	K08D0087_H0087:240b-13	མ་འོངས་པའམ་། ད་ལྟར་བྱུང་བ་ཞིག་ཡིན་ནམ༏་དེ་ལ་སེམས་འདས་པ་གང་ཡིན་པ་དེ་ནི་ཟད་པའོ་༎
T04sanss13u:154	 yad anāgataṃ tad asaṃprāptaṃ /	K08D0087_H0087:240b-15	མ་འོངས་པ་གང་ཡིན་པ་དེ་ནི་མ་ཕྱིན་པའོ་༎
T04sanss13u:155	 pratyutpannasya sthitir nâsti /	K08D0087_H0087:240b-16	ད་ལྟར་བྱུང་བ་ནི་གནས་པ་མེད་དོ་སྙམ་མོ་༎
T04sanss13u:156	 cittaṃ hi kāśyapa nâdhyātmaṃ na bahirdhā nôbhayam antareṇôpalabhyate /	K08D0087_H0087:240b-17	འོད་སྲུང་། སེམས་ནི་ནང་ན་ཡང་མེད་། ཕྱི་རོལ་ན་ཡང་མེད་། གཉི་ག་ལ་མེད་པར་ཡང་མི་དམིགས་སོ་༎
T04sanss13u:157	 cittaṃ hi kāśyapârūpam anidarśanam apratigham avijñaptikam apratiṣṭham	K08D0087_H0087:240b-20	འོད་སྲུང་། སེམས་ནི་དཔྱད་དུ་མེད་པ་། བསྟན་དུ་མེད་པ་།
T04sanss13u:159	 aniketaṃ /	K08D0087_H0087:240b-22	རྟེན་མ་ཡིན་པ་།
T04sanss13u:160	 cittaṃ hi kāśyapa sarvabuddhair na dṛṣṭaṃ /  na paśyanti na drakṣyanti yat sarvabuddhair na dṛṣṭaṃ /	K08D0087_H0087:240b-23	སྣང་བ་མེད་པ་། རྣམ་པར་རིག་པ་མེད་པ་༄༢༤༡ཨ་༌༎ འོད་སྲུང་། སེམས་ནི་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་ཀྱང་མ་གཟིགས་། མི་གཟིགས་། གཟིགས་པར་མི་འགྱུར་རོ་༎
T04sanss13u:162	 na paśyanti na drakṣyanti /  kīdṛśas tasya pracāro draṣṭavyaḥ /  anyatra vitathapatitayā saṃjñayā dharmāḥ pravartante /	K08D0087_H0087:241a-4	ལོག་པར་ཞུགས་པའི་འདུ་ཤེས་ལས་ཆོས་རྣམས་འབྱུང་བ་མ་གཏོགས་པར་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་ཀྱང་མ་གཟིགས་། མི་གཟིགས་། གཟིགས་པར་མི་འགྱུར་པ་གང་ཡིན་པ་དེའི་རྒྱུ་བ་ཅི་འདྲ་བ་ལྟ་ཞེ་ན་།
T04sanss13u:165	 cittaṃ hi kāśyapa māyāsadṛśam abhūtaparikalpanayā vividhām upapattiṃ parigṛhṇāti //pe //	K08D0087_H0087:241a-6	འོད་སྲུང་། སེམས་ནི་སྒྱུ་མ་དང་མཚུངས་ཏེ་། ཡང་དག་པ་མ་ཡིན་པ་ཀུན་བརྟགས་པས་སྐྱེ་བ་རྣམ་པ་མང་པོ་ཡོངས་སུ་འཛིན་ཏོ་༎
T04sanss13u:166	 cittaṃ hi kāśyapa nadīsrotaḥsadṛśam anavasthitam utpannabhagnavilīnaṃ /	K08D0087_H0087:241a-8	འོད་སྲུང་། སེམས་ནི་འབབ་ཆུའི་རྒྱུན་དང་མཚུངས་ཏེ་། མི་གནས་པ་སྐྱེས་ནས་འཇིག་ཅིང་འཇུ་བའོ་༎
T04sanss13u:167	 cittaṃ hi kāśyapa dīpârcciḥsadṛśaṃ hetupratyayatayā pravartate /	K08D0087_H0087:241a-10	འོད་སྲུང་། སེམས་ནི་རླུང་དང་མཚུངས་ཏེ་། རིང་དུ་འགྲོ་ཞིང་གཟུང་དུ་མེད་པར་རྒྱུ་བའོ་༎ འོད་སྲུང་། སེམས་ནི་མར་མེའི་འོད་འཕྲོ་བ་དང་མཚུངས་ཏེ༏་རྒྱུ་དང་རྐྱེན་ལས་འབྱུང་བའོ་༎ འོད་སྲུང་། སེམས་ནི་ནམ་མཁའ་དང་མཚུངས་ཏེ་། ཉེ་བའི་ཉོན་མོངས་པ་གློ་བུར་བ་རྣམས་ཀྱིས་ཉེ་བར་ཉོན་མོངས་པའོ་༎
T04sanss13u:168	 cittaṃ hi kāśyapa vidyutsadṛśaṃ kṣaṇabhaṅgânavasthitam /	K08D0087_H0087:241a-15	འོད་སྲུང་། སེམས་ནི་གློག་དང་མཚུངས་ཏེ་། སྐད་ཅིག་ཏུ་འཇིག་ཅིང་མི་གནས་པའོ་༎
T04sanss13u:169	 cittaṃ hi kāśyapâkāśasadṛśam āgantukaiḥ kleśair upakliśyate /  pe //cittaṃ hi kāśyapa pāpamitrasadṛśaṃ sarvaduṣkhasaṃjananatayā / pe /	K08D0087_H0087:241a-17	འོད་སྲུང་། སེམས་ནི་སྤྲེའུ་དང་མཚུངས་ཏེ་། ཡུལ་ཐམས་ཅད་འདོད་པའོ་༎ འོད་སྲུང་། སེམས་ནི་ལས་རྣམ་པ་སྣ་ཚོགས་མངོན་པར་འདུ་བྱེད་པའི་ཕྱིར་རི་མོ་མཁན་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་ཉོན་མོངས་པ་ཐ་དད་པ་འབྱུང་བའི་ཕྱིར་མི་གནས་པའོ་༎ འོད་སྲུང་། སེམས་ནི་གཉིས་པ་མཚམས་༄༢༤༡བ་སྦྱོར་བ་མེད་པའི་ཕྱིར་གཅིག་པུ་རྒྱུ་སྟེ་གཉིས་སུ་མེད་པའོ་༎
T04sanss13u:171	 cittaṃ hi kāśyapa matsyabaḍiśasadṛśaṃ duṣkhe sukhasaṃjñayā /	K08D0087_H0087:241b-1	འོད་སྲུང་། སེམས་ནི་ཆོས་ཐམས་ཅད་ལ་དབང་བྱེད་པའི་ཕྱིར་རྒྱལ་པོ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་སྡུག་བསྔལ་ཐམས་ཅད་བསྐྱེད་པའི་ཕྱིར་མི་མཛའ་བ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་བདེ་བའི་རྩ་བ་ཐམས་ཅད་འཇིག་པར་བྱེད་པའི་ཕྱིར་བྱེ་མའི་ཁང་པ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་མི་རྟག་པ་ལ་རྟག་པར་འདུ་ཤེས་པའི་ཕྱིར་ཟིལ་པ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་སྡུག་བསྔལ་ལ་བདེ་བར་འདུ་ཤེས་པའི་ཕྱིར་ཉའི་མཆིལ་པ་དང་མཚུངས་སོ་༎
T04sanss13u:172	 tathā nīlamakṣikāsadṛśam aśucau śucisaṃjñayā /	K08D0087_H0087:241b-6	འོད་སྲུང་། སེམས་ནི་བདག་མེད་པ་ལ་བདག་ཏུ་འདུ་ཤེས་པའི་ཕྱིར་རྨི་ལམ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་མི་གཙང་བ་ལ་གཙང་བར་འདུ་ཤེས་པའི་ཕྱིར་སྦྲང་མ་སྔོན་པོ་དང་མཚུངས་སོ་༎
T04sanss13u:173	 cittaṃ hi kāśyapa pratyarthikasadṛśaṃ vividhakāraṇâkaraṇatayā /  cittaṃ hi ojohārayakṣasadṛśaṃ sadā vivaragaveṣaṇatayā /	K08D0087_H0087:241b-8	འོད་སྲུང་། སེམས་ནི་གནོད་པ་རྣམ་པ་མང་པོ་བྱེད་པས་ཕྱིར་རྒོལ་བ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་རྟག་ཏུ་ཀླན་ཀ་ཚོལ་བའི་ཕྱིར་གནོད་སྦྱིན་མདངས་འཕྲོག་པ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་རྟག་ཏུ་གླགས་ལྟ་བས་དགྲ་དང་མཚུངས་པའོ་༎ འོད་སྲུང་། སེམས་ནི་རྗེས་སུ་ཆགས་པ་དང་ཁོང་ཁྲོ་བ་དང་ལྡན་པས་རྟག་པར་མཐོན་དམན་ཅན་ནོ་༎
T04sanss13u:175	 evaṃ corasadṛśaṃ sarvakuśalamūlamuṣaṇatayā /	K08D0087_H0087:241b-12	འོད་སྲུང་། སེམས་ནི་དགེ་བའི་རྩ་བ་ཐམས་ཅད་རྐུ་བས་ཆོམ་རྐུན་དང་མཚུངས་སོ་༎
T04sanss13u:176	 cittaṃ hi kāśyapa rūpârāmaṃ pataṅganetrasadṛśaṃ /	K08D0087_H0087:241b-13	འོད་སྲུང་། སེམས་ནི་གཟུགས་ལ་དགའ་བས་ཕྱི་བྱི་ཞོ་ལའི་མིག་དང་མཚུངས་སོ་༎
T04sanss13u:177	 cittaṃ hi kāśyapa śabdârāmaṃ saṃgrāmabherīsadṛśaṃ /  cittaṃ hi kāśyapa gandhârāmaṃ varāhêvâśucimadhye /	K08D0087_H0087:242a-0	འོད་སྲུང་། སེམས་ནི་སྒྲ་༄༢༤༢ཨ་༌༎ ལ་དགའ་བས་ག-ཡུལ་གྱི་རྔ་དང་མཚུངས་སོ་༎ འོད་སྲུང་། སེམས་ནི་ཕག་མི་གཙང་བའི་དྲི་ལ་དགའ་བ་བཞིན་དུ་དྲི་ལ་དགའོ་༎ འོད་སྲུང་། སེམས་ནི་རོ་ལ་དགའ་བས་ཟས་ཀྱི་ལྷག་མ་ཟ་བའི་བྲན་མོ་དང་མཚུངས་སོ་༎
T04sanss13u:180	 cittaṃ hi kāśyapa sparśârāmaṃ makṣikêva tailapātre /	K08D0087_H0087:242a-4	འོད་སྲུང་། སེམས་ནི་རེག་པ་ལ་དགའ་བས་སྦྲང་མ་འབྲུ་མར་གྱི་སྣོད་ལ་ཆགས་པ་དང་མཚུངས་སོ་༎
T04sanss13u:181	 cittaṃ hi kāśyapa parigaveṣyamāṇaṃ na labhyate /	K08D0087_H0087:242a-5	འོད་སྲུང་། སེམས་ནི་ཀུན་དུ་བཙལ་ན་མི་རྙེད་དོ་༎
T04sanss13u:182	 yan na labhyate tan nôpalabhyate /	K08D0087_H0087:242a-6	གང་མི་རྙེད་པ་དེ་མི་དམིགས་པའོ་༎
T04sanss13u:183	 yan nôpalabhyate tan nâivâtītaṃ nânāgataṃ na pratyutpannaṃ /	K08D0087_H0087:242a-7	གང་མི་དམིགས་པ་དེ་ནི་འདས་པ་ཡང་མ་ཡིན་། མ་འོངས་པ་ཡང་མ་ཡིན་། ད་ལྟར་བྱུང་བའང་མ་ཡིན་ནོ༏་༏གང་འདས་པ་ཡང་མ་ཡིན་།
T04sanss13u:184	 yan nâivâtītaṃ nânāgataṃ na pratyutpannaṃ tat tryadhvasamatikrāntaṃ /  yat tryadhvasamatikrāntaṃ tan nêvâsti na nâstîty ādi //	K08D0087_H0087:242a-10	མ་འོངས་པ་ཡང་མ་ཡིན་། ད་ལྟར་བྱུང་བ་ཡང་མ་ཡིན་པ་དེ་ནི་དུས་གསུམ་ལས་ཡང་དག་པར་འདས་པའོ་༎
