src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04sanss18u:250	 nāmayāḥ //durbhikṣântarakalpeṣu bhavantī pānabhojanam /	T14n0475_002:0550a21_0	劫中有飢饉，　　現身作飲食，
T04sanss18u:251	 kṣudhāpipāsām apanīya dharmaṃ deśenti prāṇinām //	T14n0475_002:0550a22_13	先救彼飢渴，　　却以法語人；
T04sanss18u:252	 śastrântarakalpeṣu maitrīdhyāyī bhavanti te /	T14n0475_002:0550a23_0	劫中有刀兵，　　為之起慈心，
T04sanss18u:253	 avyāpāde niyojenti satvakoṭiśatān bahūn //	T14n0475_002:0550a24_13	化彼諸眾生，　　令住無諍地。
T04sanss18u:254	 mahāsaṃgrāmamadhye ca samapakṣā bhavanti te /	T14n0475_002:0550a25_0	若有大戰陣，　　立之以等力，
T04sanss18u:255	 sandhisāmagri rocenti bodhisatvā mahābalāḥ //	T14n0475_002:0550a26_13	菩薩現威勢，　　降伏使和安。
T04sanss18u:256	 ye câpi nirayāḥ kecid buddhakṣetreṣv acintiṣu /  saṃcintya tatra gacchanti satvānāṃ hitakāraṇāt //	T14n0475_002:0550a27_0	一切國土中，　　諸有地獄處， 輒往到于彼，　　勉濟其苦惱；
T04sanss18u:260	 kāmabhogāṃś ca darśenti dhyānaṃ ca dhyāyināṃ tathā /	T14n0475_002:0550b02_0	示受於五欲，　　亦復現行禪，
T04sanss18u:261	 vidhvasta māraṃ kurvanti avatāraṃ na denti te //	T14n0475_002:0550b03_13	令魔心憒亂，　　不能得其便。
T04sanss18u:265	 saṃcintya gaṇikāṃ bhonti puṃsām ākarṣaṇāya te /	T14n0475_002:0550b06_0	或現作婬女，　　引諸好色者，
T04sanss18u:266	 rāgâṅku saṃlobhya buddhajñāne sthāpayanti te //	T14n0475_002:0550b07_13	先以欲鉤牽，　　後令入佛道；
T04sanss18u:267	 grāmikāś ca sadā bhonti sârthavāhāḥ purohitāḥ /	T14n0475_002:0550b08_0	或為邑中主，　　或作商人導，
T04sanss18u:269	 daridrāṇāṃ ca satvānāṃ nidhānā bhonti akṣayāḥ /	T14n0475_002:0550b10_0	諸有貧窮者，　　現作無盡藏，
