src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04vasbocpu:446	 9 / kṣāntyutpādapratyayasya santīmāni daśa vastūni /	T54n2123_010:0096c25_12	忍辱有十事。
T04vasbocpu:447	 ātmani nātmalakṣaṇaṃ paśyatīti prathamam /	T54n2123_010:0096c26_3	一不觀於我及我所相。
T04vasbocpu:448	 na jātimedaṃ manasi karotīti dvitīyam /	T54n2123_010:0096c26_9	二不念種姓。
T04vasbocpu:449	 pratinivartate madamānāditi tṛtīyam /	T54n2123_010:0096c26_15	三破除憍慢。
T04vasbocpu:450	 apakurvantaṃ na pratyayakarotīti caturtham /	T54n2123_010:0096c27_1	四惡來不報。
T04vasbocpu:451	 anityalakṣaṇaṃ paśyatīti paṃcamam /	T54n2123_010:0096c27_7	五觀無常想。
T04vasbocpu:452	 maitrī karuṇā cācaratīti ṣaṣṭham /	T54n2123_010:0096c27_13	六修於慈悲。
T04vasbocpu:453	 na cittena pramādyatīti sanamam /	T54n2123_010:0096c27_19	七心不放逸。
T04vasbocpu:454	 upekṣate kṣutpipāsāduḥkhaduḥkhādīnītyaṣṭamam /	T54n2123_010:0096c28_9	八捨於飢渴苦樂等事。
T04vasbocpu:177	 kāmaye yanmayā purā janmanīhacānena kāyena yadavaropitaṃ kuśalamūlaṃ tadutsṛjāmyaparmantebhyaḥ sarvasattvebhyaḥ /	T54n2123_001:0006b28_10	一者願我先世及以今身。 所種善根施與一切眾生。
T04vasbocpu:178	 pariṇāmayāmi ca sarvānanuttarāyāṃ bodhau /	T54n2123_001:0006b29_8	迴向佛道。
T04vasbocpu:179	 kṣaṇaṃ kṣaṇaṃ praṇidhānametanme saṃvarddheta jātau jātau ca jāyeta nityaṃ cittānubaddhaṃ na kadāpi vismriyeta dhāraṇyā ca parikṣyeta /	T54n2123_001:0006b29_17	令我此願念念增長。 世世所生終不忘失。 常為陀羅尼之所守護。
T04vasbocpu:180	 kāmaye yadahaṃ pariṇāmya mahābodhāvanena kuśalamūlena sarvajātinivāseṣu nityaṃ pūjayeyaṃ sarvabuddhānna kadāpyabuddhakṣetreṣu saṃbhaveyam /	T54n2123_001:0006c02_8	二者願我以此善根。 生處值佛常得供養。 不生無佛國中。
T04vasbocpu:181	 kāmaye yadahamutpadya buddhakṣetre ṣūpagaccheyaṃ buddhānupatiṣṭheyaṃ buddhāñchāyeva śarīramanugataḥ kṣaṇamapi na dūrībhaveyaṃ buddhebhyaḥ /	T54n2123_001:0006c04_8	三者願我親近諸佛。 隨侍左右如影隨形。
T04vasbocpu:182	 kāmaye yadahamupagato buddhāṃstai ryathākāmaṃ mamārthāya deśitena dharmeṇa niṣpādayeyaṃ bodhisattvapaṃcābhijñānāni /	T54n2123_001:0006c05_8	四者願我既得親近。 為我說法成就五通。
T04vasbocpu:183	 kāmaye yadahaṃ niṣpādya bodhisattvapaṃcābhijñānāni saṃvṛtisatyaṃ vijñaptiprasṛtaṃ pratibudhya paramārthasatyaṃ bhṛtasvamāvaṃ parijñāya prāpnuyāṃ samyagdharmajñānam /	T54n2123_001:0006c06_12	五者願我通達世諦假名流布。 解第一義得正法智。
T04vasbocpu:184	 kāmaye yadahaṃ prāpya samyagdharmajñānamaviśrāntacittena deśayeyaṃ sattvebhyo nidarśayitumupadeśahitān ababodhayituṃ ca tānsarvān /	T54n2123_001:0006c08_12	六者願我以無厭心為眾生說。 示教利喜皆令開解。
T04vasbocpu:185	 kāmaye yadahamababodhya sarvānsattvānbuddhānubhāvena gaccheyaṃ daśadikṣu niravaśeṣeṣu lokadhātuṣu pūjatituṃ buddhāñchrotuṃ saddarmān saṃparigrahītuṃ sattvān /	T54n2123_001:0006c10_8	七者願我以佛神力。 遍至十方一切世界。 供養諸佛聽受正法。 廣攝眾生。
T04vasbocpu:186	 kāmaye yadahaṃ buddhakṣetreṣu saddharmamudgṛhyānupravarteyaṃ pariśuddhaṃ dharmacakram /	T54n2123_001:0006c12_10	八者願我隨順清淨法輪。
T04vasbocpu:187	 daśadi kathātuṣu sarvesattvā mama deśanāṃ śrutvā mama nāmākarṇya parityajantu sarvānkleśānu dayantu bodhicittam /	T54n2123_001:0006c13_1	一切眾生聽我法者。 聞我名者。 即得捨離一切煩惱。
T04vasbocpu:188	 kāmaye yadahaṃ sarvasattveṣu bodhicittamutpādya nityaṃ paripāluyituṃ parihareyamalābhaṃ	T54n2123_001:0006c14_12	九者願我隨逐眾生將護與樂。
T04vasbocpu:189	 prapaccheyamaprameyasukhānyutsṛjeyaṃ jīvitaṃ dhanānicoddhareyaṃ sattvānudvaheyaṃ saddharmam /	T54n2123_001:0006c15_3	捨身命財荷負正法。 除無利益。
T04vasbocpu:190	 kāmaye yadahaṃ saddharmamudūḍhaya caritvāpi saddharmaṃ cittena nācareyam /	T54n2123_001:0006c16_8	十者願我雖行正法。 心無所行。
T04vasbocpu:191	 yathā sattvā ācaritadharmāṇo 'pi nācaritadharmāṇo na ca nācaritadharmāṇaḥ /  vinetuṃ vānnotsṛjeyaṃ samyakpraṇidhānam /  itīme samutpāditacittānāṃ bodhisattvānāṃ samyagmahāpraṇidhānāni /	T54n2123_001:0006c16_18	亦無不行。
T04vasbocpu:194	 imāni daśamahāpraṇidhānāni sarvasattvadhātuṣṛdgṛhṇanti gaṃgānadībālakāsamāni praṇidhānāni /	T54n2123_001:0006c17_7	為化眾生不捨正願。 願我以此十大誓願。
