src_segmentnr	src_original	tgt_segmentnr	tgt_original
T16D4358-1:192b-11	དེ་ནི་ནང་སྟོང་པ་ཉིད་དང་། མི་དམིགས་པ་སྟོང་པ་ཉིད་ཀྱིས་རྣམ་པར་སེལ་ཏོ་ཞེས་བྱ་བ་ནི་ནང་གི་ཕུང་པོ་སྟོང་པ་དང་། བདག་མི་དམིགས་པར་ཡིད་ལ་བྱས་ན་དེ་གཉིས་རྣམ་པར་སེལ་བར་འགྱུར་པའི་ཕྱིར་རོ་༎	T16n0676_003:0701a16_3	此由內空及無所得空，能正除遣。
T16D4358-1:192b-12	གཟུང་བའི་དོན་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པའི་ཞེས་བྱ་བ་ནི་གནས་སྐབས་བཞི་པ་སྟེ་། སོ་ཡང་དག་པར་རིག་པ་རྣམ་པ་བཅུའི་སྐབས་སུ་བཟུང་བའི་དོན་གྱི་ཕྱི་རོལ་གྱི་སྐྱེ་མཆེད་དྲུག་པོ་དག་ཡིན་ནོ་ཞེས་བསྟན་པ་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པ་དང་སྦྱར་རོ་༎ དེ་ལ་ཡང་མཚན་མ་རྣམ་པར་བསལ་དཀའ་བ་ཅིག་ཡོད་དེ་། ལོངས་སྤྱོད་ལ་ལྟ་བའི་མཚན་མ་གང་ཡིན་པའོ་༎ དེ་ནི་ཡུལ་ཡིད་དུ་འོང་བ་བདག་གིར་བྱ་བ་ཡིན་པས་རྗེས་སུ་འཆགས་པའི་གནས་ཡིན་པའི་ཕྱིར་རྣམ་པར་བསལ་དཀའ་བ་ཞེས་བྱའོ་༎	T16n0676_003:0701a16_19	四者、了知所取義故，有顧戀財相；
T16D4358-1:193a-12	གནས་ཀྱི་དོན་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པའི་ཞེས་བྱ་བ་ནི་གནས་སྐབས་དྲུག་པ་སྟེ་། སྔར་དོན་སོ་སོ་ཡང་དག་པར་རིག་པ་རྣམ་པ་བཅུའི་སྐབས་སུ་གནས་ཀྱི་དོན་ནི་འཇིག་རྟེན་གྱི་ཁམས་༄༡༩༣བ་གང་ཡིན་པ་སྟེ་ཞེས་བསྟན་པའི་དོན་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པ་དང་སྦྱར་རོ་༎ དེ་ལ་ཡང་མཚན་མ་རྣམ་པར་བསལ་དཀའ་བ་ཅིག་ཡོད་དེ་། ཚད་མེད་པའི་མཚན་མ་གང་ཡིན་པའོ་༎ དེ་ནི་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ཚད་མེད་པ་ལ་རྟོག་པ་ཡིན་པས་ག-ཡེང་པའི་རྣམ་པ་ཡིན་པའི་ཕྱིར་རྣམ་པར་བསལ་དཀའ་བ་ཞེས་བྱའོ་༎	T16n0676_003:0701a20_8	六者、了知建立義故，有無量相；
T16D4358-1:193a-5	དེ་ནི་ཕྱི་སྟོང་པ་ཉིད་ཀྱིས་རྣམ་པར་སེལ་ཏོ་ཞེས་བྱ་བའི་ཕྱིའི་ཡུལ་རྣམས་སྟོང་པར་ཡིད་ལ་བྱས་ནས་དེ་རྣམ་པར་སེལ་བར་འགྱུར་བའི་ཕྱིར་རོ་༎	T16n0676_003:0701a17_9	此由外空，能正除遣。
T16D4358-1:193a-6	ཡོངས་སུ་ལོངས་སྤྱོད་པའི་དོན་དུ་སྐྱེས་པ་དང་། བུད་མེད་ཀྱི་བསྙེན་བཀུར་དང་ཡོ་བྱད་དང་ལྡན་པ་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པའི་ཞེས་བྱ་བ་ནི་གནས་སྐབས་ལྔ་པ་སྟེ་།	T16n0676_003:0701a18_18	五者、了知受用義、男女承事資具相應故，有內安樂相、外淨妙相；
T16D4358-1:193b-11	དེ་ནི་མེད་པ་དང་ཅི་ཡང་མེད་པ་དང་། ཕྲ་བར་འདུ་ཤེས་པ་ལ་ཞི་བ་རྣམ་པར་ཐར་པར་ལྟ་བ་ཡིན་པས་འཇིག་ཚོགས་ལ་ལྟ་བའི་རྣམ་པ་ཡིན་པའི་ཕྱིར་རྣམ་པར་བསལ་དཀའ་བ་ཞེས་བྱའོ་༎ དེ་ནི་འདུས་བྱས་སྟོང་པ་ཉིད་ཀྱིས་རྣམ་པར་སེལ་ཏོ་ཞེས་བྱ་བ་ནི་དེ་ཡང་འདུས་བྱས་ཀྱི་ཁོངས་སུ་གཏོགས་ལ་། འདུས་བྱས་ཐམས་ཅད་རྐྱེན་ལ་རག་ལས་པས་སྟོང་པ་ཉིད་དུ་ཡིད་ལ་བྱས་ན་དེ་རྣམ་པར་སེལ་བར་འགྱུར་བའི་ཕྱིར་རོ་༎	T16n0676_003:0701a22_7	此由有為空，能正除遣。
T16D4358-1:193b-4	དེ་ནི་ཆེན་པོ་སྟོང་པ་ཉིད་ཀྱིས་རྣམ་པར་སེལ་ཏོ་ཞེས་བྱ་བ་ནི་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ཚད་མེད་པ་ཐམས་ཅད་ནམ་མཁའ་དང་འདྲ་བར་སྟོང་པ་ཡིད་ལ་བྱས་ན་དེ་རྣམ་པར་སེལ་བར་འགྱུར་བའི་ཕྱིར་རོ་༎ གཟུགས་མེད་པ་ལ་བརྟེན་ཏེ་ཞེས་བྱ་བ་ནི་གནས་སྐབས་བདུན་པ་སྟེ་། སྔར་དོན་སོ་སོ་ཡང་དག་པར་རིག་པ་རྣམ་པ་བཅུའི་སྐབས་སུ་ཀུན་ནས་ཉོན་མོངས་པའི་དོན་ནི་རྣམ་པ་གསུམ་སྟེ་། ཁམས་གསུམ་པའི་དོན་ཉོན་མོངས་པ་དང་ལས་དང་སྐྱེ་བའི་ཀུན་ནས་ཉོན་མོངས་པའི་ཞེས་བསྟན་པའི་ནང་ནས་། གཟུགས་མེད་པའི་ཁམས་ཀྱི་ཉོན་མོངས་པ་དང་ལས་དང་སྐྱེ་བའི་ཀུན་ནས་ཉོན་མོངས་པའི་དོན་སོ་སོ་ཡང་དག་པར་རིག་པར་བྱེད་པ་དང་སྦྱར་རོ་༎	T16n0676_003:0701a20_18	此由大空，能正除遣。
T16D4358-1:193b-9	དེ་ལ་ཡང་མཚན་མ་རྣམ་པར་བསལ་དཀའ་བ་ཅིག་ཡོད་དེ་། ནང་གི་ཞི་བའི་རྣམ་པར་ཐར་བའི་མཚན་མ་གང་ཡིན་པའོ་༎	T16n0676_003:0701a21_15	七者、了知無色故，有內寂靜解脫相；
T16D4358-1:47a-13	དཔེར་ན་ཡུན་རིང་པོ་ནས་ཁ་བ་དང་ཚ་བའི་རོ་ལ་བརྟེན་བརྟེན་པས་། སྦྲང་རྩི་ལ་སོགས་པའི་རོ་ཡོད་བཞིན་དུ་མི་རྟོགས་པའི་རོ་ཆེན་པོ་ལ་མོས་པ་ལྟ་བུའོ་༎ དེ་ལྟར་རོ་ཆེན་པོ་ལ་བརྟེན་བརྟེན་པས་རོ་ཆུང་ངུ་མི་རྟོགས་པ་བཞིན་དུ་རྟོག་གེ་བ་ཀུན་དུ་ཚོལ་བའི་ཉེས་པ་དང་ལྡན་པས་ཀྱང་དོན་དམ་པ་འཕགས་པ་རྣམས་ཀྱིས་སོ་སོ་རང་རིག་པ་ལ་བརྟག་པ་ལ་སོགས་པར་མི་ནུས་སོ	T16n0676_001:0690a09_9	當知，譬如有人盡其壽量習辛苦味；
T16D4358-1:47a-17	། སྦྲང་རྩིའི་རོ་འམ་ཤ་ཀ་རའི་རོ་ཞེས་བྱ་བའི་རོ་ནི་སོ་སོ་རང་རིག་པ་ཡིན་པའི་ཕྱིར་རོ་༎ བརྟག་པའམ་། རྗེས་སུ་དཔག་པ་འམ་།	T16n0676_001:0690a10_16	於蜜、石蜜上妙美味，不能尋思、不能比度、不能信解。
T16D4358-1:47b-11	ཡུན་རིང་པོ་ནས་མཐོང་བ་དང་། ཐོས་པ་དང་། བྱེ་བྲག་ཕྱེད་བ་དང་རྣམ་པར་ཤེས་པའི་ཐ་སྙད་ལ་མོས་པ་ཞེས་བྱ་བ་ལ་སོགས་པས་ནི་ཐ་སྙད་ལ་མོས་པའི་དཔེ་སྟོན་ཏེ་། ཐ་སྙད་ལ་མོས་པ་ཞེས་བྱ་བ་ནི་ཡུན་རིང་པོ་ནས་མཐོང་བ་ལ་སོགས་པའི་ཐ་སྙད་ལ་མོས་པ་སྟེ་།	T16n0676_001:0690a17_6	或於長夜由見聞覺知表示勝解，樂著世間諸表示故；
T16D4358-1:47b-13	དེས་ཐ་སྙད་ཐམས་ཅད་ཡང་དག་པར་ཆད་པ་འཇིག་ཚོགས་འགོག་པའི་མྱ་ངན་ལས་འདས་པ་ལ་བརྟག་པ་ལ་སོགས་པར་མི་ནུས་པ་བཞིན་དུ་རྟོག་གེ་བ་འདོགས་པའི་ཉེས་པ་དང་ལྡན་པས་ཀྱང་དོན་དམ་པ་ཐ་སྙད་ཐམས་ཅད་ཡང་དག་པར་ཆད་པ་ལ་བརྟག་པ་ལ་སོགས་པར་མི་ནུས་སོ་ཞེས་བྱ་བར་སྦྱར་རོ་༎	T16n0676_001:0690a19_2	於永除斷一切表示薩迦耶滅究竟涅槃，不能尋思、不能比度、不能信解。
T16D4358-1:47b-4	ནང་གི་རབ་ཏུ་དབེན་པའི་བདེ་བ་ཞེས་བྱ་བ་ནི་བསམ་གཏན་གྱི་དངོས་གཞི་ཐོབ་པའི་བདེ་བའོ་༎ གཟུགས་དང་། སྒྲ་དང་། དྲི་དང་། རོ་དང་། རེག་བྱའི་མཚན་མ་ཐམས་ཅད་དང་བྲལ་བ་ཞེས་བྱ་བ་དེ་ནི་འདོད་པའི་ཡོན་ཏན་ལྔ་པོ་དག་གིས་བསྐྱེད་པ་མ་ཡིན་པའི་ཕྱིར་རོ་༎	T16n0676_001:0690a13_12	於內除滅一切色、聲、香、味、觸相妙遠離樂，不能尋思、不能比度、不能信解。
T16D4358-1:47b-6	ཡུན་རིང་པོ་ནས་ཀུན་དུ་སྨྲ་བ་ལ་མོས་པ་ཞེས་བྱ་བ་ལ་སོགས་པས་ནི་རྣམ་པར་རྟོག་པ་ལ་མོས་པའི་དཔེ་སྟོན་ཏེ་། རྣམ་པར་རྟོག་པ་ལ་མོས་པ་ཞེས་བྱ་བ་ནི་ངོ་བོ་ཉིད་དང་བྱེ་བྲག་ཏུ་རྣམ་པར་རྟོག་པས་ངག་ཀུན་ནས་བསླང་བའི་བརྗོད་པ་ལ་མངོན་པར་ཞེན་པ་སྟེ་།	T16n0676_001:0690a14_13	或於長夜由言說勝解，樂著世間綺言說故；
T16D4358-1:47b-8	དེས་ནང་གི་མི་སྨྲ་བ་འཕགས་པའི་བདེ་བ་ལ་བརྟག་པ་ལ་སོགས་པར་མི་ནུས་པ་བཞིན་དུ་། རྟོག་གེ་མངོན་པར་ཞེན་པའི་ཉེས་པ་དང་ལྡན་པས་ཀྱང་དོན་དམ་པ་བརྗོད་དུ་མེད་པ་ལ་བརྟག་པ་ལ་སོགས་པར་མི་ནུས་སོ་ཞེས་བྱ་བར་སྦྱར་རོ་༎ ནང་གི་མི་སྨྲ་བ་འཕགས་པའི་བདེ་བ་ཞེས་བྱ་བ་ནི་ཟག་པ་མེད་པའི་དབྱིངས་ལ་མཉམ་བར་གཞག་པའོ་༎	T16n0676_001:0690a16_1	於內寂靜聖默然樂，不能尋思、不能比度、不能信解。
