src_segmentnr	src_original	tgt_segmentnr	tgt_original
TZ41-DI-010:1001	རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོའི་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་ཇི་ལྟར་བསླབ་པར་བྱ་།	T08n0255_001:0850c01_5	「若善男子欲修行甚深般若波羅蜜多者，復當云何修學？
TZ41-DI-010:1002	དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་། ཚཧེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎	T08n0255_001:0850c01_11	」作是語已。 觀自在菩薩摩訶薩答具壽舍利子言：
TZ41-DI-010:1004	ཤ་རིའི་བུ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོའི་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་འདི་ལྟར་རྣམ་པར་བལྟ་བར་བྱ་སྟེ་། ཕུང་པོ་ལྔ་པོ་དེ་དག་ལ་ཡང་རང་བཞིན་གྱིས་སྟོང་པར་ཡང་དག་པར་རྗེས་སུ་བལྟའོ་༎	T08n0255_001:0850c04_5	「若善男子及善女人，欲修行甚深般若波羅蜜多者，彼應如是觀察，五蘊體性皆空。
TZ41-DI-010:1006	གཟུགས་སྟོང་པའོ་༎ སྟོང་པ་ཉིད་གཟུགས་སོ་༎	T08n0255_001:0850c04_15	色即是空，空即是色。
TZ41-DI-010:1008	གཟུགས་ལས་ཀྱང་སྟོང་པ་ཉིད་གཞན་མ་ཡིན་ནོ་༎ སྟོང་པ་ཉིད་ལས་ཀྱང་གཟུགས་གཞན་མ་ཡིན་ནོ་༎	T08n0255_001:0850c05_4	色不異空，空不異色。
TZ41-DI-010:1010	དེ་བཞིན་དུ་ཚཧོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་རྣམས་སྟོང་པའོ་༎	T08n0255_001:0850c05_18	如是受、想、行、識亦復皆空。
TZ41-DI-010:1011	ཤ་རིའི་བུ་དེ་ལྟ་བས་ན་།	T08n0255_001:0850c06_2	是故舍利子！
TZ41-DI-010:1012	ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དེ་། མཚཧན་ཉིད་མེད་པ་། མ་སྐྱེས་པ་། མ་འགགས་པ་། དྲི་མ་མེད་པ་། དྲི་མ་དང་བྲལ་བ་མེད་པ་། བྲི་བ་མེད་པ་། གང་བ་མེད་པའོ་༎	T08n0255_001:0850c07_4	一切法空性無相，無生無滅，無垢離垢，無減無增。
TZ41-DI-010:1020	ཤ་རིའི་བུ་དེ་ལྟ་བས་ན་།	T08n0255_001:0850c07_8	舍利子！
TZ41-DI-010:1021	སྟོང་པ་ཉིད་ལ་གཟུགས་མེད་། ཚཧོར་བ་མེད་། འདུ་ཤེས་མེད་། འདུ་བྱེད་མེད་། རྣམ་པར་ཤེས་པ་མེད་།	T08n0255_001:0850c08_12	是故爾時空性之中，無色、無受、無想、無行亦無有識。
TZ41-DI-010:1026	མིག་མེད་། རྣ་བ་མེད་། སྣ་མེད་། ལྕེ་མེད་། ལུས་མེད་། ཡིད་མེད་།	T08n0255_001:0850c09_8	無眼、無耳、無鼻、無舌、無身、無意。
TZ41-DI-010:1029	གཟུགས་མེད་། སྒྲ་མེད་། དྲི་མེད་། རོ་མེད་། རེག་བྱ་མེད་། ཆོས་མེད་དོ་༎	T08n0255_001:0850c10_2	無色、無聲、無香、無味、無觸、無法。
TZ41-DI-010:1033	མིག་གི་ཁམས་མེད་པ་ནས་། ཡིད་ཀྱི་ཁམས་མེད་། ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའི་ཁམས་ཀྱི་བར་དུ་ཡང་མེད་དོ་༎	T08n0255_001:0850c10_12	無眼界乃至無意識界。
TZ41-DI-010:1036	མ་རིག་པ་མེད་། མ་རིག་པ་ཟད་པ་མེད་པ་ནས་། རྒ་ཤི་མེད་། རྒ་ཤི་ཟད་པའི་བར་དུ་ཡང་མེད་དོ་༎ དེ་བཞིན་དུ་སྡུག་བསྔལ་བ་དང་། ཀུན་འབྱུང་བ་དང་། འགོག་པ་དང་། ལམ་མེད་། ཡེ་ཤེས་མེད་། ཐོབ་པ་མེད་། མ་ཐོབ་པ་ཡང་མེད་དོ་༎	T08n0255_001:0850c11_13	無無明亦無無明盡，乃至無老死亦無老死盡。 無苦、集、滅、道，無智無得亦無不得。
TZ41-DI-010:1044	ཤ་རིའི་བུ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཐོབ་པ་མེད་པའི་ཕྱིར་།	T08n0255_001:0850c12_14	是故舍利子！
TZ41-DI-010:1045	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་བརྟེན་ཅིང་གནས་ཏེ་། སེམས་ལ་སྒྲིབ་པ་མེད་ཅིང་སྐྲག་པ་མེད་དེ་། ཕྱིན་ཅི་ལོག་ལས་ཤིན་ཏུ་འདས་ནས་། མྱ་ངན་ལས་འདས་པའི་མཐར་ཕྱིན་ཏོ་༎	T08n0255_001:0850c14_16	以無所得故，諸菩薩眾依止般若波羅蜜多，心無障礙，無有恐怖，超過顛倒，究竟涅槃。
TZ41-DI-010:1049	དུས་གསུམ་དུ་རྣམ་པར་བཞུགས་པའི་སངས་རྒྱས་ཐམས་ཅད་ཀྱང་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་བརྟེན་ནས་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པ་སངས་རྒྱས་སོ་༎	T08n0255_001:0850c16_4	三世一切諸佛亦皆依般若波羅蜜多故，證得無上正等菩提。 舍利子！
TZ41-DI-010:1052	དེ་ལྟ་བས་ན་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྔགས་། རིག་པ་ཆེན་པོའི་སྔགས་། བླ་ན་མེད་པའི་སྔགས་། མི་མཉམ་པ་དང་མཉམ་པར་བྱེད་པའི་སྔགས་།	T08n0255_001:0850c18_1	是故當知般若波羅蜜多大密咒者，是大明咒，是無上咒，是無等等咒。
TZ41-DI-010:1056	སྡུག་བསྔལ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པའི་སྔགས་། མི་བརྫུན་པས་ན་བདེན་པར་ཤེས་པར་བྱ་སྟེ་།	T08n0255_001:0850c18_15	能除一切諸苦之咒，真實無倒。 故知般若波羅蜜多是祕密咒。
TZ41-DI-010:1058	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྔགས་སྨྲས་པ་།	T08n0255_001:0850c20_2	」即說般若波羅蜜多咒曰：
TZ41-DI-010:1059	ཏདྱ་ཐ། ཨོམ་ག་ཏེ་ག་ཏེ་པ་ར་ག་ཏེ་པ་ར་སམ་ག་ཏེ་། བོ་དྷི་ཡེ་སྭ་ཧ།	T08n0255_001:0850c22_4	「峩帝　峩帝　波囉峩帝　波囉僧峩帝　菩提　莎訶「舍利子！
TZ41-DI-010:1061	ཤ་རིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དེ་ལྟར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་བསླབ་པར་བྱའོ་༎	T08n0255_001:0850c23_4	菩薩摩訶薩應如是修學甚深般若波羅蜜多。
TZ41-DI-010:1062	དེ་ནས་བཅོམ་ལྡན་འདས་ཏིང་ངེ་འཛིན་དེ་ལས་བཞེངས་ཏེ་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་།	T08n0255_001:0850c24_7	」爾時，世尊從彼定起，告聖者觀自在菩薩摩訶薩曰：
