src_segmentnr	src_original	tgt_segmentnr	tgt_original
GS24jvkasipu:12927	 stambe ramate iti stamberamaḥ hartī /	T12D4286:276a-20	སྟམཔེར་མ༔། སྡོང་པོ་ལ་དགའ་བྱེད་དོ་༎
GS24jvkasipu:12928	 karṇe japati iti karṇejapaḥ sūcakaḥ /	T12D4286:276a-21	ཀརྣེ་ཛ་ས༔། རྣ་བར་ཟློས་པར་བྱེད་དོ་ལ་ཨཨཙའོ་༎
GS24jvkasipu:12938	 dhātu-grahaṇaṃ kiṃ yāvatā dhātoḥ iti vartata eva ?	T12D4286:276a-23	བྱིངས་གང་རྣམས་ལས་སྔ་མར་ཤམ་གྱི་སྒྲ་ཡོད་པ་དེ་རྣམས་ནི་ཤམ་སྔ་མ་ཅན་རྣམས་སོ་༎
GS24jvkasipu:12939	 śami-sañjñāyām iti siddhe dhātu-grahaṇaṃ kṛño hetvādiṣu ṭapratiṣedha-artham /	T12D4286:276a-24	ཤམ་གྱི་སྒྲ་སྔ་མ་ཅན་གྱི་བྱིངས་གང་ཡིན་པ་དེ་རྣམས་ལས་མིང་གི་ཡུལ་ལ་ཨཨཙའི་རྐྱེན་འགྱུར་རོ་༎
GS24jvkasipu:12940	 śaṅkarā nāma parivrājikā /  śaṅkarā nāma śakunikā /  tacchīlā ca //	T12D4286:276a-25	བདེ་བར་བྱེད་དོ་ཞེས་ཤངཀ་ར༔། ཤམབྷ་བ༔། བདེ་སྤྱོད་ཅེས་། ཤམ་བ་ད༔། བདེ་མཆོག་ཅེས་། ཤམ་བ་ར༔། འདིས་ཨཨཙའོ་༎
GS24jvkasipu:12943	 adhikaraṇe śeteḥ // PS_3,2.15 //  _____START JKv_3,2.15:  supi iti sambadhyate /  śeter dhātor adhikaraṇe subanta upapade ac pratyayo bhavati /	T12D4286:276a-30	ཤམ་ལ་མིང་ལའོ་ཞེས་བྱ་བ་ལ་སྔ་མ་སྨོས་པ་ནི་རྣམ་པ་སྣ་ཚོགས་པའི་དོན་ནོ་༎ གཞི་ལ་ཉེ་བའི་ཚིག་ལ་ཤིང་ལས་ཨཨཙའི་རྐྱེན་འགྱུར་རོ་༎
GS24jvkasipu:12947	 khe śete khaśayaḥ /	T12D4286:276a-33	མཁའ་ལ་ཉལ་ལོ་༎
GS24jvkasipu:12957	 avamūrdhā śete avamūrdhaśayaḥ /	T12D4286:276a-35	བི་ལེ་ཤ་ཡ༔།
GS24jvkasipu:12958	 girau ḍaśchandasi /	T12D4286:276a-36	བྱེད་པ་ལ་པའརཤ་ལ་སོགས་པ་རྣམས་ཉེ་བའི་ཚིག་ལ་ཨཨཙ་འདོད་དེ་།
GS24jvkasipu:12959	 girau śete giriśaḥ //	T12D4286:276a-39	ཨཽཏཏའ་ན་ཉལ་བར་བྱེད་དོ་༎ ཨཽཏཏའ་ན་ཤ་ཡ༔།
GS24jvkasipu:12963	 carer dhātor adhikaraṇe subanta upapade ṭapratyayo bhavati /  kuruṣu carati kurucaraḥ /  madracaraḥ /	T12D4286:276a-41	ཨཨ་བ་སའུ་ཙ་ཤ་ཡ༔། ཙ་རི་ལས་ཏའོ་༎ གཞི་ལ་ཉེ་བའི་ཚིག་ལ་ཙ་རི་ལས་ཏའི་རྐྱེན་འགྱུར་རོ་༎
GS24jvkasipu:12966	 kurucarī /	T12D4286:276a-44	ཀུ་རུ་རྣམས་སུ་རྒྱུ་བར་བྱེད་དོ་ཀུ་རུ་ཙ་ར༔།
GS24jvkasipu:13353	 amanuṣyakartṛke ca // PS_3,2.53 //  _____START JKv_3,2.53:  amanuṣyakartṛke vartamānād hanteḥ dhātoḥ karmaṇi upapade ṭak pratyayo bhavati /	T12D4286:279b-28	ལས་ཉེ་བའི་ཚིག་ལ་མི་མ་ཡིན་པའི་བྱེད་པ་པོའི་བྱིངས་ཀྱི་དོན་ལ་འཇུག་བཞིན་པ་ན་ཧནཏི་ལས་དཀ་འགྱུར་རོ་༎
GS24jvkasipu:13356	 jāyāghnastilakālakaḥ /  patighnī pāṇirekhā /	T12D4286:279b-29	ཛ་ཡའ་གྷནསྟི་ལ་ཀ༔། པ་ཏི་གྷནི་རེ་ཁའ་།
GS24jvkasipu:13360	 amanuṣyakartṛke iti kim ?	T12D4286:279b-32	མི་མ་ཡིན་པའི་བྱེད་པའོ་ཞེས་པ་ཅི་ཞེ་ན་།
GS24jvkasipu:13367	 _____START JKv_3,2.54:	T12D4286:279b-37	བརྗོད་པར་བྱ་སྟེ་།
GS24jvkasipu:13368	 śaktau gamyamānāyāṃ hasti kapāṭayoḥ karmaṇor upapadayoḥ hanteḥ ṭak pratyayo bhavati /	T12D4286:279b-38	ཀྲི་ཏྱ་དང་ཡུཏ་དག་གཞན་ལ་ཡང་ཞེས་པའི་ཚིག་ལ་ཧ་ཏི་མ་གཏོགས་གྲུབ་པའི་བྱེད་པ་པོ་མིང་ལས་ན་ག་ར་སྔ་མ་ལས་ཧནཏི་ལས་ཏཀ་བཤད་པར་བྱའོ་༎ དེས་ན་། འདིར་མི་འགྱུར་ཏེ་། ན་ག་ར་གྷའ་ཏི་ཧ་སྟི་། ཧསྟི་ཀ་པའ་ད་དག་ལ་ནུས་པ་ལའོ་༎
GS24jvkasipu:13369	 manuṣyakartṛka-artha ārambhaḥ /  hastinaṃ hantuṃ śaktaḥ hastighnaḥ manuṣyaḥ /	T12D4286:279b-42	ཧ་སྟི་དང་ཀ་པའ་ད་དག་གི་ལས་ཉེ་བའི་ཚིག་ལ་འཇུག་བཞིན་པའི་ཧནཏི་ལས་དཀ་འགྱུར་ཏེ་། མི་བྱེད་པ་པོའི་དོན་བརྗོད་པའོ་༎ ཧསྟི་གྷནོ་མ་ནུ་ཤྱ༔། ཀ་པའ་ད་གྷན༔།
GS24jvkasipu:13371	 kaṃ pāṭayati praviśata iti kapāṭaghnaścauraḥ /  śaktau iti kim ?	T12D4286:279b-46	ནུས་པ་ལ་ཞེས་པ་ཅི་ཞེ་ན་།
GS24jvkasipu:13373	 viṣeṇa hastinaṃ hanti hastighātaḥ //  pāṇigha-tāḍaghau śilpini // PS_3,2.55 //	T12D4286:279b-47	ཁྱད་པར་གྱི་གླང་པོ་འཇོམས་པ་ནི་། ཧསྟི་གྷའ་ཏ༔། པའ་ནི་གྷ་ཏརའ་ད་གྷ་དག་བཟོ་བོ་ལའོ་༎
GS24jvkasipu:8067	 gatyartha-karmaṇi dvitīyā-caturthyau ceṣṭāyām anadhvani // PS_2,3.12 //  _____START JKv_2,3.12:  gatyarthānāṃ dhātūnāṃ ceṣtākriyāṇāṃ parispandakriyāṇāṃ karmaṇi kārake 'dhvavarjite dvitīyā-caturthyau bhavataḥ /	T12D4286:122a-14	འགྲོ་བའི་དོན་གྱི་བྱིངས་ཀྱི་ལས་དེ་ལ་ལས་ལ་ལམ་མ་ཡིན་པ་སྟེ་། ལམ་མ་གཏོགས་པ་ལ་གཉིས་པ་དང་བཞི་བ་དག་འགྱུར་ཏེ་། ག-ཡོ་བ་ནི་འགྲོ་བཞིན་པ་སྟེ་ལུས་ག-ཡོ་ཞིང་ཡོངས་སུ་རྒྱུག་བའོ་༎
GS24jvkasipu:8070	 grāmaṃ gacchati,  grāmāya gacchati /  grāmaṃ vrajati,  grāmāya vrajati /	T12D4286:122a-19	ཀུ་རུ་ཀཤེ་ཏྲམ་བྲ་ཛ་ཏི་༎ ཀུ་རུ་ཀཤེ་ཏྲ་ཡ་བྲ་ཛ་ཏི་།
GS24jvkasipu:8074	 gatyartha-grahaṇaṃ kim ?	T12D4286:122a-21	འགྲོ་བའི་དོན་སྨོས་པ་ཅི་ཞེ་ན་།
GS24jvkasipu:8075	 odanam pacati /  karmaṇi iti kim ?	T12D4286:122a-23	ལས་ལ་ཞེས་པ་ཅི་ཞེ་ན་།
GS24jvkasipu:8077	 aśvena vrajati /  deṣṭāyam iti kim ?	T12D4286:122a-25	ག-ཡོ་བ་ལ་ཞེས་པ་ཅི་ཞེ་ན་།
