src_segmentnr	src_original	tgt_segmentnr	tgt_original
GSP29nysvbh_u:1042	 NyS_1,2.7: yasmāt prakaraṇacintā saḥ nirṇayārthamapadiṣṭaḥ prakaraṇasamaḥ //  vimarśādhiṣṭhānau pakṣapratipakṣāvubhāvanavasitau prakaraṇam/	T11n1226u_001:3991	 7) vimarśādhiṣṭhānau pakṣapratipakṣāvanavasitau prakaraṇantasya cintāmavimarśāt prabhṛti prāṅnirṇṇayāt parīkṣaṇaṃ sā yatra kṛtā sa nirṇṇayārthaṃ prayuktobhayapakṣasāmyāt prakaraṇamanativarttamānaḥ prakaraṇasamo na nirṇṇayāya kalpyate |
GSP29nysvbh_u:1044	 tasya cintā vimarśātprabhṛti prāṅnirṇayādyatsamīkṣaṇam,	T11n1226u_001:3992	 kasmātpunaḥ prakaraṇacintā tattvāpalabdheḥ |
GSP29nysvbh_u:1045	 sā jijñāsā yatkṛtā sa nirṇayārthaṃ prayukta ubhayapakṣasāmyāt prakaraṇamanativartamānaḥ prakaraṇasamo nirṇayāya na prakalpate/	T11n1226u_001:3993	 yasmādupalabdhe-tatverthe nivarttate cintā tasmātsāmānyenādhigatasya yā viśeṣato'nupalabdhiḥ sā prakaraṇacintāṃ prayojayatīti |
GSP29nysvbh_u:1046	 prajñāpanaṃ tvanityaḥ śabdo nityadharmānupalabdherityanupalabhyamānanityadharmakamanityaṃ dṛṣṭaṃ sthālyādi//	T11n1226u_001:3994	 udāharaṇamanityaḥ śabdo nityadharmānupalabdheḥ |  anupalabhyamānanityadharmakamanityandṛṣṭaṃ sthālyādi |
GSP29nysvbh_u:1047	 yantra samāno dharmaḥ saṃśayakāraṇaṃ hetutvenopādīyate,  sa saṃśayasamaḥ savyabhicāra eva/	T11n1226u_001:3996	 yatra samāno dharmaḥ saṃśayakāraṇahetutvenopādīyate saṃśayasamaḥ savyabhicāra eva |
GSP29nysvbh_u:1049	 yā tu vimarśasya viśeṣāpekṣitā ubhayapakṣaviśeṣānupalabdhiśca sā prakaraṇaṃ pravartayati/	T11n1226u_001:3997	 yā tu vimarśasya viśeṣāpekṣatobhayapakṣaviśeṣānupalabdhau sā prakaraṇampravartayati |
GSP29nysvbh_u:1050	 yathā śabde nityadharmo nopalabhyate evamanityadharmaḥ api/	T11n1226u_001:3998	 yathā ca śabde nityadharmo nopalabhyate tathānityadharmopi |
GSP29nysvbh_u:1051	 seyamubhayapakṣaviśeṣānupalabdhiḥ prakaraṇacintāṃ pravartayati/  katham? viparyaye hi prakaraṇanivṛtteḥ/	T11n1226u_001:3999	 seyamubhayapakṣaviśeṣānupalabdhiḥ prakaraṇacintāmprayojayati kathamviparyaye prakaraṇanivṛtteḥ |  yadi nityadharmaḥ śabde gṛhyetana syātprakaraṇaṃ |
GSP29nysvbh_u:1063	 sādhyaṃ tāvadetat---kiṃ puruṣavacchāyāpi gacchati āho svidāvarakadravye saṃsarpati āvaraṇasantānādasannidhisantāno 'yaṃ tejaso gṛhyata iti/  sarpatā khalu dravyeṇa yo yastejobhāga āvriyate tasya tasyāsannidhirevāvicchinno gṛhyata iti/  āvaraṇaṃ tu prāptipratiṣedhaḥ // 8//  NyS_1,2.9: kālātyayāpadiṣṭaḥ kālātītaḥ //  kālātyayena yukto yasyārthaikadeśo 'padiśyamānasya sa kālātyayāpadiṣṭaḥ kālātīta ityucyate/	T11n1226u_001:3950	 kālātyayena yukto yasyārthaikadeśo'padiśyamānasya sa kālātyayāpadiṣṭaḥ kālātīta ityucyate |
GSP29nysvbh_u:1068	 nidarśanam nityaḥ śabdaḥ saṃyogavyaṅgyatvāda rūpavat/	T11n1226u_001:3951	 nidarśanaṃ ( |  ) nityaḥ śabdaḥ saṃyogavyaṃgyatvādrūpavat |
GSP29nysvbh_u:1069	 prāgūrddhaṃ ca vyakteravasthitaṃ rūpaṃ pradīpaghaṭasaṃyogena vyajyate,	T11n1226u_001:3953	 prāgūrddhvaṃ ca vyakteravasthitaṃ rūpaṃ pradīpaghaṭasaṃyogena vyajyate |
GSP29nysvbh_u:1070	 tathā ca śabdo 'pyavasthito bherīdaṇḍasaṃyogena vyajyate,  dāruparaśusaṃyogena vā/	T11n1226u_001:3954	 tathā śabdo vyavasthito bherīkarṇṇasaṃyogena dāruparṇayogena vā vyajyate |
GSP29nysvbh_u:1072	 tasmātsaṃyogavyaṅgyatvānnityaḥ śabda ityayamahetuḥ kālātyayāpadeśāt/  vyañjakasya saṃyogasya kālaṃ na vyaṅgyasya rūpasya vyaktiratyeti/	T11n1226u_001:3955	 tasmātsaṃyogavyaṃgyatvānnityaḥ śabda iti |  ayamahetuḥ kālātyayāpadeśāt vyaṃjakasya saṃyogasya kālaṃ na vyaṃgyasya rūpasya vyaktiratyeti sati pradīpasaṃyoge rūpasya grahaṇaṃ bhavati |
GSP29nysvbh_u:1074	 sati pradīpasaṃyoge rūpasya grahaṇaṃ bhavati,	T11n1226u_001:3957	 na nivṛttasaṃyoge rūpaṅgṛhyate |
GSP29nysvbh_u:1075	 na nivṛtte saṃyoge rūpaṃ gṛhyate/  nivṛtte tu dāruparaśusaṃyoge dūrasthena śabdaḥ śrūyate vibhāgakāle/	T11n1226u_001:3958	 nivṛtte tu dāruparṇasaṃyoge dūrasthena śabdaḥ śrūyate vibhāgakāle seyaṃ śabdasya vyaktiḥ saṃyogakālamatyetīti saṃyoganimittā bhavati |
