src_segmentnr	src_original	tgt_segmentnr	tgt_original
K01vinv03_u:146	 yatra ṣaḍ vottare vā bhikṣavaḥ prativasanti,	K01D0001_H0001:317b-15	གང་ན་དགེ་སློང་དྲུག་གམ་ལྷག་པ་དག་གནས་པར་ནི་དེ་དག་གིས་གསོལ་བ་བྱས་ལ་དགག་དབྱེ་བྱའོ་༎
K01vinv03_u:174	 dvitīyāyāṃ vāci bhāṣitāyāṃ paryavasitāyāṃ pravāraṇāṃ sthāpayaty adhārmikaṃ pravāraṇāsthāpanam.	K01D0001_H0001:318a-10	བཟླས་པ་གཉིས་བརྗོད་པ་མ་རྫོགས་པར་དགག་དབྱེ་འཇོག་པ་ཡང་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ཡིན་ནོ་༎
K01vinv03_u:176	 itīmāni trīṇi dhārmikāṇi pravāraṇāsthāpanāny ekam adhārmikam.	K01D0001_H0001:318a-12	དེ་ལྟར་དེ་དག་ནི་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་གསུམ་དང་། ཆོས་དང་མི་མཐུན་པ་གཅིག་ཡིན་ནོ་༎
K01vinv03_u:177	 Pravā-v 6.4.1.  pañca vā dhārmikāṇi pravāraṇāsthāpanāny ekam adhārmikaṃ katamat*. (GBM 6.1053.5; MSV,Wi 44).  Pravā-v 6.4.2.1.	K01D0001_H0001:318b-0	དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ལྔ་དང་། ཆོས་དང་མི་མཐུན་༄༣༡༨བ་པ་གཅིག་གང་ཞེ་ན་། དགག་དབྱེ་ལན་གསུམ་བཟླས་པ་ལ་།
K01vinv03_u:180	 trivācikāyāṃ pravāraṇāyāṃ prathamāyāṃ vāci bhāṣyamāṇāyām aparyavasitāyāṃ pravāraṇāṃ sthāpayati dhārmikaṃ pravāraṇāsthāpanam. (GBM 6.1053.5; MSV,Wi 44).  Pravā-v 6.4.2.2.	K01D0001_H0001:318b-2	བཟླས་པ་དང་པོ་བརྗོད་པ་མ་རྫོགས་པར་དགག་དབྱེ་འཇོག་པ་ནི་།
K01vinv03_u:182	 prathamāyāṃ vāci bhāṣitāyāṃ paryavasitāyāṃ pravāraṇāṃ sthāpayati dhārmikaṃ pravāraṇāsthāpanam.	K01D0001_H0001:318b-4	བརྗོད་པ་རྫོགས་ནས་དགག་དབྱེ་འཇོག་པ་ཡང་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ཡིན་ནོ་༎
K01vinv03_u:183	 (Pravā-v 156)  Pravā-v 6.4.2.3.  dvitīyāyāṃ vāci bhāṣyamāṇāyām aparyavasitāyāṃ pravāraṇāṃ sthāpayati dhārmikaṃ pravāraṇāsthāpanaṃ / (GBM 6.1053.6; MSV,Wi 44).  Pravā-v 6.4.2.4.  dvitīyāyāṃ vāci bhāṣitāyāṃ paryavasitāyāṃ pravāraṇāṃ sthāpayati dhārmikaṃ pravāraṇāsthāpanam. (GBM 6.1053.6; MSV,Wi 44).  Pravā-v 6.4.2.5.	K01D0001_H0001:318b-5	བཟླས་པ་གཉིས་པ་བརྗོད་པ་མ་རྫོགས་པར་དགག་དབྱེ་འཇོག་པ་ཡང་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ཡིན་ནོ་༎ བརྗོད་པ་རྫོགས་ནས་དགག་དབྱེ་འཇོག་པ་ཡང་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ཡིན་ནོ་༎
K01vinv03_u:189	 tṛtīyāyāṃ vāci bhāṣyamāṇāyām aparyavasitāyāṃ pravāraṇāṃ sthāpayati dhārmikaṃ pravāraṇāsthāpanam.  Pravā-v 6.4.3.  tṛtīyāyāṃ vāci bhāṣitāyāṃ paryavasitāyāṃ pravāraṇāṃ sthāpayaty adhārmikaṃ pravāraṇāsthāpanaṃ. (GBM 6.1053.7; MSV,Wi 44).	K01D0001_H0001:318b-7	བཟླས་པ་གསུམ་པ་བརྗོད་པ་མ་རྫོགས་པར་དགག་དབྱེ་འཇོག་པ་ཡང་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མཐུན་པ་ཡིན་ནོ༏་༏བརྗོད་པ་རྫོགས་ནས་དགག་དབྱེ་འཇོག་པ་ནི་དགག་དབྱེ་འཇོག་པ་ཆོས་དང་མི་མཐུན་པ་སྟེ་།
K01vinv03_u:192	 Pravā-v 6.4.4.  itīmāni pañca dhārmikāṇi pravāraṇāsthāpanāny ekam adhārmikam. (GBM 6.1053.7; MSV,Wi 44).  Pravā-v 7.1.	K01D0001_H0001:318b-8	དེ་ལྟར་དེ་དག་ནི་དགག་དབྱེ་གཞག་པ་ཆོས་དང་མཐུན་པ་ལྔ་དང་། ཆོས་དང་མི་མཐུན་པ་གཅིག་ཡིན་ནོ་༎
K01vinv03_u:219	 saṃbahulāni bhavanti śayanāsanāny abhyavakāśe upanikṣiptāni. devaḥ pravarṣati ... (SHT VI 1578r1).  Pravā-v 7.2.1.2.2.	K01D0001_H0001:319a-8	བླ་གབ་མེད་པར་གནས་མལ་རབ་ཏུ་མང་པོ་བཀྲམ་ལ་ཆར་པ་འབབ་པའམ་།
K01vinv03_u:195	 asty ekavācikā pravāraṇā,  dvivācikā pravāraṇā,	K01D0001_H0001:318b-9	དགག་དབྱེ་ལན་གཅིག་བཟླས་པ་ཡོད་། དགག་དབྱེ་ལན་གཉིས་བཟླས་པ་ཡོད་།
K01vinv03_u:218	 aparasminn artha ekavācikā pravāraṇā. yathāpi tat tad eva pravāraṇāyāṃ pañcadaśyāṃ	K01D0001_H0001:319a-7	དོན་གཞན་ལ་དགག་དབྱེ་ལན་གཅིག་བཟླས་པས་ནི་འདི་ལྟར་ཡང་དགག་དབྱེ་བཅོ་ལྔ་པ་དེ་ཉིད་ལ་།
