src_segmentnr	src_original	tgt_segmentnr	tgt_original
K01vinv171u:6179	 sa tatraiva pravrajati;  rājā kare kapolaṃ datvā cintāparo vyavasthitaḥ:  yaṃ yam eva dūtaṃ preṣayāmi sa tatraiva pravrajati svākhyātatvād dharmavinayasya;  udāyinā dṛṣṭa uktaś ca:  deva kasyārthe tvaṃ kare kapolaṃ datvā cintāparas tiṣṭhasīti;	T23n1442_017:0717b03_9	「大王何故以手支頰懷憂而住？
K01vinv171u:6184	 sa kathayati:	T23n1442_017:0717b03_13	」王曰：
K01vinv171u:6185	 udāyin katham ahaṃ na cintāparo bhavāmi?	T23n1442_017:0717b04_2	「我今豈得不懷憂耶？
K01vinv171u:6186	 yadā sarvārthasiddhaḥ kumāro duṣkarāṇi carati tadāhaṃ vṛttāntavāhakān puruṣān preṣayāmi;	T23n1442_017:0717b05_5	往日一切義成太子修苦行時，我常遣使問其安不？
K01vinv171u:6187	 te samāgatyārocayanti;	T23n1442_017:0717b05_14	使者尋還報我住處。 比令使問，竟無一還。 今有信云：
K01vinv171u:6188	 anena cānena ( ca)  vihāreṇa sarvārthasiddhaḥ kumāro viharatīti;  idānīm ahaṃ vṛttāntavāhakān puruṣān preṣayāmi na kaścid vṛttāntaṃ gṛhītvā āgacchati;	T23n1442_017:0717b07_16	『一切義成太子證無上正覺，亦令有情同飡甘露，來逝多林。 』寧不憂也？
K01vinv171u:6191	 udāyī kathayati:	T23n1442_017:0717b08_11	」時鄔陀夷即白王曰：
K01vinv171u:6192	 deva ahaṃ gacchāmi;  vṛttāntaṃ gṛhītvā āgamiṣyāmīti;	T23n1442_017:0717b09_4	「若如是者，臣為使去持信還歸。
K01vinv171u:6194	 rājā śuddhodanaḥ kathayati:	T23n1442_017:0717b09_8	」王曰：
K01vinv171u:6195	 udāyin yo gacchati ( sa)  śāsanasaṃpattiṃ dṛṣṭvā tatraiva tiṣṭhati;  sthānam etad vidyate yat tvam api tatraiva gatvā sthāsyasīti;	T23n1442_017:0717b10_1	「卿今去矣，還於彼住亦不歸來？
K01vinv171u:6198	 udāyī kathayati,	T23n1442_017:0717b10_7	」鄔陀夷曰：
K01vinv171u:6199	 deva āgamiṣyāmīti;	T23n1442_017:0717b10_18	「奉大王命，臣必重來。
K01vinv171u:6200	 tato rajñā śuddhodanena svayam eva lekho likhitaḥ:	T23n1442_017:0717b11_4	」時淨飯王自裁書曰：
K01vinv171u:6201	 garbhāt prabhṛty upādāya bhavān saṃvardhito mayā /	T23n1442_017:0717b12_0	「始從受胎後，　　我養於世尊，
K01vinv171u:6202	 kleśāgnisaṃprataptena jinavṛkṣaḥ praropitaḥ //	T23n1442_017:0717b13_13	煩惱火恒燒，　　常希最勝樹。
K01vinv171u:6203	 tasya te 'dya vivṛddhasya śiṣyaśākhāpraśākhinaḥ /	T23n1442_017:0717b14_0	今既長成已，　　徒眾數無邊，
K01vinv171u:6204	 anye sukhena modante vayaṃ duḥkhasya bhāginaḥ //	T23n1442_017:0717b15_13	餘人受安樂，　　唯吾獨辛苦。
K01vinv171u:6211	 tat te 'vāptaṃ padaṃ (A 417a)  śāntaṃ kuruṣvāgamane matim /  anukampām upādāya mama jñātigaṇasya ca //  udāyī lekhaṃ gṛhītvā saptame divase śrāvastīm anuprāptaḥ;  mārgaśramaṃ prativinodya bhagavatsakāśaṃ upasaṅkrāntaḥ;	T23n1442_017:0717b17_12	時鄔陀夷持王勅書往室羅伐，至世尊所奉上勅書。
K01vinv171u:6216	 upasaṅkramya lekham upanāmayati:  bhagavan rājñā śuddhodanena lekho 'nupreṣita iti;  bhagavatā svayam eva gṛhītvā vācitaḥ;  vācayitvā lekha ekānte sthāpitaḥ;  udāyī kathayati:	T23n1442_017:0717b18_11	世尊受書便自披讀，時鄔陀夷白世尊曰：
K01vinv171u:6221	 kiṃ bhagavān gamiṣyati kapilavastv iti;	T23n1442_017:0717b18_15	「世尊！ 能向劫比羅城不？
K01vinv171u:6222	 bhagavān kathayati;	T23n1442_017:0717b20_5	」佛告鄔陀夷：
K01vinv171u:6223	 gamiṣyāmy udāyinn iti;	T23n1442_017:0717b20_11	「我共汝去。
K01vinv171u:6224	 udāyī bhagavataḥ pūrvam atīva kṛtapraṇayaḥ;  sa tenaiva pūrvakeṇa praṇayena kathayati:	T23n1442_017:0717b21_18	」時鄔陀夷憶昔太子踰城出家，父王頻召竟不還國，重白佛言：
K01vinv171u:6226	 yadi bhavān na gamiṣyati,  ahaṃ balān neṣyāmīti;	T23n1442_017:0717b22_16	「必若世尊不肯歸者，我今有力自強將去。
K01vinv171u:6501	 satvā upapannā anye 'pīha bhavantas satvā upapannā iti;	T23n1442_018:0719a07_16	『仁等有情亦居此處。
K01vinv171u:6502	 tadāpi mayā bodhisatvasya bhagavataḥ pādābhivandanaṃ kṛtam;	T23n1442_018:0719a08_8	』爾時我見希有事已便禮佛足。
K01vinv171u:6503	 yadāpi sarvārthasiddhaṃ kumāro mama karmāntān anusaṃyān jambūchāyāyāṃ niṣadya viviktaṃ  kāmair viviktaṃ pāpakair akuśalair dharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ prītisukham	T23n1442_018:0719a10_16	又復菩薩曾往田中觀諸產業，於贍部樹影結跏而坐，遠離欲界惡不善法，有尋有伺得喜樂定，入初靜慮。
K01vinv171u:6506	 anyeṣāṃ ca vṛkṣāṇāṃ chāyā prācīnanimnā (  prācīnapravaṇā)  prācīnaprāgbhārā,  jambūcchāyā bodhisatvasya kāyaṃ na vijahāti,	T23n1442_018:0719a12_5	日已過午，其餘諸樹影悉東垂，唯贍部樹影而獨不移蔭菩薩身。
K01vinv171u:6510	 tadāpi mayā tadāścaryādbhutadharmāvarjitamatinā bhūyo bhagavataḥ pādau śirasā vanditau;	T23n1442_018:0719a12_18	爾時我見希有事已復禮佛足。
K01vinv171u:6511	 idānīṃ trir api bhagavataḥ pādau vande yataḥ evaṃ vadāmi  idaṃ tṛtīyaṃ tava bhūribuddhe  pādau namasyāmi samantacakṣoḥ /  utpadyamānasya mahī prakampitā  jambvāś ca chāyā na jahāti kāyam // iti;	T23n1442_018:0719a13_8	此是第三禮世尊足。
K01vinv171u:6516	 atha bhagavān tān ṛddhyabhisaṃskārān pratiprasrabhya anekaśatasahasrāṃ parṣadam abhyavagāhya purastād bhikṣusaṇghasya prajñapta evāsane niṣaṇṇaḥ	T23n1442_018:0719a14_8	」爾時世尊，於苾芻眾中及諸大眾就座而坐。
K01vinv171u:6518	 atha rājā śuddhodanaḥ bāṣpoparuddhyamānahṛdayo 'śruparyākulekṣaṇo bhagavantam gāthābhir gītena praśnaṃ pṛcchati: (SBV I 191)	T23n1442_018:0719a15_12	時淨飯王復禮佛足一面而坐，此是第四禮世尊足。
K01vinv171u:6531	 hastyaśvarathayānena gatvā vīra svake gṛhe //	T23n1442_018:0719a24_14	「佛昔在王宮，　　出乘象馬輿；
K01vinv171u:6532	 sakaṇṭakāṃ vasumatīṃ padbhyām ākramase katham //	T23n1442_018:0719a25_13	云何以雙足，　　遊於棘刺中？
K01vinv171u:6533	 bhagavān uvacā:	T23n1442_018:0719a26_4	」世尊報曰：
K01vinv171u:6534	 ṛddhipādarathenāhaṃ samyagvyāyāmadāyinā/	T23n1442_018:0719a27_0	「我以神足通，　　自在乘空去，
K01vinv171u:6535	 vicarāmi mahīṃ kṛtsnām akṣataḥ kleśakaṇṭakaiḥ //	T23n1442_018:0719a28_13	周行大地盡，　　煩惱刺無傷。
K01vinv171u:6536	 rājā śuddhodanaḥ prāha:	T23n1442_018:0719a29_4	」王復問曰：
K01vinv171u:6537	 prāvṛtaḥ kāśikair vastraiḥ pūrvaṃ vīra virājase /	T23n1442_018:0719b01_14	「昔衣上妙服，　　容色多光彩；
K01vinv171u:6538	 kāṣāyaparuṣaṃ vāsaṃ kathaṃ vahati te tanuḥ //	T23n1442_018:0719b02_13	今著麁弊衣，　　如何得堪忍？
K01vinv171u:6539	 bhagavān āha:	T23n1442_018:0719b03_4	」世尊報曰：
K01vinv171u:6540	 hrīvastraṃ mama saṅghāṭī rājan prāvaraṇaṃ mama /	T23n1442_018:0719b04_0	「慚愧為上服，　　披著甚端嚴，
K01vinv171u:6541	 prāvṛtā yena śobhante śānte hi munayo vane //	T23n1442_018:0719b05_13	見者起歡心，　　寂靜居林野。
K01vinv171u:6542	 rājā śuddhodanaḥ prāha:	T23n1442_018:0719b06_4	」王復問曰：
K01vinv171u:6543	 purā hi tvaṃ kāñcanabhājanasthaṃ	T23n1442_018:0719b07_0	「昔飡香稻飯，　　盛以勝金盤，
