src_segmentnr	src_original	tgt_segmentnr	tgt_original
K03psp_2-3u:2404	 tasya na kutaścid bhayaṃ pratikāṅkṣitavyaṃ. tadyathāpi nāma bhagavan dhanikabhayabhītaḥ puruṣo rājānam upatiṣṭhet,  sa rājānaṃ sevamāno yebhya evāsya bhayaṃ bhavati tair eva sevyate na ca tebhyo bibheti. tat kasya hetor?  evam etat bhagavan balavati niśraye bhayaṃ na bhavati. evam eva bhagavan prajñāpāramitāparibhāvitāni  tathāgataśarīrāṇi pūjāṃ labhante. tatra bhagavan yathā sa rājā evaṃ prajñāpāramitā draṣṭavyā,  pūjāṃ labhante. yad api bhagavaṃs tat sarvajñajñānaṃ tad api prajñāpāramitāparibhāvitaṃ veditavyaṃ,	T07n0220d_558:0878a08_1	如負債人怖畏債主，即便親近奉事國王，依王勢力得免怖畏，反為債主怖畏供養。
K03psp_2-3u:2415	 ato nirjātāḥ pañca pāramitāḥ pāramitānāmadheyaṃ labhante,  ato nirjātā tathāgatasya sarvajñatā.  yatra bhagavaṃs trisāhasramahāsāhasre lokadhātau sattvā imāṃ prajñāpāramitām udgrahīṣyanti  dhārayiṣyanti vācayiṣyanti paryavāpsyanti yoniśaś ca manasikariṣyanti tatra teṣāṃ	T07n0220d_558:0878a12_18	諸佛所得一切智智，亦依般若波羅蜜多而得成辦故，我寧取深妙般若波羅蜜多。
K03psp_2-3u:2425	 pracariṣyati. tadyathāpi nāma bhagavann anarghaṃ yat maṇiratnaiḥ bhavet tat khalu  punar mahāmaṇiratnam ebhir eva guṇaiḥ samanvāgataṃ bhavet. yatrayatra tan mahāmaṇiratnaṃ  sthāpyeta tatratatrāmanuṣyā avatāraṃ na labhante. yatrayatra cāmanuṣyagṛhītaḥ strī	T07n0220d_558:0878a14_19	譬如無價大寶神珠，具無量種勝妙威德，隨所住處有此神珠，人非人等不能為害。
K03psp_2-3u:2428	 vā puruṣo vā bhavet tatratatra tan mahāmaṇiratnaṃ praveṣyeta praveśitamātra eva tasmin  mahāmaṇiratne so 'manuṣyaḥ prakrāmet tasya mahāmaṇiratnasya tejo 'sahamānaḥ. pittena  vā dahyamāne śarīre tan mahāmaṇiratnaṃ sthāpyeta tad api pittaṃ nigṛhṇīyān na vivardhetopaśāmyeta.  vātābhibhūte vā śarīre tan mahāmaṇiratnaṃ sthāpyeta tam api vātaṃ nigṛhṇīyāt. śleṣmaṇā	T07n0220d_558:0878a16_16	設有男子或復女人，為鬼所執身心苦惱，若有持此神珠示之，由珠威力鬼便捨去。
K03psp_2-3u:2432	 upastabdhe śarīre tan mahāmaṇiratnaṃ sthāpyeta taṃ sarvaṃ śleṣmāṇaṃ praśamayet. saṃnipātābhibhūte  vā śarīre tan mahāmaṇiratnaṃ kulaputrasya vā kuladuhitur vā purataḥ sthāpyeta tasyāpi  sa vyādhir upaśāmyeta. tac ca mahāmaṇiratnaṃ rātrāvabhāsaṃ kuryāt. uṣṇakāle ca vartamāne  yatra pṛthivīpradeśe tan mahāmaṇiratnaṃ sthāpyeta sa pṛthivīpradeśaḥ śiśiraḥ parivarteta.  śiśirakāle 'pi vartamāne yatra pṛthivīpradeśe tan mahāmaṇiratnaṃ sthāpyeta sa pṛthivīpradeśo	T07n0220d_558:0878a18_14	諸有熱病或風、或痰、或二、或三和合為病，若有繫此神珠著身，如是諸病無不除愈。
K03psp_2-3u:2437	 gharmaḥ parivarteta. yatra ca tan mahāmaṇiratnaṃ sthāpyeta sa ca pṛthivīpradeśo nātyuṣṇo  nātiśītaḥ syāt ṛtusukho.	T07n0220d_558:0878a20_12	此珠在闇能作照明，熱時能涼寒時能暖，隨地方所有此神珠，時節調和不寒不熱。
K03psp_2-3u:2439	 yatra pṛthivīpradeśe tan mahāmaṇiratṇaṃ tiṣṭhati tatra pṛthivīpradeśe nāśīviṣā upavicaranti vṛścikādīni vā sarīsṛpāṇi vā,	T07n0220d_558:0878a21_11	若地方所有此神珠，虵蠍等毒無敢停止。
K03psp_2-3u:2440	 yaḥ kaścit kulaputro vā kuladuhitā āśīviṣeṇa daṣṭo bhavet tasyāpi tan mahāmaṇiratnam  upadarśyeta tasya saha darśanenaiva tad viṣaṃ vigacchet. ebhir evam ādibhir guṇair	T07n0220d_558:0878a23_10	設有男子或復女人，為毒所中楚痛難忍，若有持此神珠令見，珠威勢故毒即消滅。
K03psp_2-3u:2442	 yuktaṃ tat mahāmaṇiratnaṃ bhaved,  ye 'pi bhagavan striyo vā puruṣā vā nānāvyādhiparigatā bhavanti teṣām api kāye tan mahāmaṇiratnaṃ sthāpyeta,  teṣām api sarve te vyādhaya upaśamaṃ gaccheyuḥ. yatrāpi bhagavann udake tan mahāmaṇiratnaṃ sthāpyeta tad api sarvam (PSP_2-3:94)	T07n0220d_558:0878a25_18	若諸有情身嬰癩疾、惡瘡、腫疱、目眩、瞖等眼病、耳病、鼻病、舌病、喉病、身病、諸支節病，帶此神珠眾病皆愈。 若諸池沼泉井等中，其水濁穢或將枯涸，以珠投之水便盈滿，香潔澄淨具八功德。
K03psp_2-3u:2445	 udakaṃ svavarṇasadṛśaṃ kuryāt. saced bhagavaṃs tan mahāmaṇiratnaṃ nīlena vāsasā pariveṣṭya  udake prakṣipet tad udakaṃ nīlaṃ kuryāt. sacet pītakena sacel lohitakena vastreṇa  saced māñjiṣṭhavarṇena sacet sphaṭikavarṇena vastreṇa tan mahāmaṇiratnaṃ baddhvā  udake prakṣipyeta tad varṇam udakaṃ bhavet. nānāraṅgaraktair api vastrais tan mahāmaṇiratnaṃ  baddhvā udake prakṣipyeta tad udakaṃ nānāvarṇaṃ kuryāt. yatra ca bhagavann udake  kaluṣe tan mahāmaṇiratnaṃ sthāpyeta tat sarvam udakaṃ prasādayed ebhir evam ādibhir  guṇaiḥ samupetaṃ tan mahāmaṇiratnaṃ bhavet.	T07n0220d_558:0878a29_11	若以青黃赤白紅紫碧綠雜綺種種色衣，裹此神珠投之於水，水隨衣彩作種種色。 如是無價大寶神珠，威德無邊說不能盡，若置箱篋亦令其器具足成就無邊威德。 設空箱篋由曾置珠，其器仍為眾人愛重。
