src_segmentnr	src_original	tgt_segmentnr	tgt_original
K05D0010_H0012:364b-11	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ནི་གང་ཡིན་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ནི་ཇི་ལྟར་བསླབ་པར་བྱ་།	T07n0220d_539:0769c13_8	云何菩薩摩訶薩應學般若波羅蜜多？
K05D0010_H0012:364b-15	དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་། ཡིད་ལ་ཟུང་ཞིག་དང་། སངས་རྒྱས་ཀྱི་མཐུ་དང་། སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་༄༣༦༥ཨ་༌༎ ཆེན་པོ་རྣམས་ཀྱི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་གང་ཡིན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཇི་ལྟར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་གནས་པར་བྱ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཇི་ལྟར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་བསླབ་པར་བྱ་བ་དག་བསྟན་པར་བྱས་།	T07n0220d_539:0769c16_17	「吾當承佛威神之力順如來意，為諸菩薩摩訶薩眾宣說、開示甚深般若波羅蜜多，如諸菩薩摩訶薩眾可於其中應如是住、應如是學。 汝等天眾，皆應諦聽善思念之。 「憍尸迦！
K05D0010_H0012:364b-4	དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎	T07n0220d_539:0769c08_5	時，天帝釋白善現言：
K05D0010_H0012:364b-6	སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ན་རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་དང་། སུམ་ཅུ་རྩ་གསུམ་པ་རྣམས་དང་། འཐབ་བྲལ་རྣམས་དང་། དགའ་ལྡན་རྣམས་དང་། འཕྲུལ་དགའ་རྣམས་དང་། གཞན་འཕྲུལ་དབང་བྱེད་རྣམས་དང་། གནས་གཙང་མའི་རིས་ཀྱི་བར་གྱི་ལྷའི་བུ་གང་དག་འཁོད་པ་དེ་དག་ཐམས་ཅད་བཙུན་པ་རབ་འབྱོར་ལ་ཆོས་ཉན་པའི་ཕྱིར་འདུས་ཏེ་།	T07n0220d_539:0769c11_5	「今此三千大千世界無量天眾俱來會坐，欲聞大德宣說、開示甚深般若波羅蜜多，教授教誡諸菩薩摩訶薩，令於般若波羅蜜多速得究竟。
K05D0010_H0012:364b-8	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྟན་པ་ཉན་པར་འདོད་ན་། བཙུན་པ་རབ་འབྱོར་།	T07n0220d_539:0769c11_14	唯願大德哀愍為說！
K05D0010_H0012:364b-10	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཇི་ལྟར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་གནས་པར་བྱ་།	T07n0220d_539:0769c12_11	云何菩薩摩訶薩應住般若波羅蜜多？
K05D0010_H0012:365a-2	ལྷའི་བུ་གང་དག་གིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་མ་བསྐྱེད་པ་དེ་དག་གིས་ཀྱང་།	T07n0220d_539:0769c18_14	汝諸天等，未發無上菩提心者今皆應發。
K05D0010_H0012:377b-1	དེ་ནས་ཚེ་དང་ལྡན་པ་ཤའ་རིའི་བུ་འདི་སྙམ་དུ་སེམས་ཏེ་།	T07n0220d_539:0770b12_18	」時，舍利子作是念言：
K05D0010_H0012:365a-3	བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པར་གྱིས་ཤིག་། གང་དག་ཡང་དག་པ་སྐྱོན་མེད་པ་ལ་ཞུགས་པ་དེ་དག་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་མཐུ་མེད་དོ་༎	T07n0220d_539:0769c19_18	諸有已入聲聞、獨覺正性離生，不復能發大菩提心。
K05D0010_H0012:365a-5	དེ་ཅིའི་ཕྱིར་ཞེ་ན་།	T07n0220d_539:0769c20_2	何以故？
