src_segmentnr	src_original	tgt_segmentnr	tgt_original
K10mkarmviu:111	 hīnotkṛṣṭamadhyamatāyām. tadyathā. asti karma alpāyuḥsaṃvartanīyam. asti karma dīrghāyuḥsaṃvartanīyam.  asti karma bahvābādhāsaṃvartanīyam. asti karma alpābādhāsaṃŚ. a. k. durvarṇas. a.	K10D0339_H0345:492a-0	ལས་ཀྱིས་མ་རབས་༄༤༩༢ཨ་༌༎
K10mkarmviu:113	 k. prāsādikas. a. k. alpeśākhyas. a. k. maheśākhyas. a. k. nīcākulopapattis. a. k.  uccakulopapattis. a. k. alpabhogas. a. k. mahābhogas. a. k. duṣprajnas. a. k. mahāprajñas.	K10D0339_H0345:492a-2	ལས་ཀྱིས་ཡ་རབས་ཀྱི་རིགས་སུ་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་དབུལ་པོར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་ཕྱུག་པོར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་ངན་པར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་ཤེས་རབ་ཆེན་པོར་འགྱུར་བའང་ཡོད་།
K10mkarmviu:115	 a. k. narakopapattis. a. k. tiryagyonyupapattis. a. k. pretalokopapattis. a. k. asuralokopapattis.	K10D0339_H0345:492a-7	ལས་ཀྱིས་སེམས་ཅན་དམྱལ་བར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་བྱོལ་སོང་གི་སྐྱེ་གནས་སུ་འགྱུར་བའང་ཡོད་།
K10mkarmviu:116	 a. k. manuṣyalokopapattis. a. k. kāmāvacaradevopapattis. a. k. rūpāvacaradevopapattis.	K10D0339_H0345:492a-9	ལས་ཀྱི་རིང་དུ་འཁྱམ་པར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་མིར་སྐྱེ་བར་འགྱུར་བའང་ཡོད་། ལས་ཀྱིས་གཟུགས་ཡོད་པའི་ལྷར་སྐྱེ་བའང་ཡོད་། ལས་ཀྱིས་གཟུགས་མེད་པའི་ལྷར་སྐྱེ་བའང་ཡོད་། ལས་བཞིན་དུ་མི་འགྱུར་བར་སྐྱེ་བའང་ཡོད་། ལས་ཀྱིས་འགྱུར་བར་སྐྱེ་བའང་ཡོད་། ལས་ཀྱིས་ཡུལ་གཞན་དུ་སྐྱེ་བར་འགྱུར་བའང་ཡོད་།
K10mkarmviu:117	 a. k. ārūpyāvacaradevopapattis. a. k. kṛtaṃ nopacitam. a. k. upacitaṃ na kṛtam. a.	K10D0339_H0345:492a-17	ལས་མ་བསམས་པར་བྱས་པས་སྐྱེ་བར་འགྱུར་བའང་ཡོད་། ལས་བསམས་ཏེ་མ་བྱས་ཀྱང་སྐྱེ་བར་འགྱུར་བའང་ཡོད་། ལས་བསམས་ཏེ་བྱས་ནས་སྐྱེ་བར་འགྱུར་བའང་ཡོད་། ལས་མ་བསམས་མ་བྱས་ཀྱང་སྐྱེ་བར་འགྱུར་བའང་ཡོད་། གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་དམྱལ་བར་སྐྱེས་ནས་སེམས་ཅན་དམྱལ་བའི་ཚེ་ཀུན་རྫོགས་ཏེ་། སྐྱེ་བའི་ལས་ཀྱང་ཡོད་།
K10mkarmviu:120	 pudgalo narakeṣūpapannaḥ sārdhanairayikam āyuḥ kṣapayitvā cyavati. a. k. y. s. p.	K10D0339_H0345:492b-0	གང་ཟག་༄༤༩༢བ་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་དམྱལ་བའི་ཚེ་ཕྱེད་ཟད་ནས་སྐྱེ་བའི་ལས་ཀྱང་ཡོད་དོ་༎
K10mkarmviu:121	 narakeṣūpapannamātra eva cyavati. a. k. niyatopapattis. a. k. aniyatopapattis. a.	K10D0339_H0345:492b-1	སེམས་ཅན་དམྱལ་བར་ཕྱིན་མ་ཐག་ཏུ་སྐྱེས་པའང་ཡོད་།
K10mkarmviu:122	 k. deśāntaravipakṣam. a. k. y. s. p. pūrvaṃ sukhito bhūtvā paścād duḥkhito bhavati.  a. k. y. s. p. pūrvaṃ duḥkhito bhūtvā paścād api sukhito bhavati. a. k. y. s. p.	K10D0339_H0345:492b-2	གང་ཟག་ཡང་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་བདེ་བ་ལ་ཕྱི་ནས་མི་བདེ་བའི་ལས་ཀྱང་ཡོད་། གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་མི་བདེ་བ་ལ་ཕྱི་ནས་བདེ་བར་འགྱུར་བའི་ལས་ཀྱང་ཡོད་། སེམས་ཅན་གང་ཟག་ཐམས་ཅད་ཀྱང་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་བདེ་ལ་ཕྱིས་ཀྱང་བདེ་བར་འགྱུར་བའི་ལས་ཀྱང་ཡོད་། གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་སེར་སྣ་བྱེད་པའི་ལས་ཀྱང་ཡོད་།
K10mkarmviu:124	 pūrvaṃ sukhito bhūtvā paścāt sukhito bhavati. a. k. y. s. p. pūrvaṃ duḥkhito bhūtvā  y. s. p. āḍhyo bhavati matsarī. a. k. y. s. p. daridro bhavati tyāgavān. a. k. y.	K10D0339_H0345:492b-6	གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་དབུལ་བ་གཏོང་ཕོད་པའི་ལས་ཀྱང་ཡོད་། གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་ཕྱུག་པོར་འགྱུར་ཞིང་གཏོང་ཕོད་པའི་ལས་ཀྱང་ཡོད་། གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་ཕས་ན་དབུལ་བ་སེར་སྣ་ཅན་དུ་འགྱུར་བའི་ལས་ཀྱང་ཡོད་དོ་༎
K10mkarmviu:127	 s. p. āḍhyo bhavati tyāgavān. a. k. y. s. p. [sic] asti pudgalo yasya karma kṣīṇaṃ  bhavati nāyuḥ. asti pudgalo yasyāyuḥ kṣīṇaṃ na karma. a. p. y. āyuḥ karmāṇi ca kṣīṇāni.	K10D0339_H0345:492b-9	གང་ཟག་ཚེ་ཟད་པ་ལས་མ་ཟད་པའང་ཡོད་། གང་ཟག་ཚེ་དང་། ལས་བཅས་ཏེ་ཟད་པར་འགྱུར་བའང་ཡོད་།
K10mkarmviu:129	 a. p. y. āyuḥ kṣīṇaṃ puṇyāni ca. a. p. yasya nāyuḥ kṣīṇaṃ bhavati na karma. api tu  kleśāḥ kṣīṇāḥ. a. p. kāyena sukhī na cittena. a. p. cittena sukhī na kāyena. a. p.	K10D0339_H0345:492b-12	གང་ཟག་ཚེ་དང་། ལས་བཅས་ཏེ་མ་ཟད་ཀྱང་མྱ་ངན་སྤངས་པར་འགྱུར་བའང་ཡོད་། གང་ཟག་ལུས་བདེ་ལ་སེམས་མི་བདེ་བར་འགྱུར་བའང་ཡོད་། གང་ཟག་ལུས་མི་བདེ་ལ་སེམས་ཀྱང་མི་བདེ་བར་འགྱུར་བའང་ཡོད་། ཀྱང་བདེ་ལ་སེམས་ཀྱང་བདེ་བར་འགྱུར་བའང་ཡོད་།
K10mkarmviu:131	 kāyena ca sukhī cittena ca. a. p. naiva kāyena sukhī na cittena. a. k. y. s. pudgalo	K10D0339_H0345:493a-2	གང་ཟག་ལུས་མི་བདེ་ལ་སེམས་ཀྱང་མི་བདེ་བར་འགྱུར་བའང་ཡོད་།
K10mkarmviu:133	 a. k. y. s. pudgalo 'pāyeṣūpapanno durvarṇo bhavati rūkṣakāyo ghoradarśanaḥ pratikūladarśanaḥ.  a. k. y. s. p. apāyeṣūpapanno durgandho bhavati jihmendriyo bhavaty avyaktendriyaḥ.	K10D0339_H0345:493a-3	གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་ངན་པའི་སར་ཡང་སྐྱེས་ཏེ་། གཟུགས་ངན་པ་དང་། བཟང་པོ་དང་། སྡུག་གུ་དང་། ཁ་དོག་མཛེས་པ་དང་། མདོག་སྣུམ་པ་དང་། མཐོང་ན་དགའ་བའི་ལས་ཀྱང་ཡོད་།
