src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12D0486_H0451:89b-5	བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་རྡོ་རྗེ་བྱིན་གྱིས་རློབ་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་ནས་།	T21n1418_001:0933b08_8	傳法大師臣施護奉　詔譯爾時世尊入三摩地。 名一切如來金剛安像三昧。 從三昧起。 說彼塑畫雕造莊嚴一切佛。 及諸賢聖之眾。
K12D0486_H0451:90a-0	བརྡུངས་པ་དང་། བྲིས་པ་དང་། འབུར་དུ་བྱས་པ་ལ་སོགས་༄༩༠ཨ་༌༎	T21n1418_001:0933b10_15	安像慶讚儀軌之法。 欲造佛像。
K12D0486_H0451:90a-2	སློབ་དཔོན་དེ་ཉིད་བཅུ་ཤེས་ཤིང་༎	T21n1418_001:0933b11_13	先得了知十種法則阿闍梨。
K12D0486_H0451:90a-3	མཚན་ཉིད་ཀུན་དང་ཡང་དག་ལྡན་༎ ཕྱག་རྒྱ་སྔགས་དང་ཆོ་ག་ཤེས་༎	T21n1418_001:0933b12_7	復須善知佛身一切圓滿之相。
K12D0486_H0451:93b-0	ཞེས་བྱ་བ་འདི་དག་ལ་༄༩༣བ་སོགས་པས་སོ་༎ མཆོག་གི་མེ་ཏོག་འདི་དག་ནི་༎ ཆུ་དང་ཐང་ལས་དེ་བཞིན་སྐྱེས་༎	T21n1418_001:0934b24_2	此花最上或水中生或陸地生。
K12D0486_H0451:93b-11	མཆོག་གི་དད་པས་འབུལ་ལགས་ཀྱིས་༎ ཅི་བདེ་བར་ནི་སོ་སོར་བཞེས་༎ མུན་པ་འཇོམས་བྱེད་སྣང་བའི་མཆོག་། མར་དང་ཏིལ་གྱི་མར་མེ་འདི་༎	T21n1418_001:0934c06_5	此是燈供養或酥燈或油燈光明破暗。
K12D0486_H0451:93b-16	དད་པས་བདག་གིས་དབུལ་བར་བགྱི་༎	T21n1418_001:0934c06_16	我今志心供養願佛納受。
K12D0486_H0451:93b-3	མཆོག་ཏུ་དད་པས་ཁྱོད་ལ་འབུལ་༎ ཅི་བདེ་བར་ནི་སོ་སོར་བཞེས་༎	T21n1418_001:0934b24_13	我今志心供養願佛納受。
K12D0486_H0451:93b-7	བདག་གི་དད་པས་འབུལ་ལགས་ཀྱིས་༎ ཅི་བདེ་བར་ནི་བཞེས་སུ་གསོལ་༎	T21n1418_001:0934b28_13	我今志心供養願佛納受。
K12D0486_H0451:95a-20	བཅུ་དང་བཅུ་གཅིག་ལ་ཟླ་བ་༎	T21n1418_001:0935b10_2	同用大吉。 若第二第六第十及第十一星與水星合。 同用大吉。
K12D0486_H0451:95a-21	གཉིས་པ་བཞི་པ་དེ་བཞིན་བརྒྱད་༎ བཅུ་དང་བཅུ་གཅིག་རྣམས་ལ་ལག་༎ གཉིས་དང་བདུན་དང་དེ་བཞིན་དགུ་། དེ་བཞིན་ཕུར་བུ་བཅུ་གཅིག་པ་༎	T21n1418_001:0935b12_4	若第二第七第九及第十一星與木星合。
K12D0486_H0451:95a-25	དུས་སྦྱོར་ཞི་བ་ལས་བརྟེན་ནས་༎ དེ་ལ་ལྷག་པར་གནས་པར་བྱ་༎	T21n1418_001:0935b12_16	同用作召請結淨最善大吉。
K12D0486_H0451:95a-27	དྲུག་བདུན་བཅུ་པ་དོར་བ་ཡིས་༎	T21n1418_001:0935b13_10	若第六第七第十星與金星合。
K12D0486_H0451:95a-28	པ་བ་སངས་ཉིད་དགེ་བ་ཡིན་༎	T21n1418_001:0935b13_15	同用大吉。
K12D0486_H0451:95a-29	དེ་ལྟར་གཟའ་རྣམས་ཐམས་ཅད་ཀྱི་༎ སྟོབས་ལྡན་མི་ལྡན་དེར་ཤེས་བྱ་༎ གང་ཚེ་ཞི་བའི་གཟའ་རྣམས་དང་༎ ཞིང་རྣམས་ཞི་བ་དགེ་བ་ཡིན་༎ དང་པོ་ལྔ་པ་གསུམ་དེ་བཞིན་༎ ནོར་༄༩༥བ་རྣམས་འཇོམས་པ་སྤང་བར་བྱ་༎	T21n1418_001:0935b14_9	若第一第三第五星能破財物。 阿闍梨應如是善知星辰之力。
K12D0486_H0451:95b-2	སྐད་ཅིག་དེ་ལ་ཡོངས་འགྲུབ་ཅིང་༎	T21n1418_001:0935b16_10	所作之事於剎那之頃必得成就。
K12D0486_H0451:95b-4	རབ་ཏུ་གནས་པ་མཆོག་འགྱུར་ཞིང་༎ འཁོར་ལོས་བསྒྱུར་རྒྱལ་དབང་ཕྱུག་ནི་༎	T21n1418_001:0935b17_17	當得轉輪王位大國王位無復疑惑。
