src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12D0619=D1008_H0592:430b-6	བཅོམ་ལྡན་འདས་ཤའཀྱའི་གྲོང་རྡལ་བཟང་པོ་ཞིག་ན་ཤའཀྱ་རྣམས་ཀྱི་ནང་ན་བཞུགས་ཏེ་།	T21n1324_001:0490a12_10	一時薄伽梵。 住迦毘羅衛國。 釋迦種族聚落。
K12D0619=D1008_H0592:430b-7	དེའི་ཚེ་སྟ་དུ་ས་ཞེས་བྱ་བ་ན་ཤའཀྱ་བདེ་བ་ཞེས་བྱ་བ་སངས་རྒྱས་ལ་མངོན་པར་དད་པ་།	T21n1324_001:0490a13_11	爾時有一釋種。 住車尼摩迦聚落。
K12D0619=D1008_H0592:431a-0	ཆོས་དང་དགེ་འདུན་ལ་མངོན་༄༤༣༡ཨ་༌༎ པར་དད་པ་། སངས་རྒྱས་ལ་སྐྱབས་སུ་སོང་། ཆོས་ལ་སྐྱབས་སུ་སོང་།	T21n1324_001:0490a14_12	於佛淨信於法淨信於僧淨信。
K12D0619=D1008_H0592:431a-12	མངོན་པར་རྟོགས་པར་གྱུར་པ་། མཚོན་དང་དབྱིག་པ་བོར་བ་ཞིག་གནས་པ་དེའི་མིག་ལ་སྣང་བ་དང་། མི་སྣང་བའི་གཟུགས་རྣམས་སྣང་བར་མ་གྱུར་ནས་དེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་དད་པ་སྐྱེས་ཏེ་ཡིད་ལ་བྱེད་ཅིང་།	T21n1324_001:0490a17_16	其人眼所見色相而不得見。 爾時乞曬摩迦釋種。 憶念如來作如是言。
K12D0619=D1008_H0592:431a-14	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་ཕྱག་འཚལ་ལོ་༎ སངས་རྒྱས་བཅོམ་ལྡན་འདས་སྣང་བ་མཛད་པ་། སྒྲོན་མ་འཇིན་པ་།	T21n1324_001:0490a19_14	稽首佛世尊智炬陀羅尼能作光明者。
K12D0619=D1008_H0592:431a-18	བདེ་བར་གཤེགས་པ་ཐུགས་རྗེ་ཆེན་པོ་དང་ལྡན་པ་གསལ་བར་མཛད་དུ་གསོལ་། བཅོམ་ལྡན་འདས་།	T21n1324_001:0490a20_4	歸命善逝大悲者。
K12D0619=D1008_H0592:431a-20	བདག་གི་མིག་རྣམ་པར་སྦྱང་དུ་གསོལ་།	T21n1324_001:0490a20_15	護念攝受我令我眼清淨。
K12D0619=D1008_H0592:431a-21	ཞེས་བྱས་པ་དང་། བཅོམ་ལྡན་འདས་ལྷའི་གནས་པ་ལ་བཞུགས་པ་།	T21n1324_001:0490a21_10	爾時世尊超越世間耳眼。
K12D0619=D1008_H0592:431a-22	ལྷའི་སྙན་རྣམ་པར་དག་པ་མི་ལས་འདས་པས་། ཤའཀྱ་བདེ་བས་ཚིག་དེ་སྐད་ཅེས་བརྗོད་པ་གསན་ཏོ་༎	T21n1324_001:0490a22_1	以天耳聞以天眼見。
K12D0619=D1008_H0592:431a-4	དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་། སངས་རྒྱས་ལ་གཅིག་ཏུ་ཕྱོགས་། ཆོས་ལ་གཅིག་ཏུ་ཕྱོགས་།	T21n1324_001:0490a15_7	歸依於佛歸依於法歸依於僧。
K12D0619=D1008_H0592:431a-7	དགེ་འདུན་ལ་གཅིག་ཏུ་ཕྱོགས་། སངས་རྒྱས་ལ་ནེམ་ནུར་མེད་ཅིང་ཐེ་ཚོམ་མེད་། ཆོས་དང་། དགེ་འདུན་དང་། སྡུག་བསྔལ་དང་། ཀུན་འབྱུང་བ་དང་། འགོག་པ་དང་། ལམ་ལ་ནེམ་ནུར་མེད་ཅིང་ཐེ་ཚོམ་མེད་ལ་། བདེན་པ་མཐོང་བ་།	T21n1324_001:0490a16_2	不疑於佛不疑於法不疑於僧。 盡心於佛盡心於法盡心於僧。
K12D0619=D1008_H0592:431b-2	ཁྱོད་སོང་ལ་མིག་རྣམ་པར་སྦྱོང་བའི་རིག་སྔགས་འདིས་ཤའཀྱ་བདེ་བ་ལ་སྲུང་པར་གྱིས་ཤིག་།	T21n1324_001:0490a22_18	汝往於釋種所。
