src_segmentnr	src_original	tgt_segmentnr	tgt_original
K12sdurst_u:361	 utpādayāmi paramaṃ bodhicittam anuttaram //  yathā traiyadhvikanāthāḥ saṃbodhau kṛtaniścayāḥ //	T02D1754:221b-34	ཇི་ལྟར་དུས་གསུམ་མགོན་རྣམས་ཀྱིས་༎ བྱང་ཆུབ་ཏུ་ནི་ངེས་མཛད་ལྟར་༎ བྱང་ཆུབ་སེམས་ནི་བླ་མེད་པ་༎ དམ་པ་བདག་གིས་བསྐྱེད་པར་བགྱི་༎
K12sdurst_u:363	 trividhāṃ śīlaśikṣāṃ ca kuśaladharmasaṃgraham //  sattvārthakriyāśīlaṃ ca pratigṛhṇāmy ahaṃ dṛḍham //	T02D1754:221b-38	སངས་རྒྱས་རྣལ་འབྱོར་སྡོམ་པ་ལ་༎ ཚུལ་ཁྲིམས་ཀྱི་ནི་བསླབ་པ་དང་༎ དགེ་བའི་ཆོས་ནི་སྡུད་པ་དང་༎ སེམས་ཅན་དན་བྱེད་ཚུལ་ཁྲིམས་གསུམ་༎ བདག་གིས་བརྟན་པར་གཟུང་བར་བགྱི་༎
K12sdurst_u:366	 adyāgreṇa grahīṣyāmi saṃvaraṃ buddhayogajam //	T02D1754:221b-41	སངས་རྒྱས་ཆོས་དང་དགེ་འདུན་ཏེ་༎ དེང་༄༢༢༢ཨ་༌་༎
K12sdurst_u:367	 vajraghaṇṭāṃ ca mudrāṃ ca pratigṛhṇāmi tattvataḥ //  ācāryaṃ ca grahīṣyāmi mahāvajrakuloccaye //	T02D1754:222a-2	རྡོ་རྗེ་རིགས་མཆོག་ཆེན་པོ་ཡི་༎ རྡོ་རྗེ་དྲིལ་བུ་ཕྱག་རྒྱ་ཡང་༎ ཡང་དག་ཉིད་དུ་གཟུང་བར་བགྱི་༎ སློབ་དཔོན་དག་ཀྱང་གཟུང་བར་བགྱི་༎
K12sdurst_u:369	 caturdānaṃ pradāsyāmi ṣaṭkṛtvā tu dine dine //  mahāratnakule yoge samaye ca manorame //	T02D1754:222a-6	རིན་ཆེན་རིགས་མཆོག་ཆེན་པོ་ཡི་༎ དམ་ཚིག་ཡིད་དུ་འོང་བ་ལ་༎ ཉིན་རེ་བཞིན་དུ་དུས་དྲུག་ཏུ་༎ སྦྱིན་པ་རྣམ་བཞི་རབ་ཏུ་སྦྱིན་༎
K12sdurst_u:372	 mahāpadmakule śuddhe mahābodhisamudbhave //	T02D1754:222a-10	བྱང་ཆུབ་ཆེན་པོ་ལས་བྱུང་བའི་༎
K12sdurst_u:373	 saṃvaraṃ sarvasaṃyuktaṃ pratigṛhṇāmi tattvataḥ //	T02D1754:222a-13	དམ་པའི་ཆོས་ནི་གཟུང་བར་བགྱི་༎
K12sdurst_u:374	 pūjākarma yathāśaktyā mahākarmakuloccaye //	T02D1754:222a-14	ལས་ཀྱི་རིགས་མཆོག་ཆེན་པོ་ཡི་༎ ཡང་དག་ཉིད་དུ་གཟུང་བར་བགྱི་༎ མཆོད་པའི་ལས་ཀྱང་ཅི་ནུས་བགྱི་༎
K12sdurst_u:375	 utpādayitvā paramaṃ bodhicittam anuttaram //	T02D1754:222a-18	བྱང་ཆུབ་སེམས་ནི་བླ་མེད་པ་༎ དམ་པ་བདག་གིས་བསྐྱེད་བགྱིས་ནས་༎
K12sdurst_u:376	 gṛhītaṃ saṃvaraṃ kṛtsnaṃ sarvasattvārthakāraṇāt //	T02D1754:222a-20	སེམས་ཅན་ཀུན་གྱི་དོན་གྱི་ཕྱིར་༎
