src_segmentnr	src_original	tgt_segmentnr	tgt_original
K14mhvastuu:1363	 naiva tāva janayanti mānasaṃ  jñānasāgaratarāya nāyakāḥ //	K10D0198_H0199:462a-2	མཁས་པ་མི་འདུལ་རྫོགས་པའི་སངས་རྒྱས་སུ་༎ གྱུར་ཅེས་སེམས་ནི་དེ་སྲིད་སྐྱེད་མི་བྱེད་༎
K14mhvastuu:1365	 te yadā vipulapuṇyasaṃcayā	K10D0198_H0199:462a-4	གང་ཚེ་དེ་དག་བསོད་ནམས་རྒྱ་ཆེན་བསགས་༎
K14mhvastuu:1366	 bhonti bhāvitaśarīramānasāḥ /  te sametya vararūpadhāriṇāṃ	K10D0198_H0199:462a-5	ལུས་དང་ཡིད་ཀྱིས་བདེན་པ་བསྒོམས་པ་ན་༎ འདྲེན་པ་མི་རྣམས་མཆོག་ཏུ་གྱུར་ཅིག་ཅེས་༎ དེ་དག་གིས་ནི་བསྐལ་པ་བྱེ་བ་སྙེད་༎ བསྙེན་བཀུར་བྱས་པས་བསོད་ནམས་ཚོགས་བསགས་ནས་༎ སེམས་དགེ་བ་དང་འཇམ་ཞིང་མཉེན་པ་ཡིས་༎
K14mhvastuu:1368	 bodhaye upajanenti mānasaṃ //	K10D0198_H0199:462a-11	དེ་ཚེ་བྱང་ཆུབ་ཏུ་ཡང་སེམས་བསྐྱེད་དེ་༎
K14mhvastuu:1369	 yaṃ mayā kuśalamūlam arjitaṃ	K10D0198_H0199:462a-12	བདག་གིས་དགེ་བའི་རྩ་བ་གང་བསགས་པ་༎
K14mhvastuu:1370	 tena me bhavatu sarvadarśitā /	K10D0198_H0199:462a-13	དེས་ནི་བདག་ཀྱང་ཐམས་ཅད་གཟིགས་གྱུར་ཅིག་།
K14mhvastuu:1371	 [_Mvu_1.82_] mā ca me praṇidhi tac ciraṃtaro /	K10D0198_H0199:462a-14	ནམ་ཡང་བདག་གི་སྨོན་ལམ་ཉམས་མ་གྱུར་༎
K14mhvastuu:1372	 evam eṣa praṇidhiḥ pravartatu //	K10D0198_H0199:462a-15	དེ་དག་དེ་སྐད་སྨོན་ལམ་འཇུག་པར་འགྱུར་༎
K14mhvastuu:1373	 yaś ca me kuśalamūlasaṃcayo	K10D0198_H0199:462a-16	བདག་གིས་དགེ་བའི་རྩ་བ་གང་བསགས་པ་༎
K14mhvastuu:1374	 so mahā bhavatu sarvaprāṇibhiḥ /	K10D0198_H0199:462a-17	དེས་ནི་སྲོག་ཆགས་ཐམས་ཅད་བརྒལ་གྱུར་ཅིག་།
K14mhvastuu:1375	 yac ca karma aśubhaṃ kṛtaṃ mayā	K10D0198_H0199:462a-18	མི་དགེའི་ལས་ནི་བདག་གིས་གང་བྱས་པ་༎
