src_segmentnr	src_original	tgt_segmentnr	tgt_original
K14mpsu_w_u:1446	 upetyārāḍaṃ kālāmam idam avocat //)  28.11 (kiṃ bhavān pañcamātrāṇi śakaṭaśatāni vyatikramamāṇāny adrākṣīt //)	T01n0001_003:0019a14_13	『向群車過，寧見不耶？
K14mpsu_w_u:1448	 28.12 (na bhoḥ puruṣādrākṣam //)	T01n0001_003:0019a14_17	』對曰： 『不見！
K14mpsu_w_u:1449	 28.13 (kiṃ nu bhavān pañcamātrāṇāṃ śakaṭa) ś(a)  tānā(ṃ)  vy(atikrama)	T01n0001_003:0019a14_25	』又問： 『聞耶？ 』對曰：
K14mpsu_w_u:1453	 bd(aṃ nāśrauṣīt //)  28.14 (na bhoḥ puruṣāśrauṣam //)	T01n0001_003:0019a15_11	『不聞！ 』又問：
K14mpsu_w_u:1455	 28.15 k(iṃ) nu bhavāñ śaye (sup)t(aḥ //)  28.16 (na bhoḥ puruṣāhaṃ śaye suptaḥ //)	T01n0001_003:0019a15_21	『汝在此耶？ 在餘處耶？ 』答曰： 『在此！
K14mpsu_w_u:1457	 28.17 (kiṃ nu bhavān saṃjñy eva samāno jāgran nāśrauṣīt pañcānāṃ śakaṭaśatānāṃ vyatikramamāṇānāṃ śabdam //)	T01n0001_003:0019a16_13	』又問： 『汝醒悟耶？ 』答曰：
K14mpsu_w_u:1458	 28.18 saṃjñī evāhaṃ bhoḥ puruṣa samāno jāgran nāśrauṣaṃ pañcānāṃ śakaṭaśatānāṃ vyat(i)  kramamāṇānāṃ śabdam //	T01n0001_003:0019a16_27	『醒悟！ 』又問： 『汝為覺寐？ 』答曰： 『不寐！
K14mpsu_w_u:1460	 28.19 atha tasya puruṣasyaita(d abhavat //)	T01n0001_003:0019a17_21	』彼人默念：
K14mpsu_w_u:1461	 28.20 (āścaryaṃ bata pravrajitānāṃ śāntavihāriṇāṃ yatredānīṃ saṃjñī)  samāno jāgran nāśrauṣīt pañcānāṃ śakaṭaśatānāṃ vyatikramamāṇā(nāṃ śabdam //	T01n0001_003:0019a18_1	『是希有也！ 出家之人專精乃爾，車聲轟轟覺而不聞。
K14mpsu_w_u:1467	 28.22 kiṃ manyase (putkasa katara uttamo yaḥ pañcānāṃ śakaṭaśatānāṃ vya)  tikramamāṇānāṃ śabdo yo vā devasya garjato 'śanyāś ca sphoṭatyāḥ //	T01n0001_003:0019a21_10	」佛告福貴： 「我今問汝，隨意所答，群車振動覺而不聞，雷動天地覺而不聞，何者為難？
K14mpsu_w_u:1469	 28.23 kiṃ bhadanta kari(ṣyanti pañcamātrāṇi daśa vā sahasraṃ vā śakaṭaśatāni //	T01n0001_003:0019a23_13	」福貴白佛言： 「千萬車聲，豈等雷電？
K14mpsu_w_u:1470	 uttamaḥ) śabdo yo devasya garjato 'śanyāś ca sphoṭatyāḥ //  28.24 eko 'yaṃ putkasa samaya ādum(ā)  y(āṃ)  vihar(āmi bhūtāgāre //	T01n0001_003:0019a25_7	不聞車聲未足為難，雷動天地覺而不聞，斯乃為難。
K14mpsu_w_u:1474	 pūrvāhṇe nivasya pātracīvaram ādāyādumāṃ piṇḍā)  ya praviśāmi //  ādumāṃ piṇḍāya caritvā kṛtabhaktakṛtyaḥ paścādbhaktapiṇḍapātaḥ pra(tikramya pātracīvaraṃ pratiśamayya pādau prakṣālya bhūtāgāre niṣaṇṇaḥ pratisaṃla)yanāya	T01n0001_003:0019a25_13	」佛告福貴： 「我於一時遊阿越村，在一草廬。
K14mpsu_w_u:1477	 28.25 tena khalu samayenādumāyāṃ devena garjatāśanyā (ca)  sph(o)  ṭatyā c(atvāro balivardakā hatā dvau ca kārṣakau bhrātarau //  tadādumāyā uccaśabdamahāśa)  bdo mahājanakāyasya nirghoṣaḥ //	T01n0001_003:0019a27_18	時有異雲暴起，雷電霹靂，殺四特牛、耕者兄弟二人，人眾大聚。
K14mpsu_w_u:1482	 28.26 so 'haṃ sāyāhne pratisaṃlayan(ād vyutthāya bhūtāgārasya cchāyāyām abhyavakāśe caṅkrame caṅkramye //)  ruṣas tasmān mahājanakāyād yenāhaṃ tenopasaṃkrāntaḥ //  upetya mam(a pādau śirasā vanditvā māṃ caṅkramamāṇam anucaṅkramyate //)  28.28 (tam aham evam ā)mantraye //	T01n0001_003:0019a29_19	時，我出草廬，彷徉經行，彼大眾中有一人來至我所，頭面禮足，隨我經行，我知而故問：
K14mpsu_w_u:1487	 28.29 kim etad bhoḥ puruṣādumāyā uccaśabdamahāśabdo mahājanakāyasya ni(rghoṣaḥ //)	T01n0001_003:0019b01_7	『彼大眾聚何所為耶？ 』其人即問：
K14mpsu_w_u:1490	 liv(ardak)  ā (hatā)  dvau ca kārṣakau bhrātarau //  ta(d)aiṣa uccaśabdamahāśab(do mahājanakāyasya nirghoṣaḥ //)  28.31 (kiṃ nu bhagavān devaṃ garjantam aśaniṃ ca sphoṭatīṃ nāśrauṣīt //)  28.32 (na bhoḥ puruṣāśrauṣam //)  28.33 (āha sa) puruṣaḥ //	T01n0001_003:0019b06_8	『向有異雲暴起，雷電霹靂，殺四特牛、耕者兄弟二人，彼大眾聚，其正為此。
K14mpsu_w_u:2242	 32.20 tatra bhaga(v)  ān āyuṣmantam ānandam āmantrayate //	T01n0001_004:0025c07_14	』」佛告阿難： 「止！ 止！
K14mpsu_w_u:2244	 32.21 mā tvam ānanda śoca mā klā(ma //	T01n0001_004:0025c08_2	勿憂莫悲泣也。
K14mpsu_w_u:2246	 32.22 (ta)th(āga)ta upasthitas ta (ānanda maitreṇa kāyakarmaṇā hitena sukhenādvayenāpramāṇena //	T01n0001_004:0025c08_18	汝侍我以來，身行有慈，無二無量；
K14mpsu_w_u:2247	 maitreṇa vākkarmaṇā maitreṇa manaskarmaṇā hitena sukenādvayenā)pramāṇena //	T01n0001_004:0025c09_13	言行有慈，意行有慈，無二無量。
K14mpsu_w_u:2249	 ks(aṃ)  buddhās teṣ(āṃ buddhānāṃ bhagavatāṃ sadṛśam upasthānaṃ kariṣyate tadyathā tvayā mahyam etarhi //)	T01n0001_004:0025c11_4	汝供養我，功德甚大，若有供養諸天、魔、梵、沙門、婆羅門，無及汝者。 汝但精進，成道不久。
K14mpsu_w_u:2252	 samyaksaṃbuddhās te(ṣā)  m api buddh(ānāṃ bhagavatāṃ sadṛśam upasthānaṃ kariṣyate tadyathā tvayā mahyam eta)r(h)i //	T01n0001_004:0025c13_11	「過去諸佛給侍弟子亦如阿難，未來諸佛給侍弟子亦如阿難。 然過去佛給侍弟子，語然後知；
K14mpsu_w_u:2261	 32.28 (catvāro bhikṣava āścaryā adbhutā dha)  rmā rājñaś cakravartinaḥ //	T01n0001_004:0025c16_18	轉輪聖王有四奇特未曾有法，何等四？
K14mpsu_w_u:2269	 32.31 (gṛhapatipariṣac)  32.32 (chramaṇapariṣad rājānaṃ)  cakravartinaṃ da(r)  ś(anāyopasaṃkrāmaty āptamanaskā bhavati darśa)nena //  saced upasaṃkrāntāyāṃ dharm(a)  ṃ (deśayaty āptamanaskā bhavati dharmaśrava)ṇena //	T01n0001_004:0025c21_8	轉輪聖王若住、若坐，及與臥時，國內臣民盡來王所，見王歡喜，聞教亦喜，瞻仰威顏，無有厭足，是為轉輪聖王四奇特法。
K14mpsu_w_u:2275	 32.33 evam eva (bhikṣavaś catvāra āścaryā adbhutā dharmā ānandasya bhikṣoḥ //  katame catvā)raḥ //	T01n0001_004:0025c22_7	今我阿難亦有此四奇特之法，何等四？
K14mpsu_w_u:2277	 32.34 saced bhikṣupariṣad ānan(da)  ṃ (darśanāyopasaṃkrāmaty ā)  ptamanaskā bhavati (darśanena //  saced upasaṃkrāntāyāṃ dharmaṃ deśayaty āptamanaskā bhavati dha)  rm(a)śravaṇena //	T01n0001_004:0025c24_7	阿難默然入比丘眾，眾皆歡喜，為眾說法，聞亦歡喜，觀其儀容，聽其說法，無有厭足。
K14mpsu_w_u:2282	 32.35 sa(c)e(d) bhikṣu(ṇīpariṣad)  32.36 (upāsakapariṣad)  32.37 (upā)sikāpari(ṣad ānandaṃ darśanāyopasaṃkrāmaty āptamanaskā bhavati darśanena //  saced upasaṃkrāntāyāṃ dharmaṃ deśayaty āptamanaskā bhava)  ti dharmaśrava(ṇena //)  32.38 (apare 'pi catvāro bhikṣava āścaryā adbhutā dharmā ānandasya bhikṣoḥ //	T01n0001_004:0025c27_16	復次，阿難默然至比丘尼眾中、優婆塞眾中、優婆夷眾中，見俱歡喜，若與說法，聞亦歡喜，觀其儀容，聽其說法，無有厭足，是為阿難四未曾有奇特之法。
K14mpsu_w_u:2705	 34.126 adrākṣīt strī(ratnaṃ rājānaṃ mahāsu) d(a)  rśanam ind(r)  iyāṇy utkṣipantam //	T01n0001_004:0024a09_9	』於是，寶女將八萬四千婇女，四兵導從，詣金多隣園，大眾震動，聲聞于王，王聞聲已，臨牕而觀，寶女即前，戶側而立。
K14mpsu_w_u:2711	 ti mā haiva devo 'smābhi(ḥ saṅgamyāpakāraṃ kariṣyati //)	T01n0001_004:0024a10_10	『汝止勿前，吾將出觀。
K14mpsu_w_u:2712	 34.128 (atha) rājā mahāsudarśano dhārmāt prāsādād avatīrya sauvarṇe (prajñaptabhadrāsane nyaṣīdat //)  34.129 atha strīratn(aṃ) y(e)  upetya rājānaṃ)  mahāsudarśanam idam avocat //  34.130 imāni devasya caturaśītistrī(sahasrāṇi //	T01n0001_004:0024a12_6	』時，善見王起頗梨座，出大正樓，下正法殿，與玉女寶詣多隣園，就座而坐。
K14mpsu_w_u:2722	 atra devaś chandaṃ janayatv avekṣāṃ devaḥ karotu jīvite //)	T01n0001_004:0024a15_11	『今者顏色異常，將非異瑞，欲捨壽耶？
K14mpsu_w_u:2723	 34.132 (caturaśītināgasahasrā)  ṇy upoṣathanāgarājapramukhāni //	T01n0001_004:0024a16_6	今此八萬四千象，白象寶為第一。
K14mpsu_w_u:2725	 atra devaś chandaṃ janayatv avekṣāṃ (devaḥ karotu jīvite //)	T01n0001_004:0024a18_1	金銀交飾，珞用寶珠，自王所有，願少留意，共相娛樂，勿便捨壽，孤棄萬民。
K14mpsu_w_u:2726	 34.133 (caturaśītyaśvasahasrāṇi vālāhāśva)  rājapramukhāni //  atra de(vaś cha)	T01n0001_004:0024a18_15	又八萬四千馬，力馬王為第一；
K14mpsu_w_u:2730	 34.134 (caturaśītirathasahasrāṇi nandighoṣa)  rathapramukhāni //	T01n0001_004:0024a19_7	八萬四千車，輪寶為第一；
K14mpsu_w_u:2733	 34.135 caturaśītinagarasah(asrāṇi kuśāvatīrājadhānīpramukhāni //	T01n0001_004:0024a22_8	八萬四千城，拘尸城第一；
K14mpsu_w_u:2971	 bhadraḥ parivrājaka(ḥ)  prativasati jīrṇo vṛddho mahallakaḥ //  40.2 sa vi(ṃśatiśatavayaskaḥ kauśināgarāṇāṃ mallānāṃ satkṛto gurukṛto mānitaḥ pūjito 'rhan saṃmataḥ //)  bhadraḥ parivrājakaḥ //  adya śramaṇasya gautamasya (rātryā madhyame yāme 'nupadhiśeṣe nirvāṇadhātau parinirvāṇaṃ bhaviṣyati //)	T01n0001_004:0025a04_6	是時，拘尸城內，有一梵志，名曰須跋，年百二十，耆舊多智，聞沙門瞿曇今夜於雙樹間當取滅度，自念言：
