src_segmentnr	src_original	tgt_segmentnr	tgt_original
T02narsekou:100	 viṇnāḍī candramārgeṇa raviṇā mūtravāhinī /	T02n800u_001:182	 nābhyabje bhuvaḥ pañcaguṇo gandharūparasasparśaśabdalakṣaṇaḥ |
T02narsekou:103	 yādhaḥ khagamukhā sā ca śaṅkhinī śukravāhinī // Sekoddeśa_50 //  nābhyabje hṛdaye kaṇṭhe lalāṭoṣṇīṣapaṅkaje /  bhūtoyāgnimarucchūnyaṃ saṃhāreṇa pravāhinī // Sekoddeśa_51 //	T02n800u_001:184	 kaṇṭhābje'gnes triguṇo rūpasparśaśabdalakṣaṇaḥ |  lalāṭābje maruto dviguṇaḥ sparśaśabdalakṣaṇaḥ |  uṣṇīṣābje śūnyasya śabdamātraguṇaḥ |
T02narsekou:106	 nirgacchantī viśantīsāsṛṣṭinā viśati kṣitau /  karṇikāt karṇikāmadhye 'vadhūtyā gatirāgatiḥ // Sekoddeśa_52 //	T02n800u_001:187	 etān gṛhītvā saṃhārakrameṇāvadhūtī nirgacchati |  sṛṣṭyā ca śūnyādinā ca |  kṣitau nābhimaṇḍale viśati |
T02narsekou:108	 nābhau guhye ca maṇyabje kāyavākcittavāhinī /	T02n800u_001:190	 adho nābhau guhye ca maṇyabje śaṅkhinī kāyavākcittavāhiṇī sattvarajastamobhedena tridvyekaguṇātmikā saṃhārakrameṇa nirgacchati |
T02narsekou:109	 nirgacchantī viśantī sā saṃhārasṛṣṭirūpiṇī // Sekoddeśa_53 //	T02n800u_001:191	 ṣṛṣṭyā viśati |
T02narsekou:110	 śaṅkhinī sarvajantūnāmapānānilavāhikā /	T02n800u_001:192	 eṣā śaṅkhinī strīṇāṃ sukhāt surate śukraṃ vahati |
T02narsekou:111	 eṣā strīṇāṃ sukhācchukraṃ ṛtau raktapravāhinī // Sekoddeśa_54 //	T02n800u_001:193	 ṛtau raja-udbhave raktavāhiṇī |
T02narsekou:112	 prajñopāyāṅgabhāvena ūrdhve savyāvasavyayoḥ /	T02n800u_001:194	 prāṇāpānanāḍyoḥ prajñopāyāṅgabhāvam āha |  ūrdhva ityādi |
T02narsekou:113	 adho viṇmūtravāhasya rajaḥśukrapravāhayoḥ // Sekoddeśa_55 //	T02n800u_001:196	 ūrdhve prāṇe savyāvasavyayor vāmadakṣiṇayoḥ prajñopāyāṅgabhāvo'dho'pāne |  ūrdhvādho rajaḥśukrapravāhayoḥ | (47)
T02narsekou:114	 caṇḍālī rajaso vāhāt khagamukhā śukravāhataḥ /  ūdhve ṛtau smṛtā strīṇāṃ ḍombī puṃso 'vadhūtikā // Sekoddeśa_56 //	T02n800u_001:199	 yādhaḥ strīṇāṃ khagamukhā śukravāhataḥ saiva yadā rajo vahati tadā caṇḍālī bhavati |  tasminn eva cartukāle strīṇām ūrdhvanāḍī ḍombī bhavati |
T02narsekou:12	 mahoddeśaśca nirdeśaṣṭīkā sarvārthasūcikā /  abhijñālābhibhiḥ sā tu kartavyā naiva paṇḍitaiḥ // Sekoddeśa_5 //	T02n800u_001:41	 yataś tīkā sarvārthasūciketi vakṣyate |  mahoddeśaś ceti cakrārād mahacchabdākṣepe mahānirdeśa ucyate |  dvayam etad yathāsaṃkhyam alpaṭīkā bṛhaṭṭīkā cocyate |
T02narsekou:120	 mūle vāme tataḥ savya ūrdhvemadhye 'nilaḥ kramāt /  ekaikamaṇḍalaṃ daṇḍādbhūmyādyaṃ nāsarandhrayoḥ // Sekoddeśa_59 //	T02n800u_001:203	 vāmadakṣiṇanāsāpuṭayor maṇḍalodayam āha |  vijñānādyam ityādi |  vijñānādyam ākāśādyaṃ sṛṣṭikrameṇa |  bhūmyādyaṃ saṃhārakrameṇa |
T02narsekou:125	 dalamadhye tataḥ pūrve savye vāme 'pare kramāt // Sekoddeśa_61 //	T02n800u_001:229	 dalamadhya iti yadā vāmanāḍyāṃ meṣādinā nāsāpuṭamadhye śūnyamaṇḍalaṃ vahati tadābhyantare'pi dalamadhye vahatīti vakṣyate |  tataḥ pūrva ity ūrdhve vāyumaṇḍalaṃ savye'gnimaṇḍalam |
T02narsekou:126	 ākāśādyaṃ sadā vāme bhūmyādyaṃ dakṣiṇe 'parāt /	T02n800u_001:231	 vāme toyamaṇḍalam |  apara ity adhobhāge pṛthivīmaṇḍalam |  kramād ity ākāśādikramāt |  ākāśādyam ityādinā pūrvoktam evaṃ prajñapayati |
T02narsekou:127	 vijñānādibhavo vāme saṃhāraḥ kṣmādi dakṣiṇe // Sekoddeśa_62 //	T02n800u_001:235	 pañcamaṇḍalānāṃ parasparaṃ prajñopāyabhedenāha |  apara ity adhomaṇḍale |  pūrva ity ūrdhvamaṇḍale yathākramaṃ dharā pṛthivī vāyuś ca |  anayoḥ parasparaṃ prajñopāyakāraṇam āha | (49)  aṅguṣṭhetyādi |  āṅguṣṭhaḥ pṛthivīsvarūpo'nāmikā vāyusvarūpā |
T02narsekou:128	 apare pūrve dharā vāyuḥ prajñopāyaḥ parasparam /	T02n800u_001:242	 etābhyāṃ parasparaṃ prajñopāyatvaṃ grāhyagrāhakabhāvena |  tathā hi parakulāliṅganena kāryodayo na svakulāliṅganena svātmani kriyā virodhāt |  pṛthivīdhātūdbhūte hi kāyendriyam |  vāyudhātūdbhūtaṃ hi sparśyendriyaṃ viṣayaṃ gṛhṇāti |  ata ucyate |
T02narsekou:129	 aṅguṣṭhānāmikādvābhyāṃ yato vaktre 'bhiṣiñcanam // Sekoddeśa_63 //	T02n800u_001:247	 aṅguṣṭhānāmikābhyām ityādi |
T02narsekou:130	 savye vāme havistoyaṃ prajñopāyaḥ parasparam /	T02n800u_001:248	 evaṃ savyavāmayor agnitoyayoḥ prajñopāyakāraṇam āha |
T02narsekou:131	 madhyamātarjanīdvābhyāṃ yataḥ khaḍgo bhaviṣyati // Sekoddeśa_64 //	T02n800u_001:250	 atrāpi vahnidhātujanitaṃ rasaviṣayam |  toyodhātūdbhūtaṃ rasanendriyaṃ gṛhṇāti |  ato madhyamātarjanīdvābhyāṃ khaḍgo bhaviṣyati |
