src_segmentnr	src_original	tgt_segmentnr	tgt_original
T04D3940:172a-10	ཁྱོད་སྔོན་བསྐལ་པ་བརྒྱར་ནི་དཀའ་ཐུབ་སྤྱད་༎ ཁྱོད་གཏོང་དུལ་དང་སྦྱིན་པ་ཀུན་ལ་དགྱེས་༎ སེམས་ཅན་ཀུན་ལ་ཐུགས་རྗེ་བྱམས་ཐུགས་ལྡན་༎	T12n0321_004:0012c20_0	佛於過去百千劫，　　能捨一切利眾生，
T04D3940:172a-13	མཆོག་ཏུ་ཐུགས་རྗེ་ཅན་ལ་ཕྱག་འཚལ་ལོ་༎	T12n0321_004:0012c21_17	俱令離苦出煩籠，　　我今歸禮大慈父；
T04D3940:172a-14	ཁྱོད་ནི་སྦྱིན་དང་ཚུལ་ཁྲིམས་རྟག་ཏུ་དགྱེས་༎ ཁྱོད་ནི་བཟོད་དང་བརྩོན་འགྲུས་དགེས་རབ་བརྟན་༎	T12n0321_004:0012c22_0	佛以法財施一切、　　持戒、忍辱、精進修、
T04D3940:172a-16	ཁྱོད་ནི་བསམ་གཏན་ཤེས་རབ་འོད་གཟིགས་མངའ་༎ མཚུངས་མེད་ཡེ་ཤེས་མངའ་ལ་ཕྱག་འཚལ་ལོ་༎	T12n0321_004:0012c23_18	禪定、智慧悉圓明，　　我今禮佛無等智；
T04D3940:172a-18	ཁྱོད་ནི་སྨྲ་བ་ངན་པའི་ཚོགས་ཅན་འཇོམས་༎ ཁྱོད་ནི་སེང་གེ་ལྟ་བུར་འཁོར་དུ་སྒྲོགས་༎	T12n0321_004:0012c24_0	我佛無畏大師子，　　能破無邊煩惱魔，
T04D3940:172a-20	ཁྱོད་ནི་སྨན་པའི་རྒྱལ་པོ་དྲི་གསུམ་སེལ་༎ མཆོག་ཏུ་དགའ་མཛད་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ་༎	T12n0321_004:0012c25_17	善療眾病悉消除，　　我今頂禮滅三毒。
T04D3940:172a-22	ཐུབ་པ་སྐུ་གསུང་ཐུགས་ནི་རྣམ་པར་དག་། པད་མ་ཆུ་ལྟར་སྲིད་པ་གསུམ་མི་གོས་༎	T12n0321_004:0012c26_0	身、口、意業無塵染，　　三界無著出水蓮，
T04D3940:172a-23	ཁྱོད་ནི་ཚངས་དབྱངས་ཀ་ལ་པིང་ཀའི་སྐད་༎	T12n0321_004:0012c27_18	梵音深妙如梵天，　　迦陵、頻伽聲莫比。
T04D3940:172a-24	སྲིད་གསུམ་ཕ་རོལ་གཤེགས་ལ་ཕྱག་འཚལ་ལོ་༎	T12n0321_004:0012c28_0	我今禮佛出三有，　　常觀世界如幻化、
T04D3940:172a-7	ཁྱོད་ཀྱི་པགས་པ་འཇམ་ཞིང་གསེར་མདོག་འདྲ་༎	T12n0321_004:0012c18_0	我佛身相妙端嚴，　　皮膚柔軟真金色，
T04D3940:172a-8	འགྲོ་བ་གཟུགས་འདི་ལྟ་བས་ངོམས་མི་འགྱུར་༎ ཁྱོད་ནི་མཚུངས་པ་མ་མཆིས་གཟུགས་དང་ལྡན་༎	T12n0321_004:0012c19_17	一切世間無有比，　　眾生見者無厭足。
