src_segmentnr	src_original	tgt_segmentnr	tgt_original
T05D4018:65a-30	བློ་གྲོས་ཆེན་པོ་རྣམ་པར་ཤེས་པ་རྣམས་ནི་སྐྱེ་བ་དང་། གནས་པ་དང་། འགག་པ་ལ་རྣམ་པ་གཉིས་ཡོད་དེ་༎ རྟོག་པ་པ་རྣམས་ཀྱིས་ཁོང་དུ་མི་ཆུད་དོ་༎	T39n1789_01a:0350a01_7	「諸識有二種生住滅，非思量所知。
T05D4018:65a-32	འདི་ལྟ་སྟེ་། རྒྱུན་འགག་པ་དང་། མཚན་ཉིད་འགག་པའོ་༎ རྣམ་པར་ཤེས་པ་རྣམས་ཀྱི་སྐྱེ་བ་ཡང་རྣམ་པ་༄༦༥བ་གཉིས་ཏེ་།	T39n1789_01a:0350a02_2	諸識有二種生，謂流注生及相生；
T05D4018:65b-1	རྒྱུན་སྐྱེ་བ་དང་། མཚན་ཉིད་སྐྱེ་བའོ་༎ གནས་པའང་རྣམ་པ་གཉིས་ཏེ་།	T39n1789_01a:0350a02_15	有二種住，謂流注住及相住；
T05D4018:65b-3	རྒྱུན་གནས་པ་དང་། མཚན་ཉིད་གནས་བའོ་ཞེས་བྱ་བ་ནི་འཕགས་པ་བློ་གྲོས་ཆེན་པོ་གཉིས་ཀྱི་རྣམ་པའི་ཞུ་བ་བརྒྱ་རྩ་བརྒྱད་ཀྱི་ལན་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་གཉིས་སུ་མེད་པ་དོན་དམ་པའི་ཚིག་བརྒྱ་རྩ་བརྒྱད་ཀྱིས་སྤངས་མོད་ཀྱི་།	T39n1789_01a:0350a03_7	有二種滅，謂流注滅及相滅。 」從此至盡文，別問答五法、三自性、八識、二無我也。 首問諸識者，蓋識即是心，心為萬法之本故也。 據常途所立諸識，謂第九菴摩羅識，即真常淨識，屬佛；
T05D4018:65b-5	བཅོམ་ལྡན་འདས་རྣམ་པར་ཤེས་པ་རྣམས་ཀྱི་སྐྱེ་བ་དང་། གནས་པ་དང་། འགག་པ་རྣམ་པ་དུ་མཆིས་ཞེས་པ་ལ་།	T39n1789_01a:0350a13_1	以此諸識約生滅門說，故問有幾種生住滅。
T05D4018:222a-0	༄༢༢༢ཨ་༌་༎ ཞེས་པ་སྟེ་། གང་ན་སྐྱེ་བ་མེད་པའི་མཚན་ཉིད་དེ་ནི་ས་བདུན་དུ་ཕྱིན་པ་དང་། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། མུ་སྟེགས་ཅན་རྣམས་ཀྱི་སྤྱོད་ཡུལ་མ་ཡིན་ནོ་༎ དག་པ་འཇིག་རྟེན་པ་ཐམས་ཅད་མཁྱེན་པའི་སྣང་བ་དང་བཅས་པའི་ཏིང་ངེ་འཛིན་གྱི་ཁྱད་པར་དང་ལྡན་པའི་ཡིད་ཀྱི་སྐུ་རྣལ་འབྱོར་གྱི་དབང་པོ་ཐམས་ཅད་མཁྱེན་པ་བཞུགས་པ་ན་། སེམས་ཅན་རྣམས་མོས་པ་བཞིན་དུ་ཆོས་སྟོན་པ་འབྱུང་ངོ་༎	T39n1789_04a:0405c09_18	我說意生法身如來名號，彼不生者，一切外道、聲聞、緣覺、七住菩薩非其境界。 大慧！ 彼不生即如來異名。
T05D4018:222a-10	དེ་ལ་བློ་གྲོས་ཆེན་པོ་ཁ་ཅིག་ནི་ང་ལ་དེ་བཞིན་གཤེགས་པར་ཤེས་སོ་༎ ལ་ལས་ནི་རང་བྱུང་བར་།	T39n1789_04a:0405c26_5	大慧！ 或有眾生知我如來者、有知一切智者、有知佛者、有知救世者、有知自覺者、有知導師者、有知廣導者、有知一切導者、有知仙人者、有知梵者、有知毘紐者、有知自在者、有知勝者、有知迦毘羅者、有知真實邊者、有知月者、有知日者、有知主者、有知無生者、有知無滅者、有知空者、有知如如者、有知諦者、有知實際者、有知法性者、有知涅槃者、有知常者、有知平等者、有知不二者、有知無相者、有知解脫者、有知道者、有知意生者。
T05D4018:222a-6	དེ་བཞིན་དུ་བློ་གྲོས་ཆེན་པོ་ཡང་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་ན་།	T39n1789_04a:0405c24_5	「如是大慧！
T05D4018:222a-7	མིང་གྲངས་མེད་པ་བརྒྱ་སྟོང་ཕྲག་གསུམ་དུ་བྱིས་པ་རྣམས་ཀྱི་རྣ་ལམ་དུ་གྲགས་ཏེ་། དེ་དག་གིས་ང་བརྗོད་ཀྱང་། འདི་དག་ནི་དེ་བཞིན་གཤེགས་པའི་མིང་གི་རྣམ་གྲངས་སུ་མི་ཤེས་སོ་༎	T39n1789_04a:0405c26_2	我於此娑婆世界有三阿僧祇百千名號，愚夫悉聞，各說我名，而不解我如來異名。
T05D4018:121b-11	བྲང་དང་མགུལ་དང་དེ་བཞིན་མགོ་༎ ལྕེ་དྲུང་རྣམས་དང་སོ་རྣམས་དང་༎ སྣ་དང་མཆུ་དང་རྐན་ཡང་ངོ་༎	T39n1789_02a:0369b12_26	「頭、胸、喉、鼻、脣、舌、齗、齒和合出音聲。
