src_segmentnr	src_original	tgt_segmentnr	tgt_original
T07vakobhau:6454	 yadā narakeṣvekasattvo nāvaśiṣṭo bhavati iyatā 'yaṃ lokaḥ saṃvṛtto bhavati / [178/10-178/11]  yaduta narakasaṃvarttanyā yasya tadānīṃ niyataṃ narakavedanīyaṃ karma ghriyate sa lokadhātvantaranarakeṣu kṣipyate / [178/11-178/12]	T49n2035_030:0302a20_2	災欲起時地獄罪畢來生人中。 有定業者轉生他方地獄。 乃至無有一情。
T07vakobhau:6456	 evaṃ tiryaksaṃvarttanī pretasaṃvarttanī ca vaktavyā / [178/12]  mahāsamudragatāstiryañcaḥ pūrvaṃ saṃvartante / [178/12-178/13]	T49n2035_030:0302a21_9	名為地獄已壞。 畜生餓鬼阿修羅亦次第盡。 是時世間皆行十善。
T07vakobhau:6459	 sa kālo yanmanuṣyeṣvanyatamaḥ sattvaḥ svayamanācāryakaṃ dharmatāprātilambhikaṃ prathamaṃ  dhyānaṃ samāpadyate sa tasmāt vyutthāya vācaṃ bhāṣate sukhaṃ vata vivekajaṃ prītisukhaṃ  śāntaṃ vata vivekajaṃ prītisukhamiti / [178/16-178/17]	T49n2035_030:0302a23_7	與佛身同。 以由是時旁生壞故。 時此南洲一人無師自然得初靜慮初禪也從靜慮起唱言離生喜樂甚樂甚靜。
T07vakobhau:6462	 taṃ ca śabdaṃ śrutvā anye'pi sattvāḥ samāpadyante / [178/17]	T49n2035_030:0302a26_2	餘人聞已皆入靜慮。
T07vakobhau:6463	 kālaṃ kṛtvā brahmaloka upapadyante / [178/17-178/18]	T49n2035_030:0302a26_11	命終並得生梵世中。
T07vakobhau:6464	 yadā jambūdvīpa ekasattvo'pi nāvaśiṣṭo bhavati iyatā'yaṃ lokaḥ saṃvṛtto bhavati yaduta jambūdvīpasaṃvartanyā / [178/18-178/19]  evaṃ pūrvavidehagodānīyottarakurusaṃvartanyo vaktavyāḥ / [178/19-178/20]	T49n2035_030:0302a27_1	東西二洲例此應說。 北洲根鈍無離欲念。
T07vakobhau:6466	 yadā manuṣyeṣvekasattvo'pi nāvaśiṣṭo bhavati iyatā'yaṃ lokaḥ saṃvṛtto bhavati yaduta manuṣyagatisaṃvarttanyā / [178/20-178/21]  auttarakauravāstu kālaṃ kṛtvā kāmāvacareṣu deveṣūpapadyante / [178/21]	T49n2035_030:0302a27_17	命終生欲界天。 靜慮現前方能離欲。 乃至人趣無有一情。
T07vakobhau:6469	 evaṃ cāturmahārājakāyikeṣvapi deveṣu prathamaṃ dhyānaṃ samāpadya brahmaloka upapadyante / [178/22-178/24]	T49n2035_030:0302a29_11	時欲界六天。 一天自然得初靜慮。 乃至並得生梵世中。
T07vakobhau:6473	 brahmaloke'pyanyatamaḥ sattvo dharmatāprātilambhikaṃ dvitīyaṃ dhyānaṃ samāpadyotthāya vācaṃ bhāṣate sukhaṃ vata samādhijaṃ prītisukhaṃ śāntaṃ vata samādhijaṃ prītisukhamiti / [178/28-179/01]	T49n2035_030:0302b03_7	時梵世中一天自然得二靜慮二禪也唱言定生喜樂甚樂甚靜。
T07vakobhau:6474	 taṃ śabdaṃ śrutvā'nye'pi sattvāḥ samāpadyante kālaṃ ca kṛtvā ābhāsvareṣu deveṣūpapadyante / [179/01-179/02]	T49n2035_030:0302b03_16	餘天聞之皆入靜慮。
